"YYYYMM","Blending rate"
201410,1.530000
201510,2.330000
201610,3.510000
201710,2.070000
201810,4.220000
201910,5.100000
202001,3.800000
202002,4.200000
202003,4.400000
202004,4.500000
202005,4.900000
202006,5.100000
202007,5.100000
202008,5.100000
202009,5.100000
202010,5
202011,5
202012,6.100000
202101,6.500000
202102,6.900000
202103,7.300000
202104,8.200000
202105,8.900000
202106,9.100000
202107,9.100000
202108,8.100000
202109,6.600000
202110,5.200000
202111,7.100000
202112,8.200000
202201,9.300000
202202,10.500000
202203,10.700000
202204,10.700000
202205,10.700000
202206,10.700000
202207,10.300000
202208,9.100000
202209,9.100000
202210,5.700000
202211,10.500000
202212,10.400000
202301,11.600000
202302,12
202303,12.100000
202304,11.800000
202305,12
202306,12
202307,11.900000
202308,11.300000
202310,12.400000
202311,10.200000
202312,11.100000
202401,12.200000
202402,12.900000
202403,12.800000
202404,12.700000
202405,15.400000
202406,15.900000
202407,15.800000
202408,15.800000
202409,15.900000
202410,16.100000
202412,18.200000
202501,19.600000
202502,19.700000
202503,19.800000
202504,19.700000
202505,19.800000
202506,19.900000
202507,19.900000
202508,19.800000
