"YYYYMM","BESS","Wind + Solar","Solar","Wind"
202503,0,0,0,460
202504,,,,
202505,,,,
202506,,,,
202507,,,,
202508,,,,
202509,,,,
202510,,,,
202511,,,,
202512,0,82,381,0
202601,0,0,2735,693.200000
202602,0,1001,1372,392
202603,0,3221.400000,16939.660000,2556.300000
202604,0,0,2688,1288
202605,0,270,893.600000,100.800000
202606,0,3089,,1776
202607,0,0,50,378
202608,150,720,1518,200
202609,0,300,1700,1140
202610,0,1853,2817,99
202611,0,1272,3102,435
202612,0,2090,7105.700000,294
202701,0,1900,5522.200000,2035.800000
202702,0,0,0,150.400000
202703,0,1332,6186,2405
202704,0,290,2992.500000,354
202705,0,0,350,184
202706,0,720,1500,1024
202707,0,120,0,200
202708,0,0,50,898.800000
202709,0,0,300,0
202710,0,430,150,0
202711,,,,
202712,0,,3965.500000,
202801,0,300,400,297
202802,,,,
202803,0,200,820,231.800000
202804,0,0,300,300
202805,,,,
202806,0,0,2050,1000
202807,,,,
202808,,,,
202809,0,0,900,300
202810,,,,
202811,0,0,0,0
202812,0,1830,1850,0
202901,0,0,800,0
202902,0,0,1000,0
202903,0,0,200,0
202904,,,,
202905,,,,
202906,,,,
202907,,,,
202908,,,,
202909,,,,
202910,,,,
202911,,,,
202912,0,0,1017,1195
203001,,,,
203002,,,,
203003,0,300,7279,997
203004,,,,
203005,,,,
203006,,,,
203007,,,,
203008,,,,
203009,0,250,200,0
203010,,,,
203011,,,,
203012,0,0,1650,0
203101,,,,
203102,,,,
203103,0,0,700,0
203104,,,,
203105,,,,
203106,,,,
203107,,,,
203108,,,,
203109,0,0,600,0
203110,,,,
203111,,,,
203112,0,0,300,0
