"YYYYMM","Battery Electric","Non-Plugin Hybrid","Diesel","Petrol Blend","Petrol","Other"
200910,29,2,56860,21707,95067,257
200911,27,0,47708,17031,78889,300
200912,18,1,43262,15312,74825,290
201001,10,0,57645,22320,96223,372
201002,12,0,56126,19365,86039,305
201003,23,1,67639,23761,107476,368
201004,13,0,52922,16959,77637,311
201005,16,1,61642,19538,91785,350
201006,37,1,55505,16735,84508,276
201007,22,0,55640,17039,87537,336
201008,27,1,57362,17044,92884,354
201009,32,0,58591,18277,95861,572
201010,26,0,62041,21616,101141,624
201011,21,0,64170,23652,110202,541
201012,27,0,62340,21443,106372,485
201101,57,0,72991,27584,125383,412
201102,58,0,69195,21108,94314,292
201103,55,2,82158,23671,110616,384
201104,48,0,65679,20058,91952,333
201105,70,0,71169,21179,92763,355
201106,53,0,72925,20784,83966,371
201107,46,0,68919,20295,80033,381
201108,55,0,68307,19390,81281,466
201109,30,0,73367,18765,82824,497
201110,37,0,81116,23080,88424,446
201111,58,0,91929,23357,97229,473
201112,49,0,83368,17147,82964,360
201201,71,0,105683,26161,109297,567
201202,55,0,102220,21506,87180,517
201203,104,1,140089,24850,112190,582
201204,11,0,93657,19072,80242,447
201205,18,0,103357,17010,74355,373
201206,36,0,109129,15909,69582,380
201207,47,1,116541,15612,68729,424
201208,23,0,101805,15425,68988,397
201209,15,1,87018,14355,64420,339
201210,7,0,97984,15873,68511,357
201211,8,0,115967,20582,93542,356
201212,17,1,100782,16633,79264,446
201301,13,0,127442,21233,95843,434
201302,8,1,104699,15399,74778,341
201303,10,1,112586,15183,78987,379
201304,54,1,106498,15658,81740,359
201305,53,0,103252,14337,77794,383
201306,42,0,88047,12087,68378,313
201307,34,1,89839,13488,75126,400
201308,33,0,87186,12056,71267,309
201309,23,0,86868,11036,69082,253
201310,40,0,107329,15379,87503,317
201311,23,0,100868,13590,79980,276
201312,29,1,83004,11394,69792,261
201401,33,0,115981,17793,104425,376
201402,23,0,88779,11195,68126,228
201403,36,0,108005,14054,86363,323
201404,32,0,96204,15228,81154,276
201405,34,1,100638,15466,85262,320
201406,20,2,92188,14650,81612,263
201407,17,0,95628,16743,85947,338
201408,59,0,86825,14257,80641,315
201409,57,0,87396,14270,87775,317
201410,57,1,89667,19005,99101,351
201411,51,0,90876,15889,93946,354
201412,55,0,82164,14180,90999,342
201501,72,0,119334,19710,121044,387
201502,55,1,92678,14224,91749,324
201503,56,1,95365,15335,100489,314
201504,38,1,88176,15417,100003,318
201505,55,2,84906,15472,96172,301
201506,65,1,84973,15462,95074,302
201507,69,3,82567,14875,91274,289
201508,53,7,78562,13192,88222,297
201509,46,16,85977,13547,98797,320
201510,52,15,85832,13989,100406,322
201511,51,21,101233,17336,118084,391
201512,64,20,86890,14753,110494,426
201601,79,26,98069,18991,135914,518
201602,47,27,87968,17623,110325,474
201603,42,27,87231,16555,115201,1960
201604,55,36,80699,16381,108144,652
201605,38,70,87399,16998,110855,590
201606,40,80,82498,15580,104095,488
201607,45,48,77540,15840,105620,371
201608,54,36,81421,16296,115204,451
201609,44,39,75072,14424,108231,399
201610,66,44,98237,20873,143283,503
201611,69,31,87987,16204,125466,513
201612,30,50,68837,13945,108254,434
201701,63,41,91404,20781,148677,502
201702,48,59,80872,17263,118630,460
201703,61,97,98108,18841,135069,577
201704,76,101,84151,15892,123800,501
201705,68,83,87496,16806,133278,503
201706,73,122,86672,16916,137696,470
201707,62,30,81323,15689,124570,413
201708,78,31,86086,15625,122567,335
201709,80,37,94622,16380,136509,322
201710,97,33,95153,19866,152677,374
201711,58,21,93890,18290,146773,401
201712,56,18,76743,14414,124078,484
201801,64,32,102297,20885,170030,846
201802,109,36,85690,16155,125035,284
201803,83,69,99018,17796,143098,560
201804,88,77,90957,17229,136937,503
201805,102,51,90782,18876,141983,578
201806,118,84,81772,17654,128497,610
201807,70,49,83520,17507,129191,421
201808,71,243,78480,17017,125930,475
201809,93,1655,73434,15691,124206,414
201810,54,2394,81111,18237,136790,407
201811,107,2746,85775,19980,159183,379
201812,114,4257,71675,17746,144274,448
201901,62,6612,91868,23275,176393,758
201902,157,5466,74211,17065,123819,534
201903,163,6101,79362,16030,134786,623
201904,111,6482,76055,18812,129378,459
201905,51,6605,74288,18692,132420,402
201906,33,6030,65313,15423,116315,306
201907,66,5690,67080,15965,119691,280
201908,84,5561,59930,14227,107789,276
201909,67,5729,53039,11445,102850,241
201910,82,8620,78178,20949,166068,348
201911,84,7079,83073,20053,172948,326
201912,57,5349,64281,14382,134779,226
202001,85,5852,84966,22258,180023,370
202002,105,5154,66509,14732,142886,172
202003,239,7503,61726,12434,134931,336
202004,2,435,8558,741,13195,74
202005,61,1650,3949,1577,24787,38
202006,241,6361,18904,8575,99171,209
202007,351,6391,26471,12591,123194,271
202008,364,8094,30408,15862,139133,399
202009,321,9221,35008,15646,151265,574
202010,454,10513,42280,21946,193829,645
202011,538,12318,50660,24137,229007,634
202012,504,12106,48104,21962,212238,569
202101,578,13055,47748,26437,215337,619
202102,586,10836,47454,24435,187364,470
202103,793,12398,54464,26688,206726,586
202104,604,8071,38378,15856,155249,537
202105,255,2921,18378,9318,59610,355
202106,800,7532,40056,15326,136143,330
202107,1071,12796,52040,27630,183954,585
202108,1082,12072,51524,25831,178863,647
202109,1181,10502,45373,20031,170367,573
202110,1256,12739,41840,17393,167148,536
202111,1596,11955,43934,17372,179968,601
202112,2482,10002,45942,18822,179916,413
202201,1351,10787,45392,26552,186431,623
202202,2307,9261,46692,29892,162854,428
202203,3656,8209,57053,33166,179495,383
202204,1801,7218,55639,31064,178770,357
202205,2283,15424,50309,30100,176240,538
202206,2936,12275,51464,30502,172524,494
202207,2951,11993,52269,28844,163098,259
202208,2908,18306,53981,28974,177120,305
202209,3228,19037,51767,23483,166510,271
202210,3306,27164,64705,36327,211958,301
202211,3554,25490,55437,28761,178830,166
202212,2924,24204,49444,24473,169255,71
202301,2971,29746,58329,34666,203874,37
202302,4364,31050,51433,23225,168361,29
202303,7152,37240,55832,24777,193678,14
202304,5408,27295,49975,24147,161801,23
202305,6839,25786,54302,28167,168802,11
202306,6958,25934,51143,31814,162318,9
202307,6922,22545,48558,32333,154478,17
202308,6305,24795,51796,36881,173838,16
202309,5764,25832,54601,42522,182427,20
202310,6447,26278,56013,47513,199761,9
202311,7130,25132,58727,48075,210334,21
202312,7009,21042,45850,33612,169200,17
202401,7027,30011,62606,51214,219615,12
202402,6849,29192,59340,38082,174616,11
202403,7804,27554,57822,37770,165452,19
202404,7583,28510,59145,43186,176161,19
202405,7466,25284,52422,41267,155748,21
202406,6630,23768,49296,37558,146395,40
202407,7572,28017,55857,42892,165012,37
202408,6114,27694,55572,42907,158214,30
202409,5452,25139,48881,37737,139357,28
202410,10450,40517,84431,83575,247100,40
202411,8563,26480,56622,46298,165538,26
202412,8224,24806,45350,40782,152223,17
202501,10831,39691,73425,86081,229749,62
202502,8787,25416,56571,59235,133972,28
202503,12738,27414,62995,80535,144032,45
202504,12995,29331,63413,89794,135730,37
202505,12742,24929,56599,91979,98034,36
202506,13535,24041,54086,100488,87181,90
202507,15832,25990,56108,116296,89471,65
202508,18026,25998,56937,115779,84516,45
202509,16079,22153,51571,112535,82613,24
202510,18797,39115,94083,223214,158430,61
202511,15302,31630,70022,206700,50082,36
202512,15293,32106,58922,222050,27797,25
202601,21089,46551,89624,310626,41125,215
202602,15823,32772,75609,228353,25378,120
202603,25354,35765,83871,259398,24857,517
202604,25211,34538,71780,242468,17492,147
202605,27244,32439,64046,242256,13276,34
