"YYYYMM","Hydro","Coal/Lignite","Gas","Diesel","Nuclear","RES"
201104,,94.653380,17.706350,1.199750,4.780000,
201105,,94.953380,17.706350,1.199750,4.780000,
201106,,96.743380,17.706350,1.199750,4.780000,
201107,,98.403380,17.706350,1.199750,4.780000,
201108,,99.503380,17.706350,1.199750,4.780000,
201109,,99.753380,17.742850,1.199750,4.780000,
201110,,100.098380,17.742850,1.199750,4.780000,
201111,,102.863380,17.742850,1.199750,4.780000,
201112,,104.021380,17.742850,1.199750,4.780000,
201201,,104.816380,17.742850,1.199750,4.780000,
201202,,105.437380,18.093850,1.199750,4.780000,
201203,38.990000,112.022380,18.381050,1.199750,4.780000,24.503440
201204,,113.782380,18.381050,1.199750,4.780000,
201205,,114.782380,18.653050,1.199750,4.780000,
201206,,116.333380,18.903050,1.199750,4.780000,
201207,,117.283380,18.903050,1.199750,4.780000,
201208,,117.833380,18.903050,1.199750,4.780000,
201209,,118.703380,18.903050,1.199750,4.780000,
201210,,120.103380,18.903050,1.199750,4.780000,
201211,,120.873380,18.903050,1.199750,4.780000,
201212,,120.873380,18.903050,1.199750,4.780000,
201301,,121.610880,18.903050,1.199750,4.780000,
201302,,123.695880,19.648850,1.199750,4.780000,
201303,39.491000,130.220890,20.109850,1.199750,4.780000,27.541710
201304,,130.370890,20.109850,1.199750,4.780000,
201305,,131.628390,20.359850,1.199750,4.780000,
201306,,132.288390,20.359850,1.199750,4.780000,
201307,,132.288390,20.359850,1.199750,4.780000,
201308,,133.188390,20.380850,1.199750,4.780000,
201309,,134.388390,20.380850,1.199750,4.780000,
201310,,134.888390,20.380850,1.199750,4.780000,
201311,,136.448390,20.380850,1.199750,4.780000,
201312,,138.213390,20.380850,1.199750,4.780000,
201401,,138.903390,20.380850,1.199750,4.780000,
201402,,140.723390,21.381850,1.199750,4.780000,
201403,40.531000,145.273390,21.781850,1.199750,4.780000,31.692140
201404,,145.408390,21.781850,1.199750,4.780000,
201405,,147.568390,22.607950,1.199750,4.780000,
201406,,148.478390,22.607950,1.199750,4.780000,
201407,,149.178390,22.607950,1.199750,4.780000,
201408,,152.310890,22.607950,1.199750,4.780000,
201409,,152.970890,22.607950,1.199750,4.780000,
201410,,153.570890,22.607950,1.199750,4.780000,
201411,,153.570890,22.971250,1.199750,4.780000,
201412,,154.170890,22.971250,1.199750,4.780000,
201501,,156.190890,22.971250,1.199750,5.780000,
201502,,158.495890,22.971250,1.199750,5.780000,
201503,41.267000,164.635880,23.062150,1.199750,5.780000,35.776960
201504,,165.235880,23.062150,1.199750,5.780000,
201505,,165.257880,23.062150,0.993530,5.780000,
201506,,167.207880,23.062150,0.993530,5.780000,36.470640
201507,,167.707880,22.962150,0.993530,5.780000,
201508,,168.207880,23.333150,0.993530,5.780000,
201509,,169.117880,24.088150,0.993530,5.780000,
201510,,170.137880,24.473030,0.993530,5.780000,
201511,,170.137880,24.473030,0.993530,5.780000,
201512,,173.017880,24.473030,0.993530,5.780000,38.821510
201601,,175.237880,24.508630,0.993530,5.780000,
201602,,175.857880,24.508630,0.993530,5.780000,
201603,42.783000,185.172880,24.508630,0.993530,5.780000,42.849380
201604,42.783420,185.992880,24.508630,0.918890,5.780000,
201605,42.783430,186.242880,24.508630,0.918890,5.780000,
201606,42.848430,186.212880,24.508630,0.918890,5.780000,44.236920
201607,42.888430,186.292880,24.643630,0.918890,5.780000,
201608,42.968430,186.592880,25.057130,0.918890,5.780000,
201609,43.112430,187.252880,25.057130,0.918890,5.780000,45.916950
201610,43.112430,186.492880,25.057130,0.918890,5.780000,
201611,43.133430,187.802880,25.282130,0.918890,5.780000,
201612,43.139430,188.967880,25.282130,0.918890,5.780000,50.018000
201701,44.189430,188.487880,25.329380,0.837630,5.780000,
201702,44.413430,189.047880,25.329380,0.837630,5.780000,
201703,44.478420,192.162880,25.329380,0.837630,6.780000,57.244230
201704,44.594420,194.402880,25.329380,0.837630,6.780000,
201705,44.594420,195.602880,25.185380,0.837630,6.780000,
201706,44.614420,194.552880,25.185380,0.837630,6.780000,58.303350
201707,44.614420,194.432880,25.185380,0.837630,6.780000,
201708,44.653420,193.466500,25.185380,0.837630,6.780000,
201709,44.765420,193.426500,25.185380,0.837630,6.780000,60.157660
201710,44.765420,193.426500,25.150380,0.837630,6.780000,
201711,44.963420,192.971500,25.150380,0.837630,6.780000,
201712,44.963420,192.971500,25.150380,0.837630,6.780000,62.846900
201801,44.963420,193.821500,25.150380,0.837630,6.780000,
201802,44.963420,193.821500,24.897460,0.837630,6.780000,
201803,45.293420,197.171500,24.897460,0.837630,6.780000,69.022390
201804,45.293420,196.957500,24.897460,0.837629,6.780000,
201805,45.403420,196.957500,24.897460,0.837630,6.780000,
201806,45.403420,196.957500,24.897460,0.837630,6.780000,70.648610
201807,45.457420,196.097500,24.867460,0.837630,6.780000,
201808,45.457420,196.097500,24.867460,0.837630,6.780000,
201809,45.487420,196.097500,24.867460,0.837630,6.780000,72.012810
201810,45.487420,195.992500,24.937220,0.837630,6.780000,73.350000
201811,45.399220,196.652500,24.937220,0.837630,6.780000,
201812,45.399220,197.452500,24.937220,0.637630,6.780000,74.081660
201901,45.399220,197.452500,24.937220,0.637630,6.780000,75.055920
201902,45.399220,197.352500,24.937220,0.637630,6.780000,
201903,45.399220,200.704500,24.937220,0.637630,6.780000,78.316435
201904,45.399220,200.704500,24.937220,0.637630,6.780000,79.033850
201905,45.399220,200.704500,24.937220,0.637630,6.780000,80.046730
201906,45.399220,200.749500,24.937220,0.637630,6.780000,80.467192
201907,45.399220,202.069500,24.937220,0.637630,6.780000,81.307612
201908,45.399220,202.529500,24.937220,0.509710,6.780000,82.014187
201909,45.399220,203.154500,24.937220,0.509710,6.780000,
201910,45.399220,203.954500,24.937220,0.509710,6.780000,83.379497
201911,45.399220,203.954500,24.937220,0.509710,6.780000,
201912,45.399220,205.254500,24.937220,0.509710,6.780000,85.908407
202001,45.399220,204.724500,24.955360,0.509710,6.780000,86.321027
202002,45.699220,204.724500,24.955360,0.509710,6.780000,86.759185
202003,45.699220,205.344500,24.955360,0.509710,6.780000,87.027675
202004,45.699220,205.134500,24.955360,0.509710,6.780000,87.268740
202005,45.699220,205.134500,24.991510,0.509710,6.780000,87.384015
202006,45.699220,205.404500,24.991510,0.509710,6.780000,87.669185
202007,45.699220,205.954500,24.991510,0.509710,6.780000,88.041910
202008,45.699220,205.954500,24.956510,0.509710,6.780000,88.793425
202009,45.699220,205.854500,24.956510,0.509710,6.780000,89.229415
202010,45.699220,205.854500,24.956510,0.509710,6.780000,89.635645
202011,45.699220,205.854500,24.956510,0.509710,6.780000,90.399105
202012,45.798220,206.124500,24.956510,0.509710,6.780000,91.153805
202101,46.059220,206.404500,24.956510,0.509710,6.780000,92.550735
202102,46.209220,207.704500,24.956510,0.509710,6.780000,92.970475
202103,46.209220,209.294500,24.924010,0.509710,6.780000,94.433785
202104,46.209220,209.294500,24.924010,0.509710,6.780000,95.012590
202105,46.209220,209.294500,24.924010,0.509710,6.780000,95.656245
202106,46.322220,208.624500,24.924010,0.509710,6.780000,
202107,46.367220,209.424500,24.924010,0.509710,6.780000,98.882715
202108,46.412220,208.824500,24.924010,0.509710,6.780000,100.683315
202109,46.512220,208.614500,24.899510,0.509710,6.780000,101.532845
202110,46.512220,209.034500,24.899510,0.509710,6.780000,103.055245
202111,46.512220,209.284500,24.899510,0.509710,6.780000,104.031305
202112,46.512220,209.809500,24.899510,0.509710,6.780000,
202201,46.512220,210.519500,24.899510,0.509710,6.780000,105.854125
202202,46.524520,210.519500,24.899510,0.509710,6.780000,106.374625
202203,46.722520,210.699500,24.899510,0.509710,6.780000,109.885375
202204,46.722520,210.699500,24.899510,0.509710,6.780000,111.398995
202205,46.722520,210.699500,24.879210,0.509710,6.780000,113.226465
202206,46.850170,210.699500,24.856210,0.509710,6.780000,114.064010
202207,46.850170,210.699500,24.856210,0.509710,6.780000,114.437390
202208,46.850170,210.699500,24.856210,0.509710,6.780000,116.077640
202209,46.850170,210.699500,24.824210,0.562370,6.780000,118.080350
202210,46.850170,210.605500,24.824210,0.562370,6.780000,
202211,46.850170,210.605500,24.824210,0.589200,6.780000,119.512170
202212,46.850170,210.395500,24.824210,0.589200,6.780000,120.848290
202301,46.850170,211.055500,24.824210,0.589200,6.780000,121.549540
202302,46.850170,211.055500,24.824210,0.589200,6.780000,122.113080
202303,46.850170,211.855500,24.824210,0.589200,6.780000,125.159830
202304,46.850170,211.855500,24.824210,0.589200,6.780000,125.692330
202305,46.850170,211.855500,24.824210,0.589200,6.780000,126.769040
202306,46.850170,212.515500,24.824210,0.589200,7.480000,129.642550
202307,46.850170,212.515500,25.038210,0.589200,7.480000,130.886230
202308,46.850170,212.815500,25.038210,0.589200,7.480000,131.514620
202309,46.850170,213.665500,25.038210,0.589200,7.480000,131.783390
202310,46.850170,213.445500,25.038210,0.589200,7.480000,132.132440
202311,46.880170,213.445500,25.038210,0.589200,7.480000,132.698520
202312,46.910170,214.395500,25.038210,0.589200,7.480000,133.886180
