"YYYYMM","Nalco (kt)","Malco (kt)","Balco (kt)","Hindalco (kt)","Vedanta (kt)"
201409,26.716000,,27.498000,60.978261,45.057000
201410,27.814000,,28.212000,73.119565,44.809000
201411,26.771000,,27.721000,70.760870,42.731000
201412,27.613924,,28.641304,73.119565,46.500000
201501,28.227567,,28.933333,83.011111,49.944444
201502,25.495867,,26.133333,74.977778,45.111111
201503,29.258000,,28.933333,83.011111,49.944444
201504,27.548000,,27.254000,87.032967,50.109890
201505,29.266000,,28.358000,89.934066,51.780220
201506,28.909000,,26.909000,87.032967,50.109890
201507,31.549000,,27.460000,90.641304,50.206522
201508,31.950000,,27.972000,90.641304,50.206522
201509,30.654000,,27.182000,87.717391,48.586957
201510,32.389000,,28.180000,99.739130,50.543478
201511,31.123000,,27.231000,96.521739,48.913043
201512,32.384000,,27.954000,99.739130,50.543478
201601,32.768000,,27.785000,104.582418,48.373626
201602,30.553000,,26.693000,97.835165,45.252747
201603,33.091000,,28.346000,104.582418,48.373626
201604,30.909000,,26.901000,101.538462,52.087912
201605,32.610000,,28.837000,104.923077,53.824176
201606,30.977000,,31.807000,101.538462,52.087912
201607,31.590000,,37.067000,107.826087,60.652174
201608,30.384000,,43.489000,107.826087,60.652174
201609,30.890000,,36.656000,104.347826,58.695652
201610,32.495000,,34.714000,107.826087,72.782609
201611,32.164000,,33.844000,104.347826,70.434783
201612,34.309000,,34.716000,107.826087,72.782609
201701,34.617000,,37.542100,109.188889,79.911111
201702,31,,35.705440,98.622222,72.177778
201703,35.478000,,44.862100,109.188889,79.911111
201704,32.844000,,46.025000,105.824176,69.890110
201705,34.939000,,48.379000,109.351648,72.219780
201706,32.912000,,46.479000,105.824176,69.890110
201707,34.774000,,48.391000,109.847826,86.260870
201708,35.755000,,48.521000,109.847826,86.260870
201709,35.344000,,46.947000,106.304348,83.478261
201710,36.696000,,47.516000,108.836957,102.097826
201711,35.956000,,46.819000,105.326087,98.804348
201712,37.568000,,48.587000,108.836957,102.097826
201801,36.889000,,48.762000,110.222222,115.044444
201802,33.546000,,43.997000,99.555556,103.911111
201803,38.290000,,48.509000,110.222222,115.044444
201804,35.601000,,47.106000,106.483516,112.087912
201805,37.187000,,48.534000,110.032967,115.824176
201806,36.816000,,46.796000,106.483516,112.087912
201807,37.316000,,48.542000,109.847826,118.945652
201808,37.518000,,48.336000,109.847826,118.945652
201809,36.051000,,46.852000,106.304348,115.108696
201810,36.898000,,48.402000,108.836957,115.239130
201811,34.897000,,46.987000,105.326087,111.521739
201812,36.577000,,48.614000,108.836957,115.239130
201901,38.237000,,48.656000,110.566667,113.322222
201902,35.096000,,43.974000,99.866667,102.355556
201903,38.051000,,48.676000,110.566667,113.322222
201904,36.586000,,46.852000,107.472527,109.120879
201905,37.416000,,48.236000,111.054945,112.758242
201906,36.577000,,44.023000,107.472527,109.120879
201907,38.138000,,47.465000,111.221000,111.532609
201908,37.822000,,46.473000,111.376000,111.532609
201909,34.048000,,45.399000,108.002000,107.934783
201910,33.016000,,46.974000,111.275000,115.239130
201911,29.777000,,46.314000,107.734000,111.521739
201912,33.022000,,48.136000,111.004000,115.411000
202001,33.961000,,48.693000,111.583000,114.330000
202002,32.211000,,45.767000,103.921000,106.858000
202003,35.799000,,48.981000,109.666000,127.940000
202004,32.351000,,46.214000,95.478000,111.927000
202005,32.720000,,46.288000,98.352000,109.763000
202006,33.067000,,45.051000,97.606000,109.506000
202007,34.954000,,47.105000,102.738000,111.943000
202008,35.965000,,47.797000,103.804000,112.180000
202009,35.087000,,47.161000,100.372000,107.101000
202010,32.635000,,49.183000,104.889000,111.969000
202011,33.476000,,47.550000,102.747000,112.437000
202012,36.022000,,49.225000,107.530000,125.919000
202101,37.534000,,49.191000,108.488000,131.773000
202102,34.799000,,44.500000,98.398000,119.796000
202103,39.912000,,49.229000,108.819000,135.562000
202104,36.551000,,47.729000,105.023000,131.521000
202105,37.967000,,49.236000,108.629000,136.194000
202106,37.581000,,47.642000,105.142000,136.157000
202107,38.312000,,49.218000,108.317000,142.537000
202108,38.606000,,49,109,142
202109,37.011000,,48,105,139
202110,38.904000,,49,109,143
202111,38.033000,,48,106,139
202112,40.495000,,49,111,146
202201,40.694000,,49,112,146
202202,36.699000,,45,102,133
202203,39.146000,,49,112,147
202204,38.643000,,47,108,142
202205,39.565000,,49,112,146
202206,37.878000,,46.341000,106,142.122000
202207,39.331000,,46.341000,111,145.381000
202208,38.664000,,47.366000,112,145.363000
202209,37.343000,,45.749000,109,141.791000
202210,37.972000,,47.185000,113,143.288000
202211,36.459000,,46.263000,109,138.944000
202212,38.204000,,48.670000,110.439560,133.319000
202301,38.796000,,49.330000,113,145.681000
202302,36.474000,,44.635000,102,133.054000
202303,40.266000,,49.407000,113,148.232000
202304,38.782000,,47.852000,109,142.944000
202305,39.914000,,49.386000,113,148.879000
202306,38.681000,,47.766000,109,143.040000
202307,37.282000,,49.389000,112,150.103000
202308,38.115000,,49.389000,113,148.145000
