"YYYYMM","Battery Electric","Diesel","Petrol + CNG/LPG","CNG Only","Others"
200611,0,14475,2825,1259,3107
200612,0,11961,3057,1791,2263
200613,0,151726,31510,8604,36529
200701,2,12804,2337,2077,2452
200702,7,13981,3519,1358,2941
200703,3,14600,4065,1315,3303
200704,12,11108,2070,1572,2309
200705,3,13306,2545,1242,2409
200706,3,13028,2686,2017,2589
200707,2,13810,2418,1968,2609
200708,1,13166,2602,2267,2325
200709,7,13123,3433,2490,2850
200710,7,13016,3431,2330,2727
200711,4,13849,3221,2487,2704
200712,1,11389,2419,1911,2109
200713,52,157180,34746,23034,31327
200801,0,13992,2387,1944,2650
200802,0,14479,2385,1706,2537
200803,0,13861,1994,1357,2202
200804,0,13474,1567,1376,1939
200805,0,15361,1781,1897,2024
200806,0,15071,2078,1651,2218
200807,0,17220,2493,1768,2236
200808,0,15804,2439,1639,2057
200809,0,16831,3842,1764,2146
200810,0,15272,3729,1846,2298
200811,0,14561,2988,1526,1960
200812,0,11275,1957,1491,1539
200813,0,177201,29640,19965,25806
200901,0,13362,2945,1823,2351
200902,0,14492,3234,1649,2712
200903,0,15977,3544,1451,3477
200904,0,13057,2368,1340,2503
200905,0,15930,3393,1004,2837
200906,0,17941,4156,1225,3485
200907,0,19198,4430,1066,3962
200908,0,17877,3837,1159,4317
200909,0,17210,4195,1047,4097
200910,0,21438,3968,1284,4320
200911,0,18657,3936,1097,4657
200912,0,16842,3089,1110,5542
200913,0,201981,43095,15255,44260
201001,6,18075,4234,1558,4918
201002,17,20288,4784,1188,6098
201003,10,22048,5905,1578,5583
201004,0,16649,4107,844,4243
201005,5,17436,3713,630,4109
201006,3,21345,4185,960,5045
201007,7,24441,6826,978,5554
201008,9,24395,9389,911,5560
201009,1,25295,8968,923,5607
201010,2,24702,7372,1077,5527
201011,8,23462,7173,1026,5083
201012,3,22456,5152,1219,4996
201013,71,260592,71808,12892,62323
201101,6,24353,6330,1479,5514
201102,6,24857,6945,1230,5681
201103,9,25718,6307,1147,5769
201104,7,17917,4060,717,3899
201105,8,23036,4569,723,4194
201106,7,25991,5402,837,4374
201107,5,26838,5295,1040,4037
201108,10,25616,5825,1161,3597
201109,8,26723,7559,1086,3888
201110,2,28109,7857,1308,3640
201111,7,29287,7884,990,3828
201112,3,25788,5758,749,2731
201113,78,304233,73791,12467,51152
201201,0,27128,7234,1007,3031
201202,0,25579,8162,911,3457
201203,0,29082,7549,777,2949
201204,0,21960,6195,575,2334
201205,0,25338,6489,689,2462
201206,0,26928,7228,711,2362
201207,0,29430,7395,766,2697
201208,0,27691,7079,801,2429
201209,0,29373,7333,952,2371
201210,0,29650,8982,1738,2608
201211,0,32214,13083,1021,2912
201212,0,26610,10302,885,2407
201213,0,330983,97031,10833,32019
201301,0,28564,10819,933,2546
201302,0,26634,12389,813,2394
201303,0,29052,8076,679,2550
201304,0,23307,6439,789,2343
201305,0,23431,7556,753,2107
201306,0,23617,7168,618,2142
201307,0,26004,7665,713,2068
201308,0,21541,7378,661,1670
201309,0,23422,7649,786,1764
201310,0,31096,9072,1004,2174
201311,0,30309,7228,825,2039
201312,0,24654,5873,916,1735
201313,0,311631,97312,9490,25532
201401,0,25704,7679,920,1933
201402,0,21656,7617,746,1772
201403,0,25764,8656,1018,1976
201404,0,19633,8499,792,2598
201405,0,22803,10122,897,3364
201406,0,25901,12177,816,3564
201407,0,28164,12512,997,3361
201408,0,26081,11687,1198,3554
201409,0,30413,13767,1413,3428
201410,0,26366,13016,1421,2128
201411,0,29687,11470,1270,1982
201412,0,23873,9356,746,1871
201413,0,306045,126558,12234,31531
201501,2,24268,9477,1440,2150
201502,3,23200,8671,1054,2064
201503,2,24244,8808,1084,2582
201504,11,20056,7252,1122,2078
201505,41,20858,7481,798,2371
201506,46,24012,10420,970,2822
201507,174,24653,12251,1064,2595
201508,519,23987,10835,1215,2717
201509,773,24337,11671,1353,2639
201510,850,25829,11185,1184,2169
201511,1070,26998,11247,1305,2209
201512,1926,26304,10696,1198,2020
201513,5417,288746,119994,13787,28416
201601,1711,26057,11759,1418,2514
201602,2286,26542,12233,1238,2685
201603,4274,27350,15117,1338,3540
201604,2912,21748,16272,1611,2841
201605,3804,24390,14421,1846,2995
201606,4895,26576,15272,1382,2865
201607,4173,23605,13171,1286,2399
201608,3851,24763,13159,851,2831
201609,3996,25470,13729,843,2831
201610,6063,27278,14756,590,2696
201611,4646,24855,10989,511,2155
201612,4289,19258,7802,369,1695
201613,46900,297892,158680,13283,32047
201701,4351,18559,9489,465,1769
201702,4201,20326,10551,527,1869
201703,5498,29624,12789,716,2583
201704,4744,24644,8669,443,1716
201705,6716,19659,9467,541,1786
201706,7176,20635,11408,860,1573
