"YYYYMM","Share"
199901,
199902,
199903,
199904,
199905,
199906,
199907,
199908,
199909,
199910,
199911,
199912,
200001,
200002,
200003,
200004,
200005,
200006,
200007,
200008,
200009,
200010,
200011,
200012,
200101,
200102,
200103,
200104,
200105,
200106,
200107,
200108,
200109,
200110,
200111,
200112,
200201,
200202,
200203,
200204,
200205,
200206,
200207,
200208,
200209,
200210,
200211,
200212,
200301,
200302,
200303,
200304,
200305,
200306,
200307,
200308,
200309,
200310,
200311,
200312,
200401,
200402,
200403,
200404,
200405,
200406,
200407,
200408,
200409,
200410,
200411,
200412,
200501,
200502,
200503,
200504,
200505,
200506,
200507,
200508,
200509,
200510,
200511,
200512,
200601,
200602,
200603,
200604,
200605,
200606,
200607,
200608,
200609,
200610,
200611,
200612,
200701,
200702,
200703,
200704,
200705,
200706,
200707,
200708,
200709,
200710,
200711,
200712,
200801,
200802,
200803,
200804,
200805,
200806,
200807,
200808,
200809,12.428153
200810,11.571988
200811,9.827401
200812,9.029453
200901,7.209667
200902,10.929621
200903,11.536289
200904,14.371839
200905,13.762722
200906,13.431681
200907,12.298839
200908,11.164820
200909,12.851450
200910,13.095283
200911,14.700967
200912,13.976119
201001,13.091023
201002,11.669143
201003,10.792317
201004,14.065811
201005,16.219948
201006,14.975599
201007,13.761001
201008,12.712096
201009,12.382368
201010,10.005572
201011,8.964796
201012,9.199311
201101,8.876010
201102,12.078354
201103,9.653525
201104,14.621131
201105,17.868559
201106,17.888932
201107,19.267912
201108,19.141763
201109,20.022522
201110,14.897355
201111,14.420017
201112,16.165704
201201,13.065437
201202,15.675354
201203,15.047453
201204,19.248977
201205,20.389081
201206,20.887027
201207,18.470433
201208,23.481113
201209,20.778269
201210,19.499800
201211,23.654735
201212,22.074710
201301,22.659774
201302,20.185843
201303,21.005924
201304,22.328507
201305,23.185867
201306,26.243534
201307,26.501402
201308,26.742804
201309,19.605575
201310,25.168787
201311,20.981252
201312,21.842397
201401,23.029759
201402,17.926345
201403,23.689714
201404,23.655780
201405,22.899617
201406,25.176224
201407,25.517339
201408,22.909741
201409,28.271878
201410,23.805230
201411,31.671131
201412,26.901508
201501,30.313378
201502,26.074082
201503,29.690423
201504,28.847644
201505,26.798483
201506,26.714707
201507,23.390812
201508,23.150884
201509,21.185810
201510,23.384011
201511,23.865070
201512,24.287127
201601,26.144665
201602,29.307597
201603,23.545736
201604,25.845081
201605,25.010602
201606,26.191980
201607,25.736604
201608,25.316865
201609,23.567019
201610,22.168515
201611,19.259438
201612,20.448890
201701,19.263538
201702,21.288740
201703,21.661165
201704,23.981402
201705,23.553632
201706,22.663687
201707,22.093261
201708,21.408350
201709,23.164368
201710,24.411104
201711,24.275219
201712,24.832929
201801,23.553845
201802,22.210051
201803,23.475339
201804,22.574319
201805,23.089157
201806,25.218880
201807,25.069817
201808,26.283108
201809,24.819597
201810,26.488639
201811,25.702335
201812,24.877229
201901,26.880608
201902,25.243552
201903,24.575617
201904,28.665674
201905,27.193306
201906,25.812342
201907,25.625047
201908,25.706561
201909,26.688941
201910,28.409925
201911,29.638023
201912,26.410566
202001,24.384090
202002,27.051270
202003,25.014629
202004,25.019259
202005,24.499875
202006,20.276979
202007,19.876392
202008,23.786243
202009,22.882155
202010,26.895755
202011,27.111777
202012,25.220791
202101,26.118386
202102,19.868545
202103,19.825048
202104,23.580684
202105,25.380485
202106,24.656817
202107,20.497994
202108,17.460602
202109,19.435222
202110,24.556021
202111,20.246686
202112,16.626184
202201,14.372574
202202,16.158673
202203,22.705524
202204,20.643199
202205,21.222718
202206,27.449990
202207,27.011501
202208,25.559402
202209,23.707743
202210,21.361417
202211,21.210259
202212,19.044161
202301,15.298852
202302,19.657668
202303,20.236488
202304,19.888602
202305,25.814851
202306,22.706427
202307,19.975457
202308,19.523931
202309,20.143693
202310,24.628479
202311,23.935958
202312,22.639124
202401,20.440056
202402,21.686508
202403,20.909860
202404,20.781318
202405,22.078695
202406,19.793298
202407,21.790431
202408,21.972427
202409,19.406285
202410,19.287936
202411,19.213667
202412,15.264252
202501,20.594040
202502,18.080492
202503,18.431985
202504,21.770778
202505,22.980861
202506,
