"YYYYMM","Power","City Gas","Refineries","Internal consumption for Pipeline System","Agriculture(Tea Plantation)","Industrial","Manufacturing","Others","Fertiliser","Petrochems","LPG Shrinkage","Sponge Iron/Steel","Total","City Gas: CNG"
201504,795.452000,415.097000,396.482000,24.480000,,32.749000,11.696000,385.891000,1260.592000,232.354000,66.220000,62.976000,3683.989000,
201505,816.347000,417.824000,470.492300,26.130000,,30.280000,21.838000,362.525100,1295.709000,240.138400,63.030000,66.867000,3811.180800,
201506,878.520000,398.711000,471.980500,28.810000,,20.224000,18.742000,357.725900,1260.217000,294.171000,74.310000,53.482000,3856.893400,
201507,846.063500,434.435000,406.981300,21.710000,,32.824000,18.744000,433.190900,1381.505000,304.971500,59.560000,57.052000,3997.037200,
201508,908.722000,435.230000,381.568800,29.420000,,28.210000,16.656000,414.008300,1427.018000,325.380800,73.250000,50.432000,4089.895900,
201509,950.383100,416.490300,411.700100,29.890000,,20.393400,7.165000,355.068900,1347.084500,302.364300,76.100000,45.171000,3961.810600,
201510,909.668000,456.580000,423.038300,49.990000,,25.003700,6.800000,311.136000,1463.895200,326.289800,52.720000,55.343000,4080.464000,
201511,933.658000,448.345000,419.017100,49.870000,,40.194000,7.046000,352.147400,1379.245000,322.557100,54.620000,34.574000,4041.273600,
201512,1004.018100,472.632500,453.607500,44.660200,,36.015900,8.844000,308.198200,1436.828900,361.313700,61.320000,30.168000,4217.607000,
201601,885.990600,533.904100,454.329100,31.782000,,46.558600,9.274000,325.271500,1346.699500,339.832000,53.738000,44.823000,4072.202400,
201602,928.245900,495.474400,385.201800,37.540000,,47.699400,8.323000,356.771900,1235.009900,369.238200,61.460000,21.040000,3946.004500,
201603,1032.133300,539.166000,402.145600,35.322200,,40.956300,9.087000,336.478800,1300.802500,314.672000,57.859400,22.396000,4091.019100,
201604,970.671876,557.111000,475.285066,33.311455,,34.049400,8.529000,335.933804,1215.959000,299.453197,74.966953,39.883000,4045.153751,
