"YYYYMM","GAS.PRD.GRS","GAS.PRD.NET","GAS.IMP","GAS.IMP.PRV","GAS.CON.PWR","GAS.CON.CGD","GAS.CON.REF","GAS.CON.INT","GAS.CON.TEA","GAS.CON.IND","GAS.CON.MFG","GAS.CON.OTH","GAS.CON.FRT","GAS.CON.PET","GAS.CON.SHR","GAS.CON.IRN","GAS.CON.TOT"
199904,,1316,,,,,,,,,,,,,,,
199905,,1688,,,,,,,,,,,,,,,
199906,,1659,,,,,,,,,,,,,,,
199907,,1732,,,,,,,,,,,,,,,
199908,,1705,,,,,,,,,,,,,,,
199909,,1646,,,,,,,,,,,,,,,
199910,,1711,,,,,,,,,,,,,,,
199911,,1712,,,,,,,,,,,,,,,
199912,,1760,,,,,,,,,,,,,,,
200001,,1674,,,,,,,,,,,,,,,
200002,,1655,,,,,,,,,,,,,,,
200003,,1726,,,,,,,,,,,,,,,
200004,,1649,,,,,,,,,,,,,,,
200005,,1729,,,,,,,,,,,,,,,
200006,,2266,,,,,,,,,,,,,,,
200007,,2380,,,,,,,,,,,,,,,
200008,,2399,,,,,,,,,,,,,,,
200009,,2316,,,,,,,,,,,,,,,
200010,,2387,,,,,,,,,,,,,,,
200011,,2336,,,,,,,,,,,,,,,
200012,,2391,,,,,,,,,,,,,,,
200101,,2349,,,,,,,,,,,,,,,
200102,,2166,,,,,,,,,,,,,,,
200103,,2249,,,,,,,,,,,,,,,
200104,,2264,,,,,,,,,,,,,,,
200105,,2284,,,,,,,,,,,,,,,
200106,,2303,,,,,,,,,,,,,,,
200107,,2388,,,,,,,,,,,,,,,
200108,,2387,,,,,,,,,,,,,,,
200109,,2309,,,,,,,,,,,,,,,
200110,,2372,,,,,,,,,,,,,,,
200111,,2343,,,,,,,,,,,,,,,
200112,,2401,,,,,,,,,,,,,,,
200201,,2421,,,,,,,,,,,,,,,
200202,,2181,,,,,,,,,,,,,,,
200203,,2384,,,,,,,,,,,,,,,
200204,,2093,,,,,,,,,,,,,,,
200205,,2455,,,,,,,,,,,,,,,
200206,,2420,,,,,,,,,,,,,,,
200207,,2543,,,,,,,,,,,,,,,
200208,,2547,,,,,,,,,,,,,,,
200209,,2479,,,,,,,,,,,,,,,
200210,,2524,,,,,,,,,,,,,,,
200211,,2506,,,,,,,,,,,,,,,
200212,,2614,,,,,,,,,,,,,,,
200301,,2651,,,,,,,,,,,,,,,
200302,,2432,,,,,,,,,,,,,,,
200303,,2678,,,,,,,,,,,,,,,
200304,,2574,,,,,,,,,,,,,,,
200305,,2609,,,,,,,,,,,,,,,
200306,,2547,,,,,,,,,,,,,,,
200307,,2626,,,,,,,,,,,,,,,
200308,,2615,,,,,,,,,,,,,,,
200309,,2544,,,,,,,,,,,,,,,
200310,,2634,,,,,,,,,,,,,,,
200311,,2570,,,,,,,,,,,,,,,
200312,,2634,,,,,,,,,,,,,,,
200401,,2666,,,,,,,,,,,,,,,
200402,,2489,,,,,,,,,,,,,,,
200403,,2424,,,,,,,,,,,,,,,
200404,,2598,,,,,,,,,,,,,,,
200405,,2567,,,,,,,,,,,,,,,
200406,,2434,,,,,,,,,,,,,,,
200407,,2584,,,,,,,,,,,,,,,
200408,,2586,,,,,,,,,,,,,,,
200409,,2535,,,,,,,,,,,,,,,
200410,,2565,,,,,,,,,,,,,,,
200411,,2591,,,,,,,,,,,,,,,
200412,,2684,,,,,,,,,,,,,,,
200501,,2698,,,,,,,,,,,,,,,
200502,,2235,,,,,,,,,,,,,,,
200503,,2743,,,,,,,,,,,,,,,
200504,,2487,,,,,,,,,,,,,,,
200505,,2656,,,,,,,,,,,,,,,
200506,,2579,,,,,,,,,,,,,,,
200507,,2604,,,,,,,,,,,,,,,
200508,,2538,,,,,,,,,,,,,,,
200509,,2559,,,,,,,,,,,,,,,
200510,,2628,,,,,,,,,,,,,,,
200511,,2620,,,,,,,,,,,,,,,
200512,,2695,,,,,,,,,,,,,,,
200601,,2690,569.118568,,,,,,,,,,,,,,
200602,,2446,598.512116,,,,,,,,,,,,,,
200603,,2721,357.590495,,,,,,,,,,,,,,
200604,,2631,579.883920,,,,,,,,,,,,,,
200605,,2686,829.560257,,,,,,,,,,,,,,
200606,,2598,766.984680,,,,,,,,,,,,,,
200607,,2675,851.666508,,,,,,,,,,,,,,
200608,,1859,492.754680,,,,,,,,,,,,,,
200609,,2482,814.809996,,,,,,,,,,,,,,
200610,,2676,966.409620,,,,,,,,,,,,,,
