"YYYYMM","Indonesia","Australia","South Africa","USA","Russia","Others"
200004,0.113591,1.322064,0.440640,0.046810,0.036017,0.219930
200005,0.253109,1.574992,0.471750,0.010937,0,0.464639
200006,0.092175,0.940606,0.181061,0,0.025425,0.360022
200007,0.144569,1.347735,0.186533,0.000002,0.005000,0.371429
200008,0.448544,0.983200,0.124432,0,0.005000,0.269111
200009,0.086068,0.954224,0.399562,0,0.005000,0.366788
200010,0.116565,0.951679,0.164181,0.000100,0.010000,0.390951
200011,0.192943,1.101448,0.306906,0,0.016914,0.425288
200012,0.247403,0.797395,0.326489,0,0,0.401530
200101,0.242181,1.036383,0.164156,0,0,0.305185
200102,0.386726,0.882550,0.244902,0,0,0.253182
200103,0.229417,1.245948,0.164438,0.000023,0,0.495057
200104,0.438486,0.578695,0.194589,0,0,0.334394
200105,0.231756,0.566552,0.254043,0.000005,0.062300,0.538748
200106,0.385397,0.617966,0.270083,0,0.112680,0.434986
200107,0.285434,1.220992,0.231690,0.004398,0,0.248490
200108,0.373768,1.019658,0.318463,0,0.097028,0.627973
200109,0.061576,0.920085,0.212779,0,0,0.345632
200110,0.177150,1.339559,0.206847,0,0,0.367948
200111,0.354361,0.793555,0.175403,0.000021,0,0.513341
200112,0.229477,0.985288,0.450173,0,0.003800,0.365280
200201,0.456851,0.778304,0.344345,0.000021,0.008000,0.415934
200202,0.359786,1.142889,0.180932,0.038499,0.003850,0.599341
200203,0.074858,0.902772,0.268393,0,0,0.306533
200204,0.218595,0.664410,0.298279,0.000011,0,0.259032
200205,0.262946,1.207165,0.192676,0.000031,0,0.555049
200206,0.254967,1.208320,0.230992,0.015875,0,0.472459
200207,0.185113,1.112498,0.147250,0.009191,0,0.363039
200208,0.352958,1.097668,0.221919,0,0.022477,0.443577
200209,0.348624,1.089530,0.197791,0,0.025256,0.496378
200210,0.534674,0.904356,0.321798,0,0.035163,0.409748
200211,0.283050,1.072573,0.579801,0,0.052164,0.621841
200212,0.411608,0.889611,0.176490,0.004820,0,0.183938
200301,0.411979,1.347426,0.244467,0,0.006000,0.415502
200302,0.441565,1.049637,0.337299,0.000035,0.021519,0.219258
200303,0.270755,1.097532,0.432465,0.000700,0.007398,0.455133
200304,0.472165,1.185514,0.099987,0.009897,0,0.695260
200305,0.459310,1.053511,0.193931,0,0,0.290029
200306,0.414986,1.146698,0.083075,0,0.015000,0.261707
200307,0.524379,1.027268,0.109221,0,0.022460,0.250755
200308,0.563686,1.240906,0.044627,0.000019,0.036760,0.385367
200309,0.450106,1.282646,0.030000,0.000025,0.037162,0.352990
200310,0.572655,1.172944,0.032045,0,0.031552,0.214662
200311,0.366257,1.133696,0,0.008056,0.046047,0.249429
200312,0.474331,1.285991,0,0.000023,0.013275,0.287424
200401,0.478498,1.091575,0,0,0.012633,0.131128
200402,0.395653,0.874110,0,0.000590,0.037287,0.224606
200403,0.505532,0.876531,0.049394,0,0.020599,0.242866
200404,0.821213,0.840942,0.051792,0,0.014887,0.545061
200405,1.194614,1.299264,0.092284,0.004741,0.041400,0.770083
200406,0.681258,0.737984,0.057817,0.010552,0.057705,0.388809
200407,0.689706,1.281451,0.019500,0.247588,0.069998,0.510272
200408,0.433591,0.796746,0.017000,0.061940,0.061327,0.292058
200409,0.696570,1.390248,0.014090,0.160305,0.080437,0.570382
200410,0.725204,1.052924,0.062065,0.134633,0.037405,0.475774
200411,0.780754,1.544298,0.008000,0,0.008435,0.403327
200412,0.724732,1.187799,0.065759,0.030000,0.032386,0.428399
200501,0.769648,1.874014,0.019286,0.063754,0.037285,0.668471
200502,0.756270,0.949155,0.000658,0.000001,0.002313,0.285469
200503,1.099365,1.367172,0.147934,0.120677,0.035266,0.694984
200504,1.204099,1.071484,0.086371,0.102038,0,0.477652
200505,0.927523,1.860452,0.178087,0.088460,0.014570,0.749097
200506,0.971222,1.276982,0.369294,0.136423,0.044179,0.674516
200507,1.153645,1.175574,0.357315,0.053076,0.019492,0.341342
200508,1.055326,1.326845,0.211972,0.063011,0,0.349561
200509,1.451300,0.810536,0.193995,0.027408,0,0.411372
200510,1.508243,0.939947,0.237850,0.036001,0,0.532177
200511,1.645082,1.320458,0.331122,0.090222,0.000001,0.337653
200512,1.368840,1.494788,0.430229,0.160294,0.000569,0.569376
200601,1.469308,0.998963,0.400782,0.161052,0,0.449599
200602,1.122179,1.041034,0.260852,0.012297,0,0.647005
200603,2.181216,1.123757,0.186135,0.092151,0,0.822245
200604,1.640540,1.012431,0.047010,0.020237,0,1.011824
200605,1.714791,1.257348,0.089425,0.072262,0,1.009637
200606,1.420090,1.372326,0.100320,0.040020,0,0.817388
200607,1.025157,1.271166,0.119812,0.034839,0,0.849552
200608,0.987790,1.456928,0.010543,0.000018,0,0.645117
200609,1.495887,1.427568,0.086487,0.121052,0,1.295072
200610,1.377062,1.349957,0.174237,0.112069,0,0.798907
200611,1.702900,1.151924,0.202710,0.125392,0.025200,1.090867
200612,1.083769,1.450414,0.246719,0.001809,0,0.424969
200701,1.590413,1.366946,0.342399,0.061244,0.025000,0.817562
200702,2.317702,1.114384,0.335320,0.044102,0,0.484419
200703,2.384777,1.751544,0.632892,0.245107,0,0.481797
200704,1.783137,1.495843,0.973779,0.004434,0,0.741428
200705,1.917693,1.544971,0.453946,0.082460,0,0.770227
200706,1.176710,1.429616,0.766479,0.105061,0,0.489617
200707,1.136687,1.400744,0.547411,0.052118,0.027500,0.406399
200708,1.209629,2.116513,0.418050,0.017087,0,0.565290
200709,1.366758,1.837819,0.593923,0.000020,0.024950,0.565328
200710,1.435628,2.112567,0.414674,0.057288,0,0.639150
200711,1.457874,1.919758,0.873101,0.051313,0,0.389599
200712,2.025027,1.654318,0.475321,0.094374,0,0.331501
200801,2.264503,1.662365,0.489418,0.005613,0.024730,0.522026
200802,1.686987,2.102604,0.523773,0.088810,0.024999,0.304434
200803,2.056250,1.586367,0.442903,0.000054,0,0.303592
200804,2.592791,1.968740,0.516294,0.140723,0.088363,0.636357
200805,2.271336,2.114268,0.819250,0.116413,0.042327,0.855688
200806,2.044059,1.804899,0.363012,0.102662,0.089334,0.373997
200807,1.823373,2.584025,0.361164,0.187644,0.075380,0.370834
200808,1.654464,1.898038,0.295784,0.186661,0.067983,0.263745
200809,2.367285,2.346866,0.390928,0.039957,0.012731,0.343854
200810,2.733365,1.888042,0.491040,0.116968,0.039000,0.151838
200811,2.254628,1.469879,0.421672,0.165548,0.013000,0.175012
200812,1.961442,1.213256,0.857400,0.079881,0,0.160886
200901,2.079979,0.674804,0.654869,0.000018,0.023800,0.064139
200902,3.052644,0.888937,0.993748,0.030622,0,0.014011
200903,3.932317,0.883161,0.928081,0.048054,0.047345,0.165120
200904,3.199284,1.662757,1.504264,0.085536,0,0.362415
200905,3.567073,1.918561,0.798378,0.093990,0.101205,0.271419
200906,2.626149,2.043726,1.010048,0.033928,0.065277,0.497370
200907,2.128690,1.401652,1.629801,0.054007,0.063477,0.317849
200908,1.658430,1.819479,0.890844,0.278899,0.081891,0.318498
200909,2.147279,1.751494,1.236882,0.054939,0.092343,0.384801
200910,2.249646,2.267628,1.321950,0.187299,0.080170,0.258183
