"YYYYMM","By gencos to CIL","By gencos to SCCL","By gencos to CPSUs","By all to CIL","By all to coalcos"
200901,,,,,
200902,,,,,
200903,,,,,
200904,,,,,
200905,,,,,
200906,,,,,
200907,,,,,
200908,,,,,
200909,,,,,
200910,,,,,
200911,,,,,
200912,,,,,
201001,,,,,
201002,,,,,
201003,,,,,
201004,,,,,
201005,,,,,
201006,,,,,
201007,,,,,
201008,,,,,
201009,,,,,
201010,,,,,
201011,,,,,
201012,,,,,
201101,,,,,
201102,,,,,
201103,,,,,
201104,,,,,
201105,,,,,
201106,,,,,
201107,,,,,
201108,,,,,
201109,,,,,
201110,,,,,
201111,,,,,
201112,,,,,
201201,,,,,
201202,,,,,
201203,,,,,
201204,,,144.205100,,
201205,,,,,
201206,,,,,
201207,,,,,
201208,,,,,
201209,,,,,
201210,,,,,
201211,,,,,
201212,,,,,
201301,,,171.643100,,
201302,,,166.367500,,
201303,,,161.091900,,
201304,,,154.499400,,
201305,,,,,
201306,,,,,
201307,,,,,
201308,,,160.728100,,
201309,,,157.923600,,
201310,,,157.742700,,
201311,,,160.182250,,
201312,,,162.621800,,
201401,,,154.955200,,
201402,,,153.974400,,
201403,,,151.971500,,
201404,,,141.011600,,
201405,,,142.753200,,
201406,,,,,
201407,,,,,
201408,,,,,
201409,,,,,
201410,,,162.711000,,
201411,,,158.218900,,
201412,,,165.950900,,
201501,,,212.079600,,
201502,,,177.062200,,
201503,,,186.429600,,90.696700
201504,,,188.915900,,
201505,,,192.254400,,
201506,,,203.367200,,
201507,,,216.006200,,
201508,,,221.472600,,
201509,,,210.858400,,
201510,,,208.820600,,
201511,,,212.278100,,
201512,,,215.608900,,
201601,95.338900,,,,
201602,100.868100,,,,
201603,100.455000,,222.074600,,
201604,115.325300,,123.094500,,
201605,118.947600,,137.796100,,
201606,114.666800,,152.335100,,
201607,112.615500,,184.023000,,
201608,102.710500,,200.398500,,
201609,99.561100,,207.264300,,
201610,96.411700,,199.350200,,
201611,102.895000,,,,
201612,117.721100,,,,
201701,123.311000,,,,
201702,135.256900,,,,
201703,116.977300,,,,
201704,127.578900,,113.873600,,
201705,119.157400,,117.497300,,
201706,105.444200,,119.352200,,
201707,110.549100,,126.609400,,
201708,109.867400,,129.238400,,
201709,106.596900,,129.949000,,
201710,101.580000,,148.734500,,
201711,104.971400,,144.472000,,
201712,102.220700,,,,
201801,98.155000,,,,
201802,101.361400,,165.562700,,
201803,94.261100,,137.859700,,
201804,94.653600,,150.820900,,
201805,87.243800,,144.434500,,
201806,77.146600,,177.755300,,
201807,72.189600,,183.798500,,
201808,73.438700,,200.069700,,
201809,75.734800,,192.036700,,
201810,80.104500,,209.478500,,
201811,79.101400,,226.783200,,
201812,82.488200,,244.527300,,
201901,87.005400,,259.244100,,
201902,80.389800,,263.430900,,
201903,81.011900,,208.884800,,
201904,99.080000,,225.680400,,
201905,99.341600,,239.668100,,
201906,98.033800,,323.010000,,
201907,103.855400,,329.676800,,
201908,101.193300,,342.170600,,
201909,95.302200,,366.335300,,
201910,90.953300,,381.147900,,
201911,95.311500,,367.557900,,
201912,108.496200,,368.405400,,
202001,124.233600,,370.395200,,
