"YYYYMM","Small Hydro","Solar","Wind","Biomass"
201503,18.332634,17.780203,8.392741,63.812412
201506,26.255318,17.616911,23.066857,26.075988
201510,,,,
201512,17.008875,18.238623,8.025506,66.977606
201603,15.625287,19.221870,9.471606,52.526221
201606,21.229242,16.363619,29.897169,19.441696
201609,30.567718,16.562456,27.677133,19.973671
201610,,18.616477,,
201612,11.365864,17.251810,8.335500,36.669691
201701,,17.265999,,
201703,14.562625,18.277045,9.808608,23.076842
201706,17.963962,19.027837,30.885911,9.659090
201707,,16.377726,,
201709,31.392107,18.749077,16.552131,9.226553
201711,17.063423,,,27.078621
201712,14.032110,17.546869,12.683939,36.783847
201803,11.291580,20.557399,11.478833,31.894391
201806,23.531546,18.172541,33.764719,10.844309
201809,30.856356,18.559350,24.448787,6.498864
201810,26.016271,19.087258,10.844398,
201812,15.341346,16.410667,10.669254,37.891511
201901,12.736387,17.799315,10.885673,38.251691
201902,12.837637,20.758112,13.049345,35.851527
201903,13.941879,21.363772,11.243087,29.516580
201904,15.665647,20.365204,13.967149,20.371711
201905,17.610670,19.818818,23.997053,11.812259
201906,20.076748,18.027964,32.358430,7.308644
201907,24.844331,14.879099,40.196761,6.941575
201908,32.690656,15.814645,35.521517,6.653468
201909,38.976975,15.849458,20.651899,6.181961
201910,37.467496,15.261178,19.894016,5.981309
201911,25.031080,17.031110,10.173859,15.005219
201912,20.273680,15.955077,14.173498,27.872624
202001,16.165644,18.297885,11.881580,29.714803
202002,17.099455,21.366106,13.432658,29.894346
202003,15.897173,21.834034,12.122974,23.206412
202004,18.679230,21.357090,12.699416,16.633242
202005,22.074356,21.616057,22.209315,12.563409
202006,24.225832,18.665387,29.016986,6.739555
202007,29.692407,17.750594,24.717254,5.998311
202008,36.252832,16.143528,34.143560,5.702666
202009,40.348692,17.608048,17.705539,6.201179
202010,34.040979,18.112284,14.041085,7.405249
202011,25.099214,17.420225,11.970725,23.837442
202012,19.777850,17.162860,13.311182,30.609843
202101,16.231851,17.150909,12.386939,31.052858
202102,14.509682,20.773550,11.036243,31.046262
202103,12.655079,22.933950,12.166444,24.600770
202104,12.767158,21.102958,13.187906,16.057298
202105,15.574562,19.751182,24.148468,9.342180
202106,21.036999,19.999194,34.227183,6.403707
202107,34.261554,16.108774,38.826659,13.147054
202108,41.324173,16.358322,31.699670,5.973369
202109,44.048635,16.351856,24.374097,5.343767
202110,35.592325,17.815696,10.023942,7.550225
202111,25.296646,14.476696,11.376843,24.244705
202112,17.513310,16.084630,12.002085,32.755170
202201,14.688373,17.834104,11.392618,31.661123
202202,17.451779,21.423630,11.528293,32.150521
202203,17.731020,21.393224,13.382310,32.277447
202204,19.542249,21.148014,14.170293,23.934372
202205,17.797929,21.132975,33.668207,13.555624
202206,19.862004,20.011159,33.091984,8.618719
202207,34.120524,16.187402,33.787353,6.005034
202208,41.824319,17.026789,28.470311,5.232293
202209,43.694323,18.980917,22.305434,4.587777
202210,35.512318,19.160054,11.014710,7.419623
202211,28.467760,17.928537,8.258102,23.242149
202212,20.700549,17.612664,12.820450,31.917315
202301,17.392648,19.633546,16.068255,34.148547
202302,16.888795,22.170197,11.079378,31.370511
202303,15.723225,20.995971,13.150741,25.896967
202304,16.466954,21.412974,13.804863,17.563460
202305,19.772111,21.473914,25.354164,11.224213
202306,20.623891,19.350413,36.914055,6.359625
202307,33.772937,16.054589,38.154131,5.015021
202308,33.415802,17.561097,37.848085,5.238700
202309,34.065155,17.862568,27.851392,5.436743
202310,26.036739,19.104788,10.780823,5.891698
202311,21.573320,15.052221,11.079940,23.254653
202312,15.964862,15.864512,15.391522,29.326595
202401,13.004620,16.403933,12.211762,29.781933
202402,12.733905,19.979702,15.647788,27.951959
202403,12.589167,20.881421,13.517794,22.958956
202404,16.150114,20.304969,14.271670,14.214934
202405,19.714755,20.366375,23.975914,7.946457
202406,21.543099,18.729408,30.245914,6.197031
202407,35.416396,16.121886,39.081417,5.405822
202408,42.563184,15.458096,29.283084,5.571175
202409,44.154042,17.423526,26.059470,4.964259
202410,38.591962,18.015993,9.155532,6.314311
202411,23.534316,16.770008,9.027375,16.859210
202412,21.309067,14.988508,16.073535,28.637363
202501,16.458452,16.663520,15.700130,30.015883
202502,16.392707,18.942360,14.097528,26.255088
202503,16.210513,21.704689,13.992277,16.672196
202504,18.717433,20.563368,17.394605,9.959860
202505,20.572209,17.577098,28.017236,7.494408
202506,31.871569,15.813515,40.141031,5.779781
202507,41.715378,13.826366,45.502974,16.684032
202508,43.671352,14.026580,33.066325,5.257692
202509,40.526039,15.034592,27.302832,4.838442
202510,32.676612,13.650199,16.136747,6.564657
