"YYYYMM","Small hydro","Wind","Biomass","Solar","Large hydro"
194712,,,,,0.508000
195012,,,,,0.560000
195603,,,,,1.061000
196103,,,,,1.917000
196303,,,,,2.936000
196603,,,,,4.124000
196903,,,,,5.907000
197403,,,,,6.966000
197903,,,,,10.833000
198003,,,,,11.384000
198503,,,,,14.460000
199003,,,,,18.307000
199203,,,,,19.194000
199703,,,,,21.658000
199803,,,,,21.904000
199903,,,,,22.479000
200003,,,,,23.857000
200103,,,,,25.153000
200112,,1456,,,
200203,,,,,26.269000
200212,,1702,,,
200303,,,,,26.767000
200312,,2125,,,
200403,,,,,29.507000
200412,,3000,,,
200503,,,,,30.936000
200512,,4430,,,
200603,,,,,32.326000
200612,,6270,,,
200703,,,,,34.662000
200803,2045.070000,7666.840000,1325.630000,,37.002000
200903,2160.480000,9344.130000,1650.430000,,36.846000
201003,2604.920000,10647.450000,2167.730000,11,36.863000
201103,2913,12806.540000,2600.130000,36,37.567000
201203,3410.520000,16896.600000,3135.330000,1030,38.990000
201303,3643.170000,18484.990000,3600.930000,1686,39.491000
201401,,,,2208.365500,
201403,3803.680000,21136.400000,4013.550000,2631.930000,40.531000
201410,,,,,
201412,,22465,,,
201503,4055.360000,23444,4418.550000,3743.970000,41.267000
201506,4101.550000,23762.810000,4418.550000,4060.650000,
201510,,,,,
201512,4176.820000,25088.190000,4550.550000,4878.870000,
201603,4273.470000,26866.660000,4831.330000,6762.850000,42.783000
201604,,,,,42.783420
201605,,,,,42.783430
201606,4304.270000,27151.400000,4860.830000,7805.340000,42.848430
201607,,,,,42.888430
201608,,,,,42.968430
201609,4323.370000,28082.950000,4882.330000,8513.230000,43.112430
201610,,,,8728.610000,43.112430
201611,,,,,43.133430
201612,4333.860000,28700.440000,7856.940000,9012.690000,43.139430
201701,,,,9235.240000,44.189430
201702,,,,,44.413430
201703,4379.860000,32279.770000,8181.700000,12288.830000,44.478420
201704,,,,,44.594420
201705,,,,,44.594420
201706,4384.550000,32508.170000,8181.700000,13114.850000,44.614420
201707,,,,13652,44.614420
201708,,,,,44.653420
201709,4389.550000,32700.640000,8181.700000,14771.690000,44.765420
201710,,,,,44.765420
201711,4399.355000,,8842,,44.963420
201712,4418.150000,32848.460000,8413.800000,17052.410000,44.963420
201801,,,,,44.963420
201802,,,,,44.963420
201803,4485.810000,34036,8700.800000,21651.480000,45.293420
201804,,,,,45.293420
201805,,,,,45.403420
201806,4493.200000,34293.480000,8700.800000,23022.830000,45.403420
201807,,,,,45.457420
201808,,,,,45.457420
201809,4506.950000,34615.100000,8730.800000,24021.660000,45.487420
201810,4506.950000,34986.350000,,24312.580000,45.487420
201811,,,,,45.399220
201812,4517.450000,35138.150000,9075.500000,25212.260000,45.399220
201901,4528.050000,35288.100000,9075.500000,26025.970000,45.399220
201902,4528.050000,35288.100000,9075.500000,26025.970000,45.399220
201903,4593.150000,35625.965000,9778.310000,28180.710000,45.399220
201904,4594.150000,35815.880000,9806.310000,28679.210000,45.399220
201905,4603.750000,36089.120000,9806.310000,29409.250000,45.399220
201906,4604.802000,36368.470000,9806.310000,29549.310000,45.399220
