"YYYYMM","FOUR WHEELER (INVALID CARRIAGE) | total","FOUR WHEELER (INVALID CARRIAGE) | diesel","FOUR WHEELER (INVALID CARRIAGE) | petrol","FOUR WHEELER (INVALID CARRIAGE) | petrolblend","FOUR WHEELER (INVALID CARRIAGE) | cng only","FOUR WHEELER (INVALID CARRIAGE) | electric(bov)","HEAVY GOODS VEHICLE | total","HEAVY GOODS VEHICLE | diesel","HEAVY GOODS VEHICLE | petrol","HEAVY GOODS VEHICLE | petrolblend","HEAVY GOODS VEHICLE | cng only","HEAVY GOODS VEHICLE | electric(bov)","HEAVY MOTOR VEHICLE | total","HEAVY MOTOR VEHICLE | diesel","HEAVY MOTOR VEHICLE | petrol","HEAVY MOTOR VEHICLE | petrolblend","HEAVY MOTOR VEHICLE | cng only","HEAVY MOTOR VEHICLE | electric(bov)","HEAVY PASSENGER VEHICLE | total","HEAVY PASSENGER VEHICLE | diesel","HEAVY PASSENGER VEHICLE | petrol","HEAVY PASSENGER VEHICLE | petrolblend","HEAVY PASSENGER VEHICLE | cng only","HEAVY PASSENGER VEHICLE | electric(bov)","LIGHT GOODS VEHICLE | total","LIGHT GOODS VEHICLE | diesel","LIGHT GOODS VEHICLE | petrol","LIGHT GOODS VEHICLE | petrolblend","LIGHT GOODS VEHICLE | cng only","LIGHT GOODS VEHICLE | electric(bov)","LIGHT MOTOR VEHICLE | total","LIGHT MOTOR VEHICLE | diesel","LIGHT MOTOR VEHICLE | petrol","LIGHT MOTOR VEHICLE | petrolblend","LIGHT MOTOR VEHICLE | cng only","LIGHT MOTOR VEHICLE | electric(bov)","LIGHT PASSENGER VEHICLE | total","LIGHT PASSENGER VEHICLE | diesel","LIGHT PASSENGER VEHICLE | petrol","LIGHT PASSENGER VEHICLE | petrolblend","LIGHT PASSENGER VEHICLE | cng only","LIGHT PASSENGER VEHICLE | electric(bov)","MEDIUM GOODS VEHICLE | total","MEDIUM GOODS VEHICLE | diesel","MEDIUM GOODS VEHICLE | petrol","MEDIUM GOODS VEHICLE | petrolblend","MEDIUM GOODS VEHICLE | cng only","MEDIUM GOODS VEHICLE | electric(bov)","MEDIUM MOTOR VEHICLE | total","MEDIUM MOTOR VEHICLE | diesel","MEDIUM MOTOR VEHICLE | petrol","MEDIUM MOTOR VEHICLE | petrolblend","MEDIUM MOTOR VEHICLE | cng only","MEDIUM MOTOR VEHICLE | electric(bov)","MEDIUM PASSENGER VEHICLE | total","MEDIUM PASSENGER VEHICLE | diesel","MEDIUM PASSENGER VEHICLE | petrol","MEDIUM PASSENGER VEHICLE | petrolblend","MEDIUM PASSENGER VEHICLE | cng only","MEDIUM PASSENGER VEHICLE | electric(bov)","OTHER THAN MENTIONED ABOVE | total","OTHER THAN MENTIONED ABOVE | diesel","OTHER THAN MENTIONED ABOVE | petrol","OTHER THAN MENTIONED ABOVE | petrolblend","OTHER THAN MENTIONED ABOVE | cng only","OTHER THAN MENTIONED ABOVE | electric(bov)","THREE WHEELER(NT) | total","THREE WHEELER(NT) | diesel","THREE WHEELER(NT) | petrol","THREE WHEELER(NT) | petrolblend","THREE WHEELER(NT) | cng only","THREE WHEELER(NT) | electric(bov)","THREE WHEELER(T) | total","THREE WHEELER(T) | diesel","THREE WHEELER(T) | petrol","THREE WHEELER(T) | petrolblend","THREE WHEELER(T) | cng only","THREE WHEELER(T) | electric(bov)","TWO WHEELER (INVALID CARRIAGE) | total","TWO WHEELER (INVALID CARRIAGE) | diesel","TWO WHEELER (INVALID CARRIAGE) | petrol","TWO WHEELER (INVALID CARRIAGE) | petrolblend","TWO WHEELER (INVALID CARRIAGE) | cng only","TWO WHEELER (INVALID CARRIAGE) | electric(bov)","TWO WHEELER(NT) | total","TWO WHEELER(NT) | diesel","TWO WHEELER(NT) | petrol","TWO WHEELER(NT) | petrolblend","TWO WHEELER(NT) | cng only","TWO WHEELER(NT) | electric(bov)","TWO WHEELER(T) | total","TWO WHEELER(T) | diesel","TWO WHEELER(T) | petrol","TWO WHEELER(T) | petrolblend","TWO WHEELER(T) | cng only","TWO WHEELER(T) | electric(bov)"
201602,88,11,63,12,0,1,25696,25462,3,2,80,1,361,354,1,0,0,0,2715,2602,1,0,107,0,45987,40363,423,240,657,12,254552,121109,112205,16856,140,60,22828,17152,1393,4123,131,1,2893,2837,3,0,11,0,501,453,1,0,0,0,1115,1078,5,0,30,0,4350,4229,24,30,3,15,5085,4726,47,258,9,32,39050,20987,1942,11914,1229,2256,353,0,353,0,0,0,1340858,210,1338534,96,2,123,331,0,331,0,0,0
201603,81,16,52,13,0,0,27634,27402,8,2,112,0,450,446,0,0,0,0,3009,2792,1,0,209,0,47656,42338,412,186,704,0,261637,121763,117100,15749,111,56,23459,17872,1525,3742,169,26,2914,2865,2,0,11,0,616,547,3,0,0,1,1366,1290,1,0,75,0,4569,4426,20,32,1,28,5204,4905,44,201,7,21,45397,21485,2304,14828,1330,4252,429,2,426,0,0,0,1337486,219,1334919,104,5,136,290,0,286,0,0,0
201604,86,13,65,8,0,0,24957,24762,5,0,117,1,373,369,0,0,0,0,3096,2936,6,1,153,0,37898,33658,409,123,593,6,239439,109161,109741,15556,137,66,21675,15558,1281,4652,130,3,2788,2690,3,0,31,0,459,404,0,0,0,0,1482,1410,1,0,71,0,3999,3578,23,32,4,340,4067,3775,29,216,1,28,40367,17197,2276,15873,1609,2876,260,1,258,0,0,0,1353733,196,1351181,135,5,122,177,1,175,0,0,0
201605,72,14,44,13,0,1,22963,22840,9,0,77,1,330,323,1,0,0,0,3427,3254,5,0,168,0,41159,36256,505,171,881,8,256363,122240,112650,16114,95,46,23627,16618,1621,5169,153,0,2960,2793,0,0,36,3,537,482,1,1,0,0,2243,2165,5,0,70,0,4337,4189,36,19,5,39,4489,4229,23,176,0,13,42067,19371,2310,14105,1844,3793,215,0,214,0,0,0,1446272,248,1442685,125,0,101,220,0,220,0,0,0
201606,58,10,37,11,0,0,21719,21637,6,0,54,0,302,296,1,0,0,0,3134,2956,6,2,166,0,42431,37336,396,157,784,8,244882,118389,105805,14737,107,46,26130,18309,1794,5775,166,2,2643,2512,0,0,22,0,574,516,1,0,0,0,3073,3030,0,1,42,0,4723,4569,55,21,0,17,5210,4957,24,159,2,11,44705,20650,2330,14967,1380,4886,263,0,262,0,0,0,1417276,225,1414798,170,15,149,170,0,170,0,0,0
201607,53,4,40,9,0,0,16540,16403,4,0,59,0,287,275,1,0,1,1,2841,2580,0,4,240,0,39330,34523,363,135,751,9,239139,110483,107165,14972,92,55,24397,16947,2038,5150,149,0,2438,2326,1,0,28,0,620,449,1,0,0,0,1982,1919,1,0,62,0,3948,3807,45,32,1,11,4332,4115,38,93,0,36,39449,18682,1909,12996,1286,4139,294,0,294,0,0,0,1311618,211,1309424,173,0,131,191,0,190,0,0,0
201608,58,8,39,11,0,0,16416,16323,5,0,62,1,330,324,0,0,0,0,3365,3157,10,0,198,0,40017,35134,324,137,780,6,247262,109560,117039,15317,128,66,25838,18257,2124,5231,117,2,2450,2322,1,0,40,0,484,460,1,0,0,0,1801,1759,0,1,40,0,3859,3729,41,21,0,11,4427,4217,33,95,1,37,40243,19807,2247,12985,850,3815,251,0,250,0,0,0,1283324,208,1281348,104,0,84,367,0,363,0,0,0
201609,74,9,56,9,0,0,19106,18978,4,2,66,0,317,299,1,0,0,2,3616,3463,3,0,134,0,41122,35947,321,126,969,2,230741,101897,109880,13545,134,54,26642,17537,2324,6591,72,2,2527,2412,2,0,41,0,557,499,4,0,0,0,1611,1548,2,0,57,0,3450,3309,35,27,2,11,4211,3910,43,144,0,62,41838,20797,2340,13492,843,3937,268,0,267,0,0,0,1259126,177,1257035,132,0,104,282,0,279,0,0,0
201610,97,13,69,14,0,0,21204,21092,3,2,64,2,333,327,0,0,0,3,3745,3584,1,0,158,0,45079,39602,335,117,1077,21,299759,128887,145360,19681,144,82,25864,18305,2060,5309,68,2,2974,2775,0,1,102,0,645,476,4,0,0,0,1266,1232,1,0,28,0,3394,3193,105,14,0,23,4874,4605,43,160,1,23,45520,21739,2259,14526,590,6039,216,0,215,0,0,0,1537867,190,1535735,108,3,143,471,0,468,0,0,0
201611,90,18,54,18,0,0,21242,21134,4,2,66,0,409,405,0,0,0,2,2595,2483,1,0,106,0,44496,39267,406,57,933,13,273308,125823,127162,15286,131,77,22924,16560,1909,4297,43,33,2847,2624,1,0,169,0,642,523,0,0,0,0,1001,983,2,0,15,0,3671,3415,153,28,0,18,3900,3693,35,104,0,41,38421,20348,1825,10830,510,4606,204,0,202,0,0,0,1715038,232,1712460,122,4,114,394,1,386,0,0,0
201612,85,9,63,12,0,1,16104,16018,3,1,36,1,304,287,0,0,0,0,3066,2901,0,1,154,0,39458,33605,237,29,529,3,238525,109548,109744,13114,119,36,19955,13945,1795,4073,30,4,2423,2195,1,0,92,0,628,517,0,0,0,0,978,958,3,0,14,0,3868,3596,137,28,2,35,2676,2534,27,49,0,41,30054,16090,1371,7673,369,4248,199,1,197,0,0,0,1184305,199,1182217,129,1,133,276,0,275,0,0,0
201701,90,10,60,19,0,0,18099,17972,2,0,68,0,293,286,0,1,0,0,2666,2565,1,0,97,0,39417,34483,244,27,902,10,296827,120814,150907,19740,111,73,25457,17944,1939,5277,86,22,2576,2467,0,0,74,0,510,476,2,0,0,0,1035,1017,2,0,16,0,3511,3214,197,16,2,16,2692,2492,20,95,0,64,31265,15404,1366,9346,465,4287,152,1,151,0,0,0,1216529,182,1214105,100,3,110,319,0,314,0,0,0
201702,97,9,73,15,0,0,22330,22201,7,0,82,0,294,277,0,0,0,0,2651,2538,1,0,109,0,39891,34960,312,17,1033,37,256275,113044,120381,16260,109,56,23900,16885,1808,4932,64,21,2821,2676,4,0,123,0,474,436,2,0,0,0,1085,1049,1,0,35,0,3030,2788,144,23,3,18,3093,2889,28,104,1,38,33538,16646,1420,10376,522,4165,260,1,257,1,0,0,1270847,126,1269018,71,4,75,376,0,376,0,0,0
201703,101,15,70,16,0,0,44162,43957,12,2,103,1,757,744,2,0,0,0,5785,5512,0,2,238,0,55302,49429,427,23,1193,204,315432,151148,137119,17877,66,80,30643,22548,2371,5283,151,59,4309,4135,5,1,127,0,859,826,3,0,0,0,2055,1988,4,1,61,0,5526,5279,111,24,4,19,3505,3171,31,149,6,84,46759,25530,1973,12567,710,5414,891,1,889,0,0,0,1742141,244,1739805,79,5,132,711,0,709,1,0,0
201704,81,15,54,11,0,0,26586,26459,4,1,53,0,342,336,1,0,0,0,3404,3192,1,1,202,0,43492,38964,369,32,1023,109,255209,107424,125556,15144,57,82,22671,17006,2061,3321,88,7,2656,2526,0,0,89,0,475,435,1,0,0,0,1991,1973,1,0,17,0,3633,3432,128,8,6,12,3204,2955,22,101,5,72,36062,20760,1261,8500,438,4676,578,0,576,0,0,1,1526297,202,1524477,98,10,95,1194,1,1192,0,0,0
201705,126,18,89,19,0,0,14597,14501,2,0,41,0,280,279,0,0,0,1,2487,2356,1,0,128,1,39104,34300,308,21,1077,53,278531,119475,135203,15902,43,75,20641,15065,2035,3169,102,87,1898,1720,2,0,106,0,529,508,0,0,0,0,1994,1960,1,0,32,1,4337,4069,147,22,0,30,2509,2233,23,90,0,89,34868,16629,1238,9331,541,6631,477,1,474,0,0,0,1608056,285,1606221,107,5,91,394,0,392,0,0,0
201706,89,11,61,16,0,0,15610,15376,5,0,47,0,373,366,0,0,0,0,2832,2620,2,4,203,0,40077,35687,150,46,1028,68,295994,131106,139607,16109,32,80,20007,15154,1879,2648,152,1,1895,1722,2,0,129,0,685,659,0,0,0,0,2779,2721,2,0,54,1,4509,4207,176,21,2,44,3533,3262,20,135,0,85,37213,16468,1052,11232,859,7093,312,0,311,0,0,0,1520855,214,1519403,82,5,137,397,0,397,0,0,0
201707,107,14,70,22,0,0,18441,18066,36,1,58,0,367,361,0,0,0,0,2330,2065,3,1,261,0,42243,37264,135,61,915,47,284663,135422,126327,14804,38,73,16902,12538,1928,2134,123,0,1986,1819,0,0,108,0,684,659,0,0,0,0,2045,1994,5,0,46,0,4586,4348,141,29,1,36,3253,2950,20,152,0,89,40235,17265,1227,11603,714,8686,328,0,322,1,0,0,1391187,136,1390122,62,3,116,347,1,346,0,0,0
201708,83,10,58,13,0,0,17803,17542,14,1,51,0,247,241,1,0,0,0,2027,1912,2,0,106,0,40037,35641,127,66,935,42,271287,125550,124373,14853,26,82,17803,13066,1985,2540,66,13,1922,1740,0,0,120,0,704,680,1,0,0,0,1630,1540,2,1,85,0,3767,3572,93,37,1,28,3335,3064,32,86,0,86,42804,17278,1429,14004,334,8819,269,1,267,0,0,0,1330106,122,1329463,69,1,99,436,0,435,0,0,0
201709,91,16,63,12,0,0,23498,23267,8,1,57,0,305,301,1,0,0,0,2462,2384,1,0,77,0,42723,37073,138,124,1099,77,288572,127862,138425,15476,24,107,18643,13407,2109,2901,92,9,2242,2044,1,0,141,0,560,526,2,0,1,0,1468,1357,3,1,107,0,2683,2546,61,33,1,19,4339,3997,23,191,1,82,45451,17042,1373,18577,299,7332,283,0,282,0,0,0,1355978,121,1355406,59,0,109,492,0,487,0,0,0
201710,128,19,87,22,0,0,23828,23597,7,1,51,0,286,271,0,0,0,0,1907,1843,0,0,59,0,49385,43407,86,98,1458,80,306700,125760,154649,18643,35,105,17533,12626,1888,2719,140,29,2631,2371,2,0,223,0,568,523,1,0,1,0,1173,1045,0,0,128,0,2790,2629,63,44,0,36,3606,3231,16,112,0,158,51614,19801,1427,22331,401,7092,558,0,557,0,0,0,1787174,173,1786402,77,8,160,594,0,594,0,0,0
201711,144,23,98,21,0,0,26534,26371,7,0,56,0,385,374,3,0,0,0,1969,1878,3,1,68,8,60662,53600,163,117,1492,89,316921,142043,148840,17091,35,64,20112,14486,2309,2961,183,33,3133,2871,1,0,223,0,799,697,4,0,0,0,1093,1005,2,0,83,3,4467,4223,90,50,0,79,3419,3134,21,97,0,119,65663,24502,2148,28399,329,9479,638,0,638,0,0,0,1948251,207,1947380,79,3,214,780,1,779,0,0,0
201712,90,15,57,18,0,0,24805,24669,8,0,65,0,367,343,0,0,0,0,1887,1832,2,0,42,0,50415,43980,151,102,1143,93,272270,124118,125679,13445,22,57,16737,11751,2179,2519,130,29,3031,2724,0,0,244,0,890,708,1,0,0,0,891,828,2,0,61,0,4312,4197,40,23,0,29,3042,2678,19,133,2,171,55170,18993,2083,24534,267,8548,565,2,563,0,0,0,1353563,132,1352991,35,2,186,786,0,782,1,0,3
201801,135,24,88,21,0,0,35363,34973,5,2,65,0,345,340,0,0,0,0,1906,1816,1,1,76,0,57831,51704,132,97,1754,113,347068,144918,172279,19580,24,67,21702,15847,2319,3149,202,29,3682,3326,0,0,274,1,1294,709,0,0,0,0,1060,977,1,0,82,0,3607,3461,46,19,1,47,3834,3482,26,107,0,168,61890,20929,2715,28997,316,8402,544,0,544,0,0,0,1567446,173,1566824,47,1,176,809,0,809,0,0,0
201802,113,21,79,12,0,0,31736,31616,11,1,51,0,333,325,2,0,0,0,1895,1824,0,0,57,11,55499,50175,86,98,1641,69,280561,128526,126843,15234,20,112,19877,14540,1929,3021,178,77,3662,3275,0,0,294,0,1029,853,0,1,0,0,1040,1003,0,0,37,0,4166,4020,22,47,3,42,3415,3088,18,103,1,167,60836,20323,2608,30287,254,6737,407,0,407,0,0,0,1440523,93,1440048,28,1,156,972,0,972,0,0,0
201803,110,23,71,15,0,0,34313,34237,4,1,53,0,422,412,6,0,0,0,2281,2148,1,0,124,6,61405,55597,124,134,1519,80,324197,151214,145069,16771,32,91,25251,18743,2256,3789,283,12,3767,3346,1,0,296,0,991,907,4,0,0,0,1296,1255,0,0,37,4,4044,3943,22,24,2,34,5194,4762,16,233,6,142,61539,21989,3037,28834,259,6867,484,0,484,0,0,0,1677101,81,1676318,27,0,461,954,0,953,0,0,0
201804,121,20,88,12,0,0,32584,32491,11,1,56,0,434,430,3,0,0,0,2407,2225,1,0,167,9,58467,52799,96,145,1757,65,299768,133772,138604,16248,23,90,24283,18278,2149,3352,273,59,3979,3492,0,0,341,0,1047,883,1,0,0,0,1764,1704,1,0,58,0,3775,3677,24,26,2,33,3754,3381,17,157,1,139,58656,19649,2678,29085,158,6454,830,0,830,0,0,0,1641276,72,1640107,27,3,484,838,0,836,0,0,2
201805,120,11,89,20,0,0,27627,27564,11,1,43,0,457,452,4,0,0,0,2270,2113,13,0,143,1,56853,51176,82,127,1518,87,307845,135860,143872,17798,47,106,24510,17893,2172,3872,339,68,3608,3043,0,0,275,1,1030,935,0,0,0,0,2222,2165,2,0,55,0,3877,3790,21,22,1,39,4053,3690,21,214,1,90,57759,20410,2541,26859,171,7186,974,0,974,0,0,0,1820885,79,1819959,31,0,647,1366,0,1332,0,0,34
201806,114,25,73,16,0,0,23098,22984,7,1,39,0,362,349,5,0,0,0,2272,2109,2,1,159,1,53082,47933,65,177,1258,78,284556,128593,130167,16707,50,116,25879,18802,1973,4513,355,94,3107,2721,2,0,248,0,943,872,0,0,0,0,2773,2733,2,0,37,0,3004,2911,21,30,2,31,4289,3926,12,157,0,156,54593,19797,2223,24625,156,7400,742,0,742,0,0,0,1639490,63,1638307,28,0,956,1681,0,1680,0,0,0
201807,137,18,99,20,0,0,23447,23399,2,0,25,0,403,391,6,0,0,0,2058,1908,1,0,149,0,56454,51087,88,211,1401,97,301542,145451,130927,16409,18,87,26338,18431,2238,5239,152,91,3259,2875,0,0,281,1,1063,997,0,0,0,2,2284,2228,1,0,55,0,3362,3233,17,47,1,59,3496,3125,13,162,0,175,59464,21489,2118,25648,187,9669,1219,1,1218,0,0,0,1636785,71,1635358,28,1,1212,1358,0,1353,0,0,5
201808,89,12,63,13,0,0,23374,23331,2,0,28,0,312,306,3,0,0,0,2076,1952,0,0,124,0,54014,48847,62,225,1543,81,277580,125827,127487,16222,12,68,24876,16443,2273,5771,135,49,2967,2644,0,0,264,0,941,857,2,1,0,0,1746,1710,1,1,34,0,2626,2509,12,62,1,32,3774,3400,18,157,0,152,57125,20823,1898,23797,172,9838,774,1,773,0,0,0,1506107,59,1504393,21,2,1498,1648,0,1570,0,0,75
201809,118,24,75,18,0,0,26683,26650,0,0,21,0,291,289,2,0,0,0,1805,1727,0,0,78,0,54094,48687,47,201,1845,33,260309,110859,125698,16222,16,85,22916,15015,2011,5554,91,54,3474,3112,0,0,292,0,1171,1094,1,0,0,0,1614,1566,1,1,44,0,2497,2364,9,88,1,30,3357,2967,13,195,0,160,59217,22022,1834,23719,170,10970,842,0,842,0,0,0,1476906,52,1474551,17,1,2218,2981,0,2939,2,0,39
201810,124,21,89,14,0,0,31890,31841,2,0,37,0,386,382,2,0,0,0,2425,2341,0,0,81,1,60612,53825,44,247,2221,15,289367,123210,138380,19381,5,55,21695,14850,2148,4427,79,20,3854,3337,0,0,365,0,1354,1163,0,0,1,0,1478,1445,0,0,32,0,3176,3064,4,67,1,32,5709,5099,12,402,0,168,62895,23230,1907,25037,163,12137,1118,0,1115,0,0,3,1530638,40,1527951,20,0,2552,1748,2,1744,0,0,2
201811,154,24,101,26,0,0,26820,26768,1,0,25,0,334,327,6,0,0,0,2110,2004,0,0,99,7,61532,55181,63,216,1994,15,316799,125948,160974,21173,19,98,21833,14918,2221,4295,100,80,3590,3251,0,0,282,0,1238,1076,1,0,0,0,1104,1069,0,0,35,0,3248,3140,15,52,3,19,3745,3157,12,367,0,174,59573,23300,1724,23741,143,10343,668,0,668,0,0,0,1898461,41,1895053,25,0,3267,1536,0,1427,1,0,107
201812,115,25,77,12,0,0,23872,23803,0,0,26,0,343,334,2,0,0,0,2016,1863,0,0,153,0,65480,57563,68,267,1936,27,303820,127722,145816,20701,7,114,20028,13657,2195,3875,96,12,3865,3320,0,0,405,1,1432,1242,1,0,0,0,963,930,0,0,31,2,3333,3210,19,38,5,52,2699,2306,12,114,0,249,61118,24116,1488,22699,114,12252,839,0,835,0,0,4,1703542,59,1700234,21,0,3164,1797,1,1796,0,0,0
201901,120,24,80,16,0,0,28779,28736,0,0,25,0,462,433,7,0,0,0,2112,1936,1,0,168,5,59186,53406,69,286,2178,11,367714,148427,178439,28210,22,63,20488,14512,2281,3374,88,12,4463,3868,0,1,483,0,1411,1251,0,0,0,0,1171,1124,0,0,47,0,3776,3677,40,38,4,10,3448,3064,16,172,0,172,60350,25683,1639,22155,157,10361,959,0,935,0,0,24,1570095,45,1567452,19,1,2512,1645,0,1436,0,0,209
201902,124,22,78,23,0,0,28513,28436,0,1,36,0,444,423,2,0,0,0,1925,1834,1,0,65,25,56177,50946,66,234,1862,2,280186,122585,125325,21170,11,156,23064,16355,2094,4209,105,72,4166,3586,1,0,429,0,1407,1271,0,0,0,0,1249,1199,0,0,32,18,3825,3623,78,42,6,46,4401,3934,11,274,0,172,56634,23025,1614,22491,226,8614,1694,0,1693,0,0,1,1431122,36,1427934,17,0,3029,1298,0,1202,0,0,96
201903,108,20,75,12,0,0,30906,30864,0,0,27,0,562,520,4,0,0,0,2366,2239,0,0,123,4,58151,53153,71,210,1978,1,299835,131463,136446,20867,11,159,23569,17434,2193,3574,126,82,4241,3723,0,0,462,0,1776,1636,1,0,0,0,1548,1492,2,0,53,1,4655,4203,310,33,14,40,4461,3956,8,301,0,152,59008,23971,1992,23345,184,8848,1634,0,1632,0,0,2,1588088,46,1582566,15,1,5354,2714,0,2204,0,0,510
201904,125,23,81,20,0,0,27292,27237,1,0,39,0,410,387,1,0,0,0,2604,2390,1,0,198,15,51264,47337,72,257,1923,3,278454,115240,130885,24065,14,92,19882,14574,1825,3179,166,29,3949,3369,1,0,488,0,1333,1223,0,0,0,0,1731,1659,0,0,54,18,3924,3613,193,36,2,64,3557,3101,13,262,0,142,50489,19174,1544,21162,201,7746,652,1,650,0,0,1,1522685,28,1519460,17,0,3077,2916,0,2916,0,0,0
201905,135,27,87,20,0,0,23564,23526,3,0,26,0,325,314,1,0,0,0,2686,2536,0,0,123,27,50823,46826,74,298,1862,2,281173,115980,133825,24062,22,40,22414,16195,2031,3886,167,21,3568,3162,0,0,372,0,1258,1169,0,0,0,0,2471,2391,0,0,53,27,3669,3378,191,27,5,41,4142,3667,11,280,0,111,52988,20877,1877,21652,154,8145,476,0,476,0,0,0,1624251,38,1622442,12,2,1566,1031,0,931,0,0,100
201906,114,20,84,9,0,0,18576,18530,1,0,36,0,337,331,1,0,0,0,2085,1923,2,0,145,15,45209,41971,72,292,1550,3,253246,110054,117519,20361,10,32,20395,15336,1699,3084,171,25,3029,2722,0,0,296,0,1153,1081,1,0,1,0,2832,2771,0,0,46,15,3401,3034,179,42,2,127,4927,4439,9,311,0,112,50394,20243,1548,19103,169,9073,527,0,527,0,0,0,1512934,36,1511085,15,0,1656,2262,0,2161,0,0,101
201907,113,22,68,23,0,0,19225,19161,0,0,39,0,381,374,0,0,0,0,2258,1978,0,0,244,35,51245,47019,104,322,1627,5,272686,126464,120811,20415,16,66,23239,16932,2134,3869,201,46,3384,3050,0,0,302,0,1317,1228,0,0,0,0,2505,2396,1,0,108,0,3557,3327,128,85,4,13,4197,3656,6,342,0,137,61864,24995,1668,23975,334,10609,756,0,756,0,0,0,1587150,30,1585421,17,1,1558,1021,0,1010,0,0,11
201908,82,15,54,13,0,0,17046,16975,0,0,54,0,382,382,0,0,0,0,2225,1898,0,0,247,80,46190,42372,120,342,1697,12,246958,115310,108646,18692,11,76,20796,14602,2161,3840,140,20,2937,2615,0,0,303,0,1095,1017,1,0,1,0,1829,1769,0,0,60,0,2886,2766,34,48,3,30,4305,3702,5,320,0,243,57287,21845,1478,22282,153,11284,625,0,625,0,0,0,1401251,28,1399608,10,0,1504,2606,0,2604,0,0,2
201909,92,15,66,11,0,0,15771,15685,0,0,65,0,346,339,0,0,1,0,2066,1821,0,0,211,33,45900,42378,99,313,1518,0,214264,90603,103700,16137,5,66,18821,12907,2321,3337,123,114,2861,2486,1,0,336,0,931,840,0,0,0,0,1483,1445,1,0,37,0,2809,2668,28,61,1,34,4508,3948,7,335,0,195,60316,23001,1520,21230,192,14145,619,0,619,0,0,0,1279813,20,1278151,11,0,1544,1370,0,1353,0,0,17
201910,144,26,95,23,0,0,16105,15996,0,0,76,0,430,430,0,0,0,0,2832,2498,0,0,292,42,51934,47425,175,408,1741,1,314026,113741,167556,27850,13,79,19025,12547,2049,4208,97,115,3003,2669,0,0,306,0,1130,993,0,0,0,0,1190,1114,2,0,34,40,3068,2908,28,73,2,44,8130,7354,11,545,0,185,65055,25458,1573,24635,245,13076,628,0,628,0,0,0,1630893,18,1628710,7,1,2080,2447,0,2391,0,0,56
201911,150,27,105,18,0,0,16679,16563,0,0,99,0,492,491,0,0,0,0,2397,2020,0,0,327,49,61537,56578,237,453,1766,2,334658,129558,174320,25322,9,83,19946,12950,2336,4411,83,137,3511,3053,0,0,434,0,1234,1137,0,0,0,0,1199,1168,0,0,28,1,3895,3739,27,52,0,47,5247,4639,6,336,0,242,71620,28398,1537,25875,232,15301,591,0,591,0,0,0,2000994,31,1997757,16,0,3132,1269,1,1256,0,0,12
201912,109,26,71,12,0,0,14688,14591,0,0,69,0,415,412,0,0,0,0,1957,1617,0,0,299,41,51694,46938,282,385,1341,19,277012,117790,135959,18435,10,54,17181,11173,2048,3828,65,49,3022,2724,0,0,263,0,1212,1088,0,0,0,0,1039,988,0,0,40,10,3717,3414,44,38,1,199,3856,3369,3,181,0,277,61048,24389,1292,20720,210,14145,530,0,529,0,0,1,1451272,32,1449270,10,0,1901,1230,1,896,0,0,333
202001,155,26,104,25,0,0,18062,17943,0,0,104,0,526,525,0,0,1,0,2712,2505,0,0,205,2,61715,55991,408,444,1960,1,356854,143214,181539,26379,23,75,22336,13854,2389,5733,110,213,3647,3169,0,0,444,0,1529,1377,0,0,0,0,1313,1226,0,0,79,7,3613,3408,85,43,4,67,4493,4075,10,174,0,228,66286,27374,1332,23870,219,13325,649,0,648,0,0,1,1453903,29,1451612,7,0,2217,1433,0,710,0,0,723
202002,144,26,99,19,0,0,22060,21906,0,0,134,0,523,522,0,0,0,0,3895,3520,0,0,356,19,66453,61027,326,267,2036,4,284396,117128,144225,18318,10,103,19913,12645,2472,4289,92,389,4030,3581,0,0,434,0,1531,1421,0,0,0,0,1573,1467,2,0,103,0,4275,4113,51,34,0,73,4631,4200,13,186,1,230,68691,29372,1536,23598,450,13392,1343,0,1343,0,0,0,1470911,17,1468712,11,0,2163,973,0,783,0,0,190
202003,134,30,97,7,0,0,28580,28413,0,0,152,0,625,622,1,0,0,0,7401,6394,0,0,1001,5,82411,76770,514,274,2003,3,272121,112734,136222,18303,29,230,22563,16393,2867,2936,121,195,5327,4763,0,0,528,0,1879,1792,1,0,0,0,4447,4011,0,0,434,2,5244,5077,90,24,7,39,3762,3127,8,337,24,263,80500,45198,2088,18906,2622,10443,3622,0,3622,0,0,0,2068930,31,2066003,10,0,2846,1027,0,990,0,0,37
202004,11,2,7,2,0,0,3329,3285,0,0,38,0,180,178,1,0,0,0,2177,1839,0,0,338,0,14166,12982,63,77,954,0,28920,14282,13206,1066,10,2,3996,3252,328,279,109,1,774,603,0,0,169,0,290,286,0,0,2,0,1121,1050,0,0,71,0,1018,915,76,8,1,17,61,16,1,6,1,37,13008,8388,344,3114,272,833,561,0,561,0,0,0,414056,30,413906,7,0,85,216,0,216,0,0,0
202005,11,0,10,1,0,0,70,58,0,0,0,0,24,24,0,0,0,0,4,4,0,0,0,0,2821,2376,202,5,0,0,43202,13888,25035,3022,0,61,1153,776,276,78,0,23,66,64,0,0,0,0,159,149,0,0,0,0,0,0,0,0,0,0,423,422,1,0,0,0,212,168,1,1,5,33,1885,612,207,58,184,635,42,0,42,0,0,0,192360,1,191800,0,0,558,40,0,40,0,0,0
