"YYYYMM","FOUR WHEELER (INVALID CARRIAGE) | total","FOUR WHEELER (INVALID CARRIAGE) | diesel","FOUR WHEELER (INVALID CARRIAGE) | petrol","FOUR WHEELER (INVALID CARRIAGE) | petrolblend","FOUR WHEELER (INVALID CARRIAGE) | cng only","FOUR WHEELER (INVALID CARRIAGE) | electric(bov)","HEAVY GOODS VEHICLE | total","HEAVY GOODS VEHICLE | diesel","HEAVY GOODS VEHICLE | petrol","HEAVY GOODS VEHICLE | petrolblend","HEAVY GOODS VEHICLE | cng only","HEAVY GOODS VEHICLE | electric(bov)","HEAVY MOTOR VEHICLE | total","HEAVY MOTOR VEHICLE | diesel","HEAVY MOTOR VEHICLE | petrol","HEAVY MOTOR VEHICLE | petrolblend","HEAVY MOTOR VEHICLE | cng only","HEAVY MOTOR VEHICLE | electric(bov)","HEAVY PASSENGER VEHICLE | total","HEAVY PASSENGER VEHICLE | diesel","HEAVY PASSENGER VEHICLE | petrol","HEAVY PASSENGER VEHICLE | petrolblend","HEAVY PASSENGER VEHICLE | cng only","HEAVY PASSENGER VEHICLE | electric(bov)","LIGHT GOODS VEHICLE | total","LIGHT GOODS VEHICLE | diesel","LIGHT GOODS VEHICLE | petrol","LIGHT GOODS VEHICLE | petrolblend","LIGHT GOODS VEHICLE | cng only","LIGHT GOODS VEHICLE | electric(bov)","LIGHT MOTOR VEHICLE | total","LIGHT MOTOR VEHICLE | diesel","LIGHT MOTOR VEHICLE | petrol","LIGHT MOTOR VEHICLE | petrolblend","LIGHT MOTOR VEHICLE | cng only","LIGHT MOTOR VEHICLE | electric(bov)","LIGHT PASSENGER VEHICLE | total","LIGHT PASSENGER VEHICLE | diesel","LIGHT PASSENGER VEHICLE | petrol","LIGHT PASSENGER VEHICLE | petrolblend","LIGHT PASSENGER VEHICLE | cng only","LIGHT PASSENGER VEHICLE | electric(bov)","MEDIUM GOODS VEHICLE | total","MEDIUM GOODS VEHICLE | diesel","MEDIUM GOODS VEHICLE | petrol","MEDIUM GOODS VEHICLE | petrolblend","MEDIUM GOODS VEHICLE | cng only","MEDIUM GOODS VEHICLE | electric(bov)","MEDIUM MOTOR VEHICLE | total","MEDIUM MOTOR VEHICLE | diesel","MEDIUM MOTOR VEHICLE | petrol","MEDIUM MOTOR VEHICLE | petrolblend","MEDIUM MOTOR VEHICLE | cng only","MEDIUM MOTOR VEHICLE | electric(bov)","MEDIUM PASSENGER VEHICLE | total","MEDIUM PASSENGER VEHICLE | diesel","MEDIUM PASSENGER VEHICLE | petrol","MEDIUM PASSENGER VEHICLE | petrolblend","MEDIUM PASSENGER VEHICLE | cng only","MEDIUM PASSENGER VEHICLE | electric(bov)","OTHER THAN MENTIONED ABOVE | total","OTHER THAN MENTIONED ABOVE | diesel","OTHER THAN MENTIONED ABOVE | petrol","OTHER THAN MENTIONED ABOVE | petrolblend","OTHER THAN MENTIONED ABOVE | cng only","OTHER THAN MENTIONED ABOVE | electric(bov)","THREE WHEELER(NT) | total","THREE WHEELER(NT) | diesel","THREE WHEELER(NT) | petrol","THREE WHEELER(NT) | petrolblend","THREE WHEELER(NT) | cng only","THREE WHEELER(NT) | electric(bov)","THREE WHEELER(T) | total","THREE WHEELER(T) | diesel","THREE WHEELER(T) | petrol","THREE WHEELER(T) | petrolblend","THREE WHEELER(T) | cng only","THREE WHEELER(T) | electric(bov)","TWO WHEELER (INVALID CARRIAGE) | total","TWO WHEELER (INVALID CARRIAGE) | diesel","TWO WHEELER (INVALID CARRIAGE) | petrol","TWO WHEELER (INVALID CARRIAGE) | petrolblend","TWO WHEELER (INVALID CARRIAGE) | cng only","TWO WHEELER (INVALID CARRIAGE) | electric(bov)","TWO WHEELER(NT) | total","TWO WHEELER(NT) | diesel","TWO WHEELER(NT) | petrol","TWO WHEELER(NT) | petrolblend","TWO WHEELER(NT) | cng only","TWO WHEELER(NT) | electric(bov)","TWO WHEELER(T) | total","TWO WHEELER(T) | diesel","TWO WHEELER(T) | petrol","TWO WHEELER(T) | petrolblend","TWO WHEELER(T) | cng only","TWO WHEELER(T) | electric(bov)"
201411,70,10,42,16,2,0,16693,16558,2,0,96,0,288,280,0,1,0,0,1861,1779,1,1,77,0,45317,40913,434,483,534,0,258721,143470,95592,15493,219,58,14928,12807,1135,943,34,1,2132,2100,1,0,7,1,373,306,1,0,0,0,837,814,1,0,22,0,4224,4092,30,15,4,1,5496,5380,38,54,1,0,38150,23572,1666,11381,1268,1,190,0,189,1,0,0,1506728,333,1503500,117,2,147,116,1,113,0,0,0
201412,52,7,30,15,0,0,15104,15035,2,3,47,0,244,235,1,0,0,0,1776,1740,1,0,34,0,38184,34257,325,417,387,2,246308,136059,92448,13796,188,65,14378,12104,1087,1138,32,0,1792,1759,0,0,4,0,387,325,1,0,0,0,809,793,1,0,15,0,4203,4056,24,18,3,1,4020,3892,63,49,0,0,31124,19312,1581,9259,745,1,211,0,211,0,0,0,1124959,272,1122152,115,1,166,131,0,124,0,0,0
201501,64,6,44,14,0,0,19268,19191,8,0,49,0,351,341,0,0,0,0,2037,1946,1,0,88,0,42375,37796,396,501,674,4,300712,154513,123140,19336,235,77,17504,15348,1031,1069,48,0,2259,2213,0,0,9,0,378,335,1,0,0,0,788,751,0,0,36,0,4090,3920,35,14,21,0,4049,3938,44,52,0,0,32544,19616,1863,9364,1439,1,147,0,147,0,0,0,1197010,235,1194584,135,2,92,108,0,97,0,0,0
201502,50,8,32,10,0,0,18931,18842,6,2,64,1,345,336,1,0,0,0,1959,1893,2,0,62,0,40649,35339,348,419,465,5,235664,124639,93378,13842,161,62,16536,14650,893,949,33,1,2267,2173,4,0,15,0,375,343,1,0,0,0,965,929,3,1,32,0,4580,4427,21,15,23,1,3711,3600,33,53,1,0,30509,18852,1680,8582,1051,3,207,1,206,0,0,0,1185338,219,1183027,178,2,109,102,0,94,0,0,0
201503,53,5,41,7,0,0,20422,20343,4,3,54,0,332,328,0,0,0,0,2745,2542,3,0,199,0,43612,38358,374,476,450,5,251859,130173,102358,14920,142,72,19758,17466,1042,1189,44,0,2329,2217,1,0,15,0,476,415,0,0,0,0,1250,1223,0,1,25,0,4888,4763,15,19,2,0,4260,4127,60,54,0,0,31762,19443,2022,8724,1083,1,189,0,189,0,0,0,1248624,201,1245985,167,3,144,88,0,88,0,0,0
201504,54,9,35,10,0,0,20193,20096,1,1,68,0,255,250,0,0,0,0,2840,2729,3,0,106,0,36930,31964,437,491,465,2,235461,115547,101715,14916,159,43,17879,15265,1230,1290,68,4,2245,2107,3,0,4,1,389,332,1,0,0,0,1607,1580,2,0,23,1,4709,4546,31,32,6,0,3334,3198,46,63,1,0,26400,16098,1695,7147,1121,11,192,1,191,0,0,0,1215691,237,1213562,149,3,113,91,0,91,0,0,0
201505,58,12,35,11,0,0,18212,18105,3,1,86,0,259,257,0,0,0,1,2921,2769,5,0,145,0,36302,31517,409,477,458,3,230683,114602,97837,14918,140,59,18119,15620,1271,1114,93,0,2314,1946,3,0,8,1,391,338,1,0,0,0,1715,1692,6,1,15,1,4202,4094,18,18,3,2,3232,3117,47,45,0,1,27648,17069,1937,7417,798,41,238,1,235,0,0,0,1306240,231,1303913,138,3,86,97,0,96,0,0,0
201506,51,9,31,10,0,1,18153,18052,1,1,73,0,309,308,0,0,0,0,2827,2708,2,2,114,0,38312,33679,462,460,424,3,234654,119134,96738,15013,137,70,20625,17845,1363,1299,69,10,2219,2063,3,0,8,0,365,324,0,0,0,0,2678,2655,1,1,19,0,5211,5086,42,45,0,0,4109,3847,69,173,3,1,33413,19423,2222,10214,968,45,389,0,384,0,0,0,1345300,219,1342717,126,1,157,158,0,156,0,0,0
201507,43,6,26,11,0,0,18465,18363,5,0,76,1,315,298,0,0,0,0,3366,3178,1,0,184,1,39355,34422,442,441,458,5,230929,119576,92946,14395,144,76,21357,18416,1245,1532,127,12,2265,1948,4,0,8,1,402,351,0,0,0,0,2357,2304,1,1,51,0,4633,4496,32,48,19,1,4519,3653,55,776,9,3,35532,20268,2109,11491,1054,170,300,0,299,0,0,0,1294099,259,1291757,157,2,113,179,0,179,0,0,0
201508,51,12,31,8,0,0,18310,18205,5,2,84,0,256,252,2,0,0,0,3037,2952,2,0,81,0,36545,32359,357,382,427,6,215497,109384,89834,12658,177,60,19729,17046,1138,1419,90,7,2145,1911,7,0,10,0,377,325,1,0,0,0,1746,1719,0,0,25,0,4099,3977,32,41,0,2,4624,3936,52,593,6,11,34000,19372,2270,10244,1210,508,400,0,400,0,0,0,1135510,207,1133312,140,3,118,108,0,108,0,0,0
201509,68,14,39,14,0,0,22231,22114,3,2,95,0,337,328,0,0,0,0,2718,2682,0,0,33,0,37714,33347,458,405,464,7,230975,114047,100456,13066,182,57,19962,16754,1336,1691,151,6,2312,2154,2,0,13,0,406,343,0,0,0,0,1276,1258,1,0,14,0,3863,3726,23,32,13,1,4045,3542,56,417,3,2,36135,20194,2115,11235,1351,771,237,2,234,0,0,0,1180157,191,1177904,141,5,124,127,0,124,0,0,0
201510,52,10,30,12,0,0,23540,23425,6,3,83,1,335,332,1,0,0,0,2585,2558,3,0,22,0,38921,34535,354,412,447,5,230338,111479,102011,13371,202,57,18932,15476,1298,1996,137,9,2500,2315,4,0,19,0,500,388,0,0,0,0,1058,1015,0,0,43,0,3524,3365,25,40,27,13,4694,4301,42,315,2,0,35638,20674,1822,10815,1182,849,486,1,485,0,0,0,1185025,176,1182712,141,6,139,201,1,193,0,0,0
201511,81,8,56,17,0,0,20935,20848,7,0,69,0,272,270,0,0,0,0,2444,2414,0,0,29,0,40405,36361,430,224,557,3,268676,128371,120008,16549,231,55,19382,15787,1241,2143,186,1,2433,2328,0,0,12,0,433,333,0,0,0,1,971,951,2,1,16,0,3364,3260,19,35,9,5,5868,5385,39,382,28,0,36166,20789,1887,10864,1278,1072,301,1,298,0,0,1,1554420,209,1551579,163,2,113,253,0,247,0,0,0
201512,73,12,51,10,0,0,18259,18178,4,0,57,0,263,258,0,0,0,0,2392,2357,0,0,34,0,42825,36915,486,195,435,4,253299,122369,112322,14085,165,70,18980,15027,1373,2367,157,36,2562,2209,3,0,11,0,569,431,2,0,0,0,928,918,2,0,8,0,3720,3570,17,29,2,8,4458,4103,50,292,0,1,36947,21494,1672,10351,1197,1925,397,0,396,1,0,0,1364817,248,1361352,102,4,140,239,1,237,0,0,0
201601,86,7,66,12,0,1,22345,22221,6,2,58,2,374,361,0,0,0,0,2427,2373,0,3,48,1,44583,38259,372,197,656,4,293342,131343,138180,18289,217,86,23476,18466,1438,3392,146,7,3313,2749,0,0,8,0,564,460,0,0,0,0,907,882,1,1,23,0,4038,3905,24,20,3,15,4486,4130,29,308,5,3,38277,21247,1975,11411,1413,1709,246,2,244,0,0,0,1297872,224,1295650,93,8,118,228,1,225,0,0,0
