"Date (dd/mm/yyyy)","Petrol: Delhi (Rs./litre)","Petrol: Mumbai (Rs./litre)","Petrol: Chennai (Rs./litre)","Petrol: Kolkata (Rs./litre)","Diesel: Delhi (Rs./litre)","Diesel: Mumbai (Rs./litre)","Diesel: Chennai (Rs./litre)","Diesel: Kolkata (Rs./litre)"
"01/04/2002",26.540000,,,,16.590000,,,
"04/06/2002",28.940000,,,,17.990000,,,
"16/06/2002",29.180000,,,,18.230000,,,
"16/08/2002",29,,,,18.050000,,,
"01/09/2002",29.200000,,,,18.340000,,,
"16/09/2002",29.660000,,,,18.680000,,,
"01/10/2002",29.910000,,,,18.910000,,,
"17/10/2002",30.240000,,,,19.230000,,,
"01/11/2002",30.260000,,,,19.250000,,,
"16/11/2002",29.570000,,,,18.570000,,,
"01/12/2002",28.910000,,,,18.060000,,,
"03/01/2003",29.930000,,,,19.070000,,,
"16/01/2003",30.330000,,,,19.470000,,,
"01/02/2003",30.710000,,,,19.840000,,,
"01/03/2003",32.100000,,,,21.210000,,,
"16/03/2003",33.490000,,,,22.120000,,,
"01/04/2003",33.490000,,,,22.120000,,,
"16/04/2003",32.490000,,,,21.120000,,,
"27/04/2003",31.490000,,,,20.120000,,,
"01/05/2003",31.500000,,,,20.130000,,,
"16/05/2003",30.400000,,,,19.180000,,,
"01/06/2003",30.300000,,,,19.080000,,,
"01/09/2003",32.400000,,,,20.330000,,,
"16/10/2003",31.700000,,,,19.730000,,,
"16/12/2003",32.700000,,,,20.730000,,,
"01/01/2004",33.700000,,,,21.730000,,,
"01/03/2004",33.710000,,,,21.740000,,,
"01/04/2004",33.710000,,,,21.740000,,,
"16/06/2004",35.710000,,,,22.740000,,,
"01/08/2004",36.810000,,,,24.160000,,,
"05/11/2004",39,,,,26.280000,,,
"16/11/2004",37.840000,,,,27.250000,,,
"01/04/2005",37.990000,,,,28.220000,,,
"04/05/2005",39.240000,,,,26.450000,,,
"21/06/2005",40.490000,,,,28.450000,,,
"07/09/2005",43.490000,,,,30.450000,,,
"01/04/2006",43.510000,,,,30.470000,,,
"06/06/2006",47.510000,,,,32.470000,,,
"21/06/2006",46.850000,,,,32.250000,,,
"30/11/2006",44.850000,,,,31.250000,,,
"16/02/2007",42.850000,,,,30.250000,,,
"01/03/2007",42.850000,,,,30.250000,,,
"01/04/2007",42.850000,,,,30.250000,,,
"06/06/2007",43.520000,,,,30.480000,,,
"15/02/2008",45.520000,,,,31.760000,,,
"01/04/2008",45.520000,,,,31.760000,,,
"24/05/2008",45.560000,,,,31.800000,,,
"05/06/2008",50.560000,,,,34.800000,,,
"18/07/2008",50.620000,,,,34.860000,,,
"06/12/2008",45.620000,,,,32.860000,,,
"29/01/2009",40.620000,,,,30.860000,,,
