"YYYYMM","Indonesia","Australia","South Africa","Total"
200004,32.017070,44.779679,34.643752,43.650474
200005,27.016586,33.269504,32.851406,36.525420
200006,31.503607,45.951714,32.686713,48.664176
200007,33.527139,46.070481,35.353321,47.864497
200008,32.580879,48.441966,34.090194,47.797356
200009,33.255984,47.886472,36.333908,51.951594
200010,31.144898,47.517358,33.494083,48.803892
200011,38.659490,46.746226,36.704952,48.814704
200012,32.348884,51.918676,36.488917,50.152324
200101,32.270413,50.608802,38.573406,51.136350
200102,31.778086,49.891922,36.696630,48.300947
200103,29.899480,48.804492,36.550548,50.895440
200104,33.857938,45.801484,38.623977,48.081535
200105,31.402035,49.223965,37.592258,48.600323
200106,32.344541,50.718871,41.351559,48.040937
200107,33.963144,53.018984,39.996957,51.326202
200108,33.191365,54.059865,41.501075,50.209783
200109,37.217828,58.154636,39.246603,55.002044
200110,34.581660,53.431718,41.352546,50.580223
200111,39.492879,58.469659,41.259363,54.751732
200112,33.216697,50.526979,41.585957,49.897144
200201,32.733756,55.345206,38.495076,46.919223
200202,28.545355,40.432024,36.689469,46.342594
200203,36.518649,53.197364,39.334550,52.711567
200204,28.882472,52.802368,37.692251,44.918173
200205,33.210625,50.905075,39.107984,50.777164
200206,28.727235,51.907620,36.883247,51.946077
200207,28.666604,52.182708,30.592503,47.529289
200208,27.977717,52.191353,35.406441,46.548514
200209,27.612112,52.014697,37.875257,47.875226
200210,29.503468,56.299340,33.544783,47.660763
200211,28.065656,57.530607,32.680327,51.199979
200212,27.904324,54.788974,37.241838,50.190979
200301,28.995019,57.455708,34.200047,52.456775
200302,28.470538,57.239698,35.584642,50.750765
200303,29.740234,50.316599,37.857794,45.970340
200304,30.348058,54.959862,33.254963,55.172144
200305,30.257164,57.242069,32.467455,49.396045
200306,26.325194,56.602516,33.951682,53.696604
200307,29.183129,57.876365,35.422950,61.093580
200308,30.784550,57.467124,33.515697,58.912922
200309,29.023363,56.286388,26.312267,56.315060
200310,30.162236,57.408105,28.748760,57.478740
200311,29.513798,59.153982,,56.514194
200312,30.858266,64.027649,,61.352549
200401,33.866165,70.118736,,63.030982
200402,33.673042,67.923780,,71.721282
200403,38.052881,73.256033,76.855286,80.707735
200404,47.700134,70.862548,71.479630,94.243686
200405,50.672812,67.370385,78.545945,97.980838
200406,46.877920,83.288933,73.853538,110.859726
200407,48.847834,78.798363,77.197385,100.098455
200408,47.699825,83.101451,77.786000,98.268765
200409,47.570214,89.949859,129.875160,104.457769
