"YYYYMM","National coal production","Lignite production","CIL production","SCCL production","Net Imports","Power station stocks","Consumption: All stations","CIL despatches"
199901,,,,,,,,
199902,,,,,,,,
199903,,,,,,,,
199904,20.230000,2.093000,17.420000,,,,,21.460000
199905,21.809000,1.804000,18.931000,,,,,22.355000
199906,21.955000,1.648000,18.970000,,,,,21.561000
199907,22.591000,1.680000,19.476000,,,,,21.609000
199908,22.179000,1.794000,19.254000,,,,,20.057000
199909,20.925000,1.972000,17.901000,,,,,18.501000
199910,23.679000,1.399000,20.449000,,,,,20.194000
199911,25.863000,1.636000,22.366000,,,,,21.323000
199912,28.689000,1.741000,24.897000,,,,,23.160000
200001,30.120000,1.882000,26.362000,,,,,23.728000
200002,28.634000,1.765000,25.806000,,,,,23.962000
200003,33.340000,2.483000,28.825000,,,,,25.441000
200004,22.668000,1.649000,19.652000,,2.081421,,,22.373000
200005,24.683000,1.822000,21.284000,,2.621013,,,23.254000
200006,23.968000,1.988000,20.559000,,1.578916,,,22.164000
200007,22.871000,2.134000,19.714000,,2.044117,,,21.467000
200008,23.116000,1.948000,20.209000,,1.823388,,,21.574000
200009,23.114000,1.708000,19.661000,,1.772983,,,20.381000
200010,24.890000,1.647000,21.719000,,1.621028,,,21.910000
200011,25.906000,1.733000,22.375000,,1.625054,,,21.534000
200012,28.784000,1.944000,24.949000,,1.678739,,,24.929000
200101,31.249000,2.182000,26.253000,,1.516023,,,24.916000
200102,28.073000,2.346000,24.568000,,1.671005,,,23.448000
200103,31.538000,2.490000,27.234000,,2.026905,,,25.855000
200104,23.920000,1.924000,20.342000,,1.098983,,,22.419000
200105,24.869000,1.596000,21.162000,,1.552486,,,22.686000
200106,22.410000,1.842000,20.020000,,1.768210,,,22.415000
200107,22.017000,1.941000,18.569000,,1.945563,,,20.851000
200108,23.531000,1.856000,20.142000,,2.393141,,,20.909000
200109,25.190000,1.693000,21.500000,,1.498233,,,21.783000
200110,27.172000,1.854000,23.622000,,1.998498,,,23.518000
200111,28.992000,1.876000,25.363000,,1.589458,,,24.302000
200112,29.452000,1.867000,25.588000,,1.724642,,,24.288000
200201,32.184000,2.114000,28.391000,,1.824440,,,27.169000
200202,30.465000,1.887000,26.695000,,2.162851,,,24.926000
200203,32.749000,2.554000,28.252000,,1.373139,,,27.165000
200204,25.356000,1.827000,21.547000,,1.295832,,,23.089000
200205,25.776000,2.002000,21.989000,,2.111212,,,23.117000
200206,24.641000,1.789000,20.984000,,2.131855,,,22.089000
200207,25.937000,1.975000,21.896000,,1.735234,,,23.878000
200208,25.034000,1.886000,21.618000,,2.075825,,,22.852000
200209,24.547000,1.241000,21.004000,,2.068645,,,21.837000
200210,28.123000,1.631000,24.292000,,2.120442,,,23.829000
200211,29.066000,1.877000,25.267000,,2.483205,,,24.231000
200212,31.336000,2.110000,27.116000,,1.492207,,,26.212000
200301,30.448000,2.356000,28.058000,,2.113026,,,26.534000
200302,29.742000,2.400000,26.271000,,1.914054,,,24.481000
200303,35.137000,2.793000,30.666000,,2.136794,,,27.072000
200304,26.860000,2.027000,22.180000,,2.246301,,,24.474000
200305,27.313000,2.284000,22.611000,,1.825115,,,24.556000
200306,26.143000,1.891000,21.913000,,1.867323,,,23.236000
200307,26.801000,2.153000,22.772000,,1.918044,,,24.287000
200308,26.210000,2.273000,22.347000,,2.219841,,,23.363000
200309,26.061000,2.211000,21.974000,,2.060288,,,22.112000
200310,28.142000,1.900000,24.024000,,1.929532,,,24.285000
200311,31.673000,2.087000,27.137000,,1.655210,,,25.621000
200312,34.024000,2.423000,28.981000,,1.872802,,,27.669000
200401,35.078000,2.646000,30.174000,,1.517112,,,28.318000
200402,34.679000,2.505000,29.626000,,1.356247,,,26.979000
200403,38.293000,2.897000,32.643000,,1.489650,,,29.282000
200404,28.968000,2.769000,23.893000,,2.123970,,,25.914000
200405,29.051000,2.441000,24.393000,,3.283425,,,26.834000
200406,27.902000,2.207000,23.312000,,1.881312,,,25.384000
200407,28.728000,2.673000,24.204000,,2.806316,,,26.357000
200408,26.333000,2.528000,22.327000,,1.632614,,,23.856000
200409,28.619000,2.284000,24.318000,,2.897754,,,25.061000
200410,31.342000,2.242000,26.906000,,2.425300,,,26.233000
200411,32.737000,1.643000,,,2.654705,,,
200412,36.559000,2.548000,,,2.310068,,,
200501,36.088000,2.959000,,,3.122660,,,
200502,34.494000,2.819000,,,1.814773,,,
200503,41.424000,3.327000,,,3.271761,,,
200504,31.122000,2.722000,,,2.775506,,,
200505,31.152000,3.201000,,,3.729276,,,
200506,28.903000,2.602000,,,3.405487,,,
200507,28.303000,2.308000,,,3.088314,,,
200508,29.216000,2.425000,,,2.966976,,,
200509,29.663000,2.174000,,,2.837732,,,
200510,33.277000,2.314000,,,3.170319,,,
200511,35.216000,1.987000,,,3.589371,,,
200512,39.047000,2.066000,,,3.512584,,,
200601,38.953000,2.785000,,,3.212059,,,
