"yyyymm","PET.LPG.CON","PET.NAP.CON","PET.MSP.CON","PET.ATF.CON","PET.SKO.CON","PET.HSD.CON","PET.LDO.CON","PET.LUB.CON","PET.SEC.CON","PET.BIT.CON","PET.PCK.CON","PET.OTH.CON","PET.TOT.CON","PET.TOT.PRD","GAS.PRD.GRS","GAS.PRD.NET","GAS.IMP","GAS.IMP.PRV","GAS.CON.PWR","GAS.CON.CGD","GAS.CON.REF","GAS.CON.INT","GAS.CON.TEA","GAS.CON.IND","GAS.CON.MFG","GAS.CON.OTH","GAS.CON.FRT","GAS.CON.PET","GAS.CON.SHR","GAS.CON.IRN","GAS.CON.TOT","COL.HRD.PRD.CIL.REV","COL.HRD.DES.CIL.REV","COL.HRD.PRD.CIL.PRV","COL.HRD.DES.CIL.PRV","COL.HRD.PRD.SCCL.PRV","COL.HRD.DES.SCCL.PRV","COL.HRD.PRD.SCCL.REV","COL.HRD.DES.SCCL.REV","COL.HRD.IMP.CIS","COL.HRD.EXP.CIS","COL.HRD.IMP.COK.DOC","COL.HRD.IMP.STM.DOC","COL.HRD.IMP.TOT.DOC","COL.HRD.PRD.PRV","COL.LIG.PRD.PRV","COL.HRD.PRD.REV","COL.LIG.PRD.REV","COL.HRD.PRD.ECL.MCL","COL.HRD.PRD.BCCL.MCL","COL.HRD.PRD.CCL.MCL","COL.HRD.PRD.NCL.MCL","COL.HRD.PRD.WCL.MCL","COL.HRD.PRD.SECL.MCL","COL.HRD.PRD.MCL.MCL","COL.HRD.PRD.NEC.MCL","COL.HRD.PRD.CIL.MCL","COL.HRD.PRD.SCCL.MCL","COL.HRD.PRD.CaptivesOthers.MCL","COL.HRD.PRD.GrandTotal.MCL","COL.HRD.DES.ECL.MCL","COL.HRD.DES.BCCL.MCL","COL.HRD.DES.CCL.MCL","COL.HRD.DES.NCL.MCL","COL.HRD.DES.WCL.MCL","COL.HRD.DES.SECL.MCL","COL.HRD.DES.MCL.MCL","COL.HRD.DES.NEC.MCL","COL.HRD.DES.CIL.MCL","COL.HRD.DES.SCCL.MCL","COL.HRD.DES.CaptivesOthers.MCL","COL.HRD.DES.GrandTotal.MCL","COL.LIG.PRD.NLCIL.MCL","COL.LIG.PRD.GMDCL.MCL","COL.LIG.PRD.GIPCL.MCL","COL.LIG.PRD.RSMML.MCL","COL.LIG.PRD.BLMCL.MCL","COL.LIG.PRD.GHCL.MCL","COL.LIG.PRD.VSLignite.MCL","COL.LIG.PRD.GSPL.MCL","COL.LIG.PRD.GrandTotal.MCL","COL.LIG.DES.NLCIL.MCL","COL.LIG.DES.GMDCL.MCL","COL.LIG.DES.GIPCL.MCL","COL.LIG.DES.RSMML.MCL","COL.LIG.DES.BLMCL.MCL","COL.LIG.DES.GHCL.MCL","COL.LIG.DES.VSLignite.MCL","COL.LIG.DES.GSPL.MCL","COL.LIG.DES.GrandTotal.MCL","COL.HRD.PRD.UNS","COL.LIG.PRD.UNS","COL.HRD.PRD.CAP.CAB","COL.HRD.PRD.CIL.MCL.YTD","COL.HRD.PRD.SCCL.MCL.YTD","COL.HRD.PRD.CAP.MCL.YTD","COL.HRD.PRD.OTH.MCL.YTD","COL.HRD.PRD.TOT.MCL.YTD","COL.HRD.DES.CIL.MCL.YTD","COL.HRD.DES.SCCL.MCL.YTD","COL.HRD.DES.CAP.MCL.YTD","COL.HRD.DES.OTH.MCL.YTD","COL.HRD.DES.TOT.MCL.YTD","COL.HRD.CON.PWR.ALL","COL.HRD.IMP.PWR.ALL","COL.HRD.STC.PWR.LNK","COL.HRD.STC.PWR.ALL","COL.HRD.PRD.PCS","COL.HRD.DES.PCS","COL.LIG.PRD.PCS","COL.LIG.DES.PCS","COL.COK.IMP.PCS","COL.STM.IMP.PCS","COL.TOT.IMP.PCS","COL.CKE.IMP.PCS","COL.COK.EXP.PCS","COL.STM.EXP.PCS","COL.TOT.EXP.PCS","COL.CKE.EXP.PCS","COL.RAW.STK.PCS","COL.LIG.STK.PCS","COL.WCK.STK.PCS","COL.WST.STK.PCS","COL.CMI.STK.PCS","COL.NCM.STK.PCS","COL.CKE.STK.PCS","COL.RCC.STK.PCS","COL.RNC.STK.PCS","COL.HRD.PRD.CDR","COL.HRD.DES.CDR","COL.COK.PRD.CDR","COL.COK.DES.CDR","COL.STM.PRD.CDR","COL.STM.DES.CDR","COL.LIG.PRD.CDR","COL.LIG.DES.CDR","COL.HRD.STK.CDR","COL.LIG.STK.CDR","DUE.CIL","DUE.GEN","DUE.CPSU","CEM.PRD.OEA","ELY.GEN.POS.TOT.NR","ELY.GEN.POS.TOT.WR","ELY.GEN.POS.TOT.SR","ELY.GEN.POS.TOT.ER","ELY.GEN.POS.TOT.NER","ELY.GEN.POS.TOT.India","ELY.DEM.POS.TOT.NR","ELY.DEM.POS.TOT.WR","ELY.DEM.POS.TOT.SR","ELY.DEM.POS.TOT.ER","ELY.DEM.POS.TOT.NER","ELY.DEM.POS.TOT.India","ELY.GEN.POS.THM","ELY.GEN.POS.COL","ELY.GEN.POS.LIG","ELY.GEN.POS.NUC","ELY.GEN.POS.GAS","ELY.GEN.POS.RES","ELY.GEN.POS.HYD","ELY.GEN.POS.SOL","ELY.GEN.POS.WND","ELY.GEN.POS.DEM","ELY.GEN.CEA.THM","ELY.GEN.CEA.NUC","ELY.GEN.CEA.HYD","ELY.GEN.CEA.BHU","ELY.PLF.CEA.THM","ELY.PLF.CEA.NUC","ELY.GEN.CEA.WND","ELY.GEN.CEA.SOL","ELY.GEN.CEA.BIO","ELY.GEN.CEA.BAG","ELY.GEN.CEA.SHY","ELY.GEN.CEA.OTH","ELY.GEN.CEA.TOT","ELY.CUF.HYD","ELY.CUF.COL","ELY.CUF.GAS","ELY.CUF.RES","ELY.CUF.NUC","ELY.CUF.SHY","ELY.CUF.SOL","ELY.CUF.WND","ELY.CUF.BIO","IDY.PRD.OEA.COL.OLD","IDY.PRD.OEA.CRU.OLD","IDY.PRD.OEA.GAS.OLD","IDY.PRD.OEA.PET.OLD","IDY.PRD.OEA.FER.OLD","IDY.PRD.OEA.STL.OLD","IDY.PRD.OEA.CEM.OLD","IDY.PRD.OEA.ELY.OLD","IDY.PRD.OEA.COL","IDY.PRD.OEA.CRU","IDY.PRD.OEA.GAS","IDY.PRD.OEA.PET","IDY.PRD.OEA.FER","IDY.PRD.OEA.STL","IDY.PRD.OEA.CEM","IDY.PRD.OEA.ELY","ALU.PRD.Nalco.KTN","ALU.PRD.Malco.KTN","ALU.PRD.Balco.KTN","ALU.PRD.Hindalco.KTN","ALU.PRD.Vedanta.KTN","ALU.PRD.Total.KTN"
199804,394.468560,596.087000,447.684830,178.092280,1021.889150,3193.433810,89.100710,56.266910,835.622150,229.692210,15.044670,122.235420,7179.617700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199805,392.533620,709.010740,489.861050,177.902250,1128.395960,3273.822260,99.722180,78.276240,951.926110,245.872290,25.594150,95.332410,7668.249260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199806,381.081170,627.708910,461.986710,165.273900,1000.898400,3192.914950,99.901790,93.205370,930.760070,208.204350,30.725670,93.862650,7286.523940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199807,438.121520,806.934410,451.382820,168.707920,934.154420,2920.608970,108.887290,77.266000,1090.239400,155.270000,18.604640,111.303790,7281.481180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199808,415.307680,750.952250,449.519060,169.776980,969.680470,2625.253930,111.397420,88.296370,1060.638810,97.542010,38.758310,90.182200,6867.305490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199809,439.555190,748.894210,451.668940,171.357150,980.352820,2713.029400,114.806390,83.385170,1158.880580,97.285990,23.069830,138.446030,7120.731700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199810,447.197170,792.578780,460.163510,178.969960,1015.426360,3073.417820,102.648150,89.053060,1014.223000,162.084020,53.153260,88.551080,7477.466170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199811,463.633440,792.881490,439.762890,182.693060,961.758780,3250.089970,105.161830,94.497730,1146.436500,212.082840,39.704360,105.054760,7793.757650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199812,483.129990,729.020470,465.218460,180.555430,1014.508720,3245.109120,114.377650,86.102580,1041.632710,228.050460,42.700850,102.760330,7733.166770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199901,502.033220,890.892400,448.365050,170.568190,1036.472580,3190.706150,105.634980,99.790190,1069.363790,220.049320,19.336360,98.412590,7851.624820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199902,489.498380,979.928280,452.040780,173.692940,1080.829110,3115.203230,106.456700,100.793530,1023.183230,227.021570,26.678370,91.664710,7866.990830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199903,505.529530,795.818010,489.836500,194.772340,1098.327220,3423.331430,119.864690,149.132910,1187.690690,328.481590,26.395980,115.427870,8434.608760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
