"YYYYMM","Coal/Lignite","Natural gas","Hydro","Nuclear","Renewables"
194712,0.756000,0,0.508000,0,0
195012,1.004000,0,0.560000,0,0
195603,1.597000,0,1.061000,0,0
196103,2.436000,0,1.917000,0,0
196603,4.417000,0.134000,4.124000,0,0
196903,6.640000,0.134000,5.907000,0,0
197403,8.652000,0.165000,6.966000,0.640000,0
197903,14.875000,0.168000,10.833000,0.640000,0
198003,15.991000,0.268000,11.384000,0.640000,0
198503,26.311000,0.542000,14.460000,1.095000,0
199003,41.236000,2.343000,18.307000,1.565000,0
199203,44.791000,3.095000,19.194000,1.785000,0.032000
199703,54.154000,6.562000,21.658000,2.225000,0.902000
200203,62.131000,11.163000,26.269000,2.720000,1.628000
200601,68.433080,12.662610,32.135050,3.310000,6.158320
200602,68.433080,12.662610,32.135050,3.310000,6.158320
200603,68.518880,12.689910,32.325770,3.360000,6.190860
200604,68.518880,12.704710,32.325770,3.360000,6.190860
200605,68.488880,12.704710,32.325770,3.360000,6.190860
200606,68.488880,13.581710,32.725770,3.900000,6.190860
200607,68.988880,13.581710,32.975770,3.900000,6.190860
200608,68.988880,13.581710,33.130770,3.900000,6.190860
200609,69.198880,13.581710,33.349770,3.900000,6.190860
200610,69.198880,13.581710,33.599770,3.900000,6.190860
200611,69.198880,13.581710,33.599770,3.900000,6.190860
200612,69.236380,13.581710,33.641770,3.900000,6.190860
200701,69.366380,13.581710,33.941770,3.900000,6.190860
200702,69.621380,13.581710,34.085770,3.900000,6.190860
200703,71.121380,13.691710,34.653770,3.900000,7.760600
200704,70.682380,13.691710,34.653770,4.120000,7.760600
200705,71.432380,13.691710,33.485760,4.120000,10.145030
200706,71.932380,13.801710,33.485760,4.120000,10.175030
200707,71.932380,13.801710,33.775760,4.120000,10.175030
200708,71.932380,13.841710,34.130760,4.120000,10.175030
200709,72.182380,13.841710,34.260760,4.120000,10.175030
200710,72.432380,14.581710,34.390760,4.120000,10.175030
200711,73.492380,14.581710,34.680760,4.120000,10.175030
200712,74.752380,14.691710,34.680760,4.120000,10.855240
200801,75.002380,14.691710,35.208760,4.120000,10.855240
200802,75.252380,14.691710,35.378760,4.120000,10.855240
200803,76.048880,14.656210,35.908760,4.120000,11.125410
200804,76.298880,14.656210,35.908760,4.120000,11.125410
200805,76.298880,14.716010,36.033760,4.120000,12.194570
200806,76.648880,14.716010,36.033760,4.120000,12.194570
200807,77.198880,14.716010,36.158760,4.120000,12.194570
200808,77.198880,14.716010,36.197760,4.120000,12.194570
200809,76.988880,14.704010,36.347760,4.120000,12.194570
200810,76.988880,14.704010,36.497760,4.120000,13.242410
200811,76.988880,14.704010,36.647760,4.120000,13.242410
200812,77.458880,14.734010,36.647760,4.120000,13.242410
200901,77.398880,14.734010,36.762760,4.120000,13.242410
200902,77.398880,14.876710,36.877760,4.120000,13.242410
200903,77.648880,14.876610,36.877760,4.120000,13.242410
200904,77.948880,14.876610,36.877760,4.120000,13.242410
200905,77.948880,16.003110,36.877760,4.120000,13.242410
200906,78.458880,16.385610,36.916760,4.120000,13.242410
