"YYYYMM","Small Hydro","Solar","Wind","Biomass"
201503,18.332634,17.780203,8.424958,33.943197
201506,26.255318,17.616911,23.066857,
201510,,,,
201512,17.008875,18.238623,8.025506,
201603,15.625287,19.221870,9.503179,29.267167
201606,21.229242,16.363619,29.897169,
201609,30.567718,16.562456,27.677133,
201610,,18.616477,,
201612,11.365864,17.251810,8.335500,
201701,,17.265999,,
201703,14.562641,18.277045,9.808608,21.370411
201706,17.963962,19.027837,30.885911,
201707,,16.377726,,
201709,31.392107,18.749077,16.552131,
201711,17.063423,,,
201712,14.032110,17.546869,12.683939,
201803,11.291592,21.619456,11.442189,29.636723
201806,23.531546,19.213482,33.764719,
201809,30.856356,19.735876,24.448787,
201810,26.016271,20.336287,10.844398,
201812,15.341346,17.534343,10.669254,
201901,12.736387,19.022076,10.885673,
201902,12.837637,22.215675,13.049345,35.851527
201903,13.941879,22.853518,11.243087,29.516580
201904,15.665647,21.760434,13.967149,20.371711
201905,17.610670,21.211985,23.997053,11.812259
201906,20.076748,19.345727,32.358430,7.308644
201907,24.844331,16.004178,40.196761,6.941575
201908,32.690656,17.022724,35.521517,6.653468
201909,38.976975,17.063604,20.651899,6.181961
201910,37.467496,16.440430,19.894016,5.981309
201911,25.031080,18.340397,10.173859,15.005219
201912,20.273680,17.156328,14.173498,27.872624
202001,16.165644,19.664569,11.881580,29.714803
202002,17.099455,22.978119,13.432658,29.894346
202003,15.897173,23.516986,12.122974,23.206412
202004,18.679230,23.045082,12.699416,16.633242
202005,22.074356,23.357134,22.209315,12.563409
202006,24.225832,20.238446,29.016986,6.739555
202007,29.692407,19.334396,24.717254,5.998311
202008,36.252832,17.643733,34.143560,5.702666
202009,40.348692,19.303388,17.705539,6.201179
202010,34.040979,19.896268,14.041085,7.405249
202011,25.099214,19.167330,11.970725,23.837442
202012,19.777850,18.920126,13.311182,30.609843
202101,16.231851,19.087853,12.386939,31.052858
202102,14.509682,23.337958,11.036243,31.046262
202103,12.655079,25.788877,12.166444,24.600770
202104,12.767158,23.745134,13.187906,16.057298
202105,15.574562,22.243598,24.148468,9.342180
202106,21.036999,22.560674,34.227183,6.403707
202107,34.261554,18.524977,38.826659,13.147054
202108,41.324173,19.184759,31.699670,5.973369
202109,44.048635,19.223100,24.374097,5.343767
202110,35.592325,21.030140,10.023942,7.550225
202111,25.296646,17.147425,11.376843,24.244705
202112,17.513310,18.726587,12.002085,32.755170
202201,14.688373,20.780754,11.392618,31.661123
202202,17.451779,25.401449,11.528293,32.150521
202203,17.731020,25.294418,13.382310,32.277447
202204,19.542249,24.499950,14.170293,23.934372
202205,17.797929,24.050015,33.668207,13.555624
202206,19.862004,22.757894,33.091984,8.618719
202207,34.120524,18.748363,33.787353,6.005034
202208,41.824319,19.742287,28.470311,5.232293
202209,43.694323,22.085213,22.305434,4.587777
202210,35.512318,22.302396,11.014710,7.419623
202211,28.467760,20.901542,8.258102,23.242149
202212,20.700549,21.000057,12.820450,31.917315
202301,17.392648,23.472818,16.068255,34.148547
202302,16.888795,26.593160,11.079378,31.370511
202303,15.723225,25.250339,13.150741,25.896967
202304,16.466954,25.784998,13.804863,17.563460
202305,19.772111,25.965117,25.354164,11.224213
202306,20.623891,23.590211,36.914055,6.359625
202307,33.772937,19.730142,38.154131,5.015021
202308,33.415802,21.681471,37.848085,5.238700
202309,34.065155,22.082818,27.851392,5.436743
202310,26.036739,23.614510,10.780823,5.891698
202311,21.573320,18.601285,11.079940,23.254653
202312,15.964862,19.575874,15.391522,29.326595
202401,13.004620,20.200504,12.211762,29.781933
202402,12.733905,24.539001,15.647788,27.951959
202403,12.589167,25.549729,13.517794,22.958956
202404,16.150114,24.812772,14.271670,14.214934
202405,19.714755,24.954163,23.975914,7.946457
202406,21.543099,23.079972,30.245914,6.197031
202407,35.416396,19.995681,39.081417,5.405822
202408,42.563184,19.243836,29.283084,5.571175
202409,44.154042,21.734198,26.059470,4.964259
202410,38.591962,22.511327,9.155532,6.314311
202411,23.534316,21.024824,9.027375,16.859210
202412,21.309067,18.828904,16.073535,28.637363
202501,16.458452,20.934650,15.700130,30.015883
202502,16.392707,23.853798,14.097528,26.255088
202503,16.210513,27.354571,13.992277,16.672196
202504,18.717433,25.964509,17.394605,9.959860
202505,20.572209,22.263818,28.017236,7.494408
202506,31.871569,19.971390,40.141031,5.779781
202507,41.715378,17.450068,45.502974,16.684032
202508,43.671352,17.762913,33.066325,5.257692
202509,40.526039,19.059711,27.302832,4.838442
202510,32.676612,17.344643,16.136747,6.564657
202511,24.785955,17.764373,11.575587,22.812715
202512,18.963365,19.066039,12.410688,29.981677
202601,15.833459,19.620298,17.100576,29.698205
202602,15.520544,22.602627,15.347042,25.752609
202603,15.343640,22.487395,13.176018,15.001872
202604,15.805332,24.183691,16.905529,9.713010
202605,16.125779,23.762318,27.199367,7.910028
