"YYYYMM","Diesel","Petrol","LPG","All others"
200910,4.774900,1.110900,1.134000,4.545000
200911,4.720800,1.016800,1.099100,4.559300
200912,5.027500,1.105300,1.192200,4.489100
201001,4.707600,1.048300,1.169600,4.438300
201002,4.658400,1.063000,1.165100,4.382200
201003,5.153000,1.156900,1.198900,4.717200
201004,5.391500,1.117900,1.079400,4.557700
201005,5.294900,1.251100,1.072800,4.739900
201006,5.198400,1.242000,1.092100,4.387300
201007,4.839300,1.156000,1.162700,4.305200
201008,4.317700,1.167500,1.154700,4.093700
201009,4.213300,1.128000,1.168800,3.954000
201010,4.961200,1.188500,1.215300,4.271300
201011,4.926900,1.192600,1.200400,4.192800
201012,5.524100,1.201900,1.328800,4.541200
201101,4.998900,1.141200,1.280700,4.456300
201102,4.918600,1.136100,1.246100,4.192700
201103,5.486400,1.269200,1.329500,4.753500
201104,5.473700,1.201900,1.153900,4.765800
201105,5.853000,1.351100,1.210500,4.465300
201106,5.342500,1.248500,1.214200,4.323900
201107,5.072700,1.212000,1.247900,4.229000
201108,4.577300,1.221900,1.271700,4.114400
201109,4.597000,1.196700,1.282400,4.198900
201110,5.340900,1.252400,1.236800,4.208000
201111,5.702600,1.163700,1.323400,4.829100
201112,5.867500,1.338900,1.411500,4.427000
201201,5.373900,1.163600,1.316700,4.316700
201202,5.497600,1.226400,1.336900,4.375000
201203,6.051300,1.415400,1.343800,4.786900
201204,5.908700,1.246500,1.232300,4.458000
201205,6.373500,1.292100,1.315100,4.853900
201206,6.070700,1.341400,1.289700,4.517300
201207,5.745100,1.312300,1.323100,4.600800
201208,5.050900,1.313500,1.333300,4.816800
201209,4.938500,1.227000,1.271300,4.428400
201210,5.699700,1.323100,1.298200,4.651000
201211,5.793400,1.325200,1.279200,4.901300
201212,6.119500,1.348500,1.305000,4.719900
201301,5.798300,1.300900,1.317700,5.003900
201302,5.382900,1.278000,1.281300,4.588700
201303,6.198700,1.435400,1.354500,5.092200
201304,6.154600,1.270000,1.228300,4.534600
201305,6.393900,1.695700,1.246800,4.901800
201306,5.943000,1.414900,1.209500,4.446300
201307,5.399900,1.405900,1.358500,4.696400
201308,5.047800,1.483200,1.318300,4.597900
201309,4.908400,1.232100,1.338100,4.463500
201310,5.615100,1.461700,1.399000,4.745600
201311,5.826200,1.459900,1.377700,4.589600
201312,5.972500,1.453700,1.425600,4.739900
201401,5.639200,1.383700,1.466400,5.033600
201402,5.380200,1.378900,1.392400,4.686500
201403,6.083100,1.488600,1.533100,5.185700
201404,5.932900,1.502200,1.349100,4.701900
201405,6.476500,1.683400,1.422700,5.157200
201406,6.138600,1.610700,1.349400,4.881700
201407,5.741100,1.480500,1.422000,4.648400
201408,5.120700,1.598700,1.435900,4.749100
201409,4.899300,1.498600,1.550300,4.822300
201410,5.455000,1.616200,1.498900,4.385500
201411,6.006600,1.513100,1.573500,4.809000
201412,6.148100,1.629300,1.676900,5.173200
201501,5.819900,1.628800,1.616800,4.873100
201502,5.784200,1.629900,1.496700,5.335000
201503,5.893300,1.684000,1.607700,5.492500
201504,6.484600,1.783600,1.479700,4.986600
201505,6.435000,1.834100,1.496600,5.726800
201506,6.290700,1.767200,1.490400,5.226100
201507,5.704800,1.671700,1.582600,5.410100
201508,5.425800,1.764400,1.549800,5.454900
201509,5.885000,1.879300,1.619700,5.523400
201510,6.347300,1.850500,1.688100,5.578200
201511,6.109500,1.773300,1.616000,5.345700
201512,6.484500,1.821600,1.795900,5.743300
201601,6.285000,1.814700,1.705000,6.432900
201602,6.411700,1.839600,1.747300,6.340000
201603,6.783100,2.046500,1.852200,6.789300
201604,6.768000,1.995900,1.596600,6.090100
201605,6.957700,2.082800,1.605700,6.293300
201606,6.386100,1.845500,1.613400,6.705200
201607,5.806800,1.917800,1.722200,6.211700
201608,6.133700,2.204500,1.846000,6.626500
201609,5.212900,1.814900,1.872800,5.881100
201610,6.674700,2.105900,1.858400,5.956100
201611,6.749900,2.026400,1.872900,5.738300
201612,6.570300,1.964900,1.939000,5.702400
201701,5.803500,1.804400,1.989100,5.737300
201702,6.161000,1.896400,1.804100,5.680000
201703,6.802200,2.105400,1.888000,6.575400
201704,6.970906,2.089996,1.657143,6.346593
201705,7.526613,2.409059,1.790311,6.478322
201706,6.799536,2.070520,1.885189,5.751214
201707,6.302273,2.145669,1.927281,5.614590
201708,5.919418,2.191343,2.048770,6.436559
201709,6.075380,2.143305,1.933720,6.201278
201710,6.547370,2.227774,1.970391,6.558723
201711,7.270450,2.131830,1.997519,6.183128
201712,7.119755,2.176829,2.050594,6.581973
201801,6.653161,2.095899,2.081736,6.400736
