"YYYYMM","coking coal","steam coal","coke","others"
2006.039726,,,,
2006.120548,,,,
2006.201370,,,,
2006.284932,1.279760,1.679680,0.290040,0.482570
2006.368493,1.387830,1.944690,0.356580,0.454360
2006.452055,1.518060,1.389370,0.413050,0.429670
2006.535616,1.426340,1.397460,0.370640,0.106080
2006.620548,1.383210,1.065240,0.349370,0.302570
2006.704110,1.603510,2.080350,0.466030,0.276180
2006.787671,1.521140,1.325200,0.432570,0.533330
2006.871233,1.467320,1.541170,0.534440,0.756070
2006.954795,1.494730,1.068220,0.297930,0.346800
2007.039726,1.585010,1.731580,0.388080,0.498900
2007.120548,1.159390,2.013060,0.458990,0.664490
2007.201370,2.050890,2.581830,0.328330,0.535070
2007.284932,1.611820,2.165250,0.495520,0.726040
2007.368493,1.632900,1.994580,0.711380,0.430440
2007.452055,1.569830,1.551880,0.315650,0.530130
2007.535616,1.511340,1.344950,0.288570,0.426020
2007.620548,2.116920,1.337560,0.418280,0.453810
2007.704110,1.846910,1.436040,0.497900,0.607950
2007.787671,2.166420,1.447670,0.451880,0.593350
2007.871233,2.034180,1.797530,0.290630,0.569310
2007.954795,1.979330,1.747070,0.129580,0.724550
2008.039617,1.732390,2.291290,0.300230,0.644750
2008.121585,2.271420,1.578000,0.123220,0.758970
2008.203552,1.555190,1.809550,0.225100,0.799330
2008.286885,2.331560,2.459720,0.286430,0.865560
2008.370219,2.434910,2.504090,0.561530,0.718740
2008.453552,1.852170,2.050560,0.295920,0.579310
2008.536885,2.927790,1.895470,0.202140,0.377010
2008.621585,2.140120,1.950030,0.091020,0.185510
2008.704918,2.388350,2.314030,0.183540,0.615710
2008.788251,1.975430,2.848090,0.037610,0.559120
2008.871585,1.732210,1.775020,0.000130,0.992380
2008.954918,1.152700,2.303030,0.093130,0.724010
2009.039726,0.528970,2.011160,0.042020,0.915460
2009.120548,0.705020,2.818660,0.013990,1.442290
2009.201370,0.911170,3.729240,0.074720,1.288970
2009.284932,1.662990,3.693760,0.068380,1.389110
2009.368493,1.847500,3.212880,0.166150,1.524090
2009.452055,2.081860,2.807050,0.292620,1.094960
2009.535616,1.489830,2.890720,0.218160,0.996780
2009.620548,2.109570,1.974330,0.204490,0.759640
2009.704110,1.526890,2.274070,0.373570,1.493220
2009.787671,2.564950,2.936350,0.261620,0.601960
