"YYYYMM","Flaring/losses","Domestic","Imports"
199904,,,
199905,,,
199906,,,
199907,,,
199908,,,
199909,,,
199910,,,
199911,,,
199912,,,
200001,,,
200002,,,
200003,,,
200004,,,
200005,,,
200006,,,
200007,,,
200008,,,
200009,,,
200010,,,
200011,,,
200012,,,
200101,,,
200102,,,
200103,,,
200104,,,
200105,,,
200106,,,
200107,,,
200108,,,
200109,,,
200110,,,
200111,,,
200112,,,
200201,,,
200202,,,
200203,,,
200204,,,
200205,,,
200206,,,
200207,,,
200208,,,
200209,,,
200210,,,
200211,,,
200212,,,
200301,,,
200302,,,
200303,,,
200304,,,
200305,,,
200306,,,
200307,,,
200308,,,
200309,,,
200310,,,
200311,,,
200312,,,
200401,,,
200402,,,
200403,,,
200404,,,
200405,,,
200406,,,
200407,,,
200408,,,
200409,,,
200410,,,
200411,,,
200412,,,
200501,,,
200502,,,
200503,,,
200504,,,
200505,,,
200506,,,
200507,,,
200508,,,
200509,,,
200510,,,
200511,,,
200512,,,
200601,,,569.118568
200602,,,598.512116
200603,,,357.590495
200604,,,579.883920
200605,,,829.560257
200606,,,766.984680
200607,,,851.666508
200608,,,492.754680
200609,,,814.809996
200610,,,966.409620
200611,,,735.340320
200612,,,798.439831
200701,,,663.621552
200702,,,830.517600
200703,,,968.691240
200704,,,750.245760
200705,,,898.418400
200706,,,1070.745060
200707,,,742.686120
200708,,,745.695852
200709,,,820.061880
200710,,,912.790560
200711,,,728.317366
200712,,,1064.169480
200801,,,908.003910
200802,,,901.541124
200803,,,1130.981280
200804,,,895.650360
200805,,,1090.330560
200806,,,646.542600
200807,,,811.633284
200808,,,973.670280
200809,,,883.794120
200810,,,1060.177140
200811,,,657.727884
200812,,,734.620920
200901,,2558.000311,1210.363440
200902,,2358.005494,727.303368
200903,,2730.005702,1273.120609
200904,,2836.987508,946.033440
200905,,3307.002540,1140.982920
200906,,3472.010574,1077.752887
200907,,3668.999119,1072.962000
200908,,3788.006013,1294.479384
200909,,3663.997305,1299.852840
200910,,4003.991085,974.550654
200911,,3986.990100,962.163840
200912,,4324.988338,786.147516
201001,,4571.010211,762.944160
201002,,,848.342880
201003,,,859.741080
201004,,4457.005131,846.234352
201005,,4482.999015,882.111120
201006,,4370.004665,755.198400
201007,,4414.010263,975.348000
201008,,4250.012958,1005.219600
201009,,4150.987405,1297.227360
201010,,4284.999741,1067.070840
201011,,4192.997460,997.395960
201012,,4300.989996,1232.576519
201101,69.791344,4281.008656,1090.403160
201102,77.509848,3829.990152,1250.990400
201103,92.593625,4189.006375,1491.031080
201104,70.575220,4025.724780,1116.136275
201105,101.341529,4042.353471,1146.097175
201106,,3879.309910,1541.308067
201107,,4032.014743,1610.684575
201108,81.186012,4020.153988,1837.888950
201109,,3865.233928,1521.665408
201110,,3937.853326,1454.983422
201111,89.191640,3758.221360,1507.146324
201112,,3813.785670,1380.932962
201201,87.998711,3808.749289,1672.971500
201202,92.706224,3516.354776,1425.366100
201203,102.318858,3753.579142,1633.389775
201204,89.103240,3546.095957,1090.677725
201205,95.090629,3605.001830,1651.130325
201206,76.860338,3457.217105,1130.035525
201207,75.220148,3506.013036,1646.606070
201208,75.026152,3472.841318,1410.898425
201209,95.979641,3266.784155,1407.096930
201210,82.042727,3344.387262,1709.307016
201211,81.386677,3179.057010,1661.237700
201212,69.244325,3262.565542,1493.499485
201301,64.712647,3176.491987,1559.883326
201302,62.337422,2820.755556,1396.247361
201303,58.954004,3115.731013,1248.407122
201304,55.493440,2945.889795,1564.591171
201305,67.693933,2942.016302,1643.030850
201306,69.667525,2875.932040,1483.347832
201307,81.245008,2927.510402,1228.946775
201308,67.674559,2910.212856,1629.750852
201309,68.312072,2825.896464,1187.987714
201310,83.834269,2880.004346,1609.030214
201311,71.787107,2822.748108,1496.967131
201312,70.572531,2931.337141,1266.420239
201401,68.476512,3004.588244,1322.387005
201402,60.621339,2696.191914,1390.095979
201403,67.494921,2811.729689,1429.856932
201404,70.315236,2699.509415,1589.202081
201405,68.633069,2873.394728,1458.180623
201406,67.087679,2827.349275,1534.386805
201407,86.594479,2653.799905,1645.753448
201408,80.570235,2655.861285,1648.103766
201409,74.605144,2651.465305,1532.620132
201410,87.143798,2759.658853,1796.867741
201411,81.329055,2745.572104,1448.141333
201412,88.073005,2826.424400,1673.678654
201501,84.087554,2804.198818,1245.846148
201502,75.504649,2458.023402,1002.102642
201503,100.273884,2737.963905,1033.245754
201504,92.812641,2577.651662,1251.032935
201505,95.275752,2755.106781,1273.421244
201506,103.288015,2619.207617,1665.387574
201507,108.436800,2510.644549,1881.589872
201508,103.889274,2732.466663,1659.120052
201509,98.388673,2651.666647,1618.906513
201510,90.288770,2704.731084,1687.194693
201511,80.486546,2635.820438,1624.504423
201512,86.871779,2650.109001,1570.205483
201601,83.724434,2363.660076,1624.014833
201602,71.077173,2493.930157,1525.719276
201603,105.507489,2434.173031,1668.328084
201604,87.641763,2400.398116,1733.323669
201605,82.645806,2575.566498,1662.550021
201606,85.177494,2513.224891,2183.539383
201607,85.040537,2619.594438,1789.264694
201608,95.696728,2578.451875,2128.089309
201609,97.064948,2503.028378,2342.352788
201610,84.269344,2670.871378,2004.973852
201611,86.340715,2583.561032,2356.579036
201612,94.200244,2642.613614,1742.575152
201701,93.247844,2645.239992,1381.405173
201702,75.875472,2446.656433,2063.693062
201703,81.594433,2668.700588,2174.561978
201704,77.956138,2455.685399,1855.131533
201705,71.496408,2697.113965,1993.368300
201706,81.362978,2674.374975,1934.450217
201707,62.771699,2795.960990,1714.872244
201708,94.475588,2678.459063,2130.667303
201709,70.702054,2652.527734,2247.297225
201710,70.783923,2737.629361,2290.451489
201711,72.393706,2642.468708,2704.459946
201712,77.987515,2673.364564,2285.869502
201801,78.236254,2616.837559,2292.951768
201802,79.818574,2404.285071,2426.627619
201803,80.115524,2702.497517,2858.129845
201804,63.651490,2599.225820,2676.603724
