"yyyymm","COL.CO2","OIL.CO2","GAS.CO2","CEM.CO2"
199801,,,,
199802,,,,
199803,,,,
199804,,22.353026,,
199805,,23.793824,,
199806,,22.678156,,
199807,,22.864413,,
199808,,21.688028,,
199809,,22.486212,,
199810,,23.412000,,
199811,,24.226000,,
199812,,24.006766,,
199901,,24.402445,,
199902,,24.432624,,
199903,,25.678109,,
199904,,24.875538,,3.926029
199905,,25.195963,,3.937738
199906,,25.262799,,3.958542
199907,,25.226797,,3.566017
199908,,24.051567,,3.352405
199909,,24.498890,,3.280257
199910,,24.609367,,3.343964
199911,,26.039279,,3.660414
199912,,26.702656,,3.886127
200001,,24.914353,,4.111847
200002,,25.299386,,3.920566
200003,,26.059287,,4.549596
200004,,25.836382,,3.660599
200005,,27.770661,,4.099001
200006,,25.855091,,4.233601
200007,,25.937343,,3.792125
200008,,26.519985,,3.279264
200009,,27.586252,,3.359046
200010,,24.258943,,3.779290
200011,,26.397514,,3.731754
200012,,26.412014,,3.440325
200101,,26.849562,,3.602441
200102,,24.528056,,3.523080
200103,,27.102269,,4.386374
200104,,26.096172,,4.005004
200105,,27.667780,,4.222318
200106,,26.932431,,4.192267
200107,,25.097396,,3.529263
200108,,25.893195,,3.525102
200109,,26.568577,,3.930043
200110,,26.058645,,3.955939
200111,,26.699560,,3.959562
200112,,27.227757,,3.908265
200201,,26.731802,,3.921591
200202,,24.774591,,3.971701
200203,,27.096926,,4.627202
200204,,26.998921,,4.209697
200205,,29.177911,,4.406789
200206,,26.088580,,4.158526
200207,,27.371127,,4.080033
200208,,26.348726,,3.693241
200209,,26.131897,,3.702250
200210,,27.540877,,4.139021
200211,,27.868464,,3.929657
200212,,29.090227,,4.271529
200301,,27.917055,,4.254565
200302,,25.909703,,4.143543
200303,,26.842223,,4.832572
200304,,24.830232,,4.018791
200305,,27.541142,,4.694955
200306,,28.543033,,4.500533
200307,,28.707793,,4.146757
200308,,26.640839,,3.840230
200309,,26.627200,,3.905314
200310,,28.220005,,4.118786
200311,,28.946841,,4.004615
200312,,29.888699,,4.419418
200401,,29.101777,,4.484983
200402,,28.113542,,4.521434
200403,,30.214019,,4.929238
200404,,29.251058,,4.858345
200405,,30.252688,,4.765511
200406,,28.891838,,4.472821
200407,,29.774093,,4.665344
200408,,26.038774,,4.043448
200409,,28.203651,,4.458044
200410,,29.448295,,4.839123
200411,,27.919268,,4.616463
200412,,31.025223,,4.889914
200501,,30.192979,,5.015664
200502,,28.680246,,4.665846
200503,,31.386727,,5.311504
200504,,28.168601,,5.175827
200505,,30.027090,,5.325646
200506,,29.319514,,5.050127
200507,,28.734540,,4.679938
200508,,29.789768,,4.667540
200509,,27.565385,,4.524143
200510,,29.116377,,5.084251
200511,,27.980833,,4.815103
200512,,31.414404,,5.370980
200601,,30.288369,6.880836,5.608196
200602,,29.050228,6.437717,5.260443
200603,,31.038437,6.508082,6.028378
200604,,30.670709,6.795007,5.638245
200605,,33.824523,7.424101,5.528588
200606,,30.859420,7.113193,5.484987
200607,,29.608742,7.447033,5.192692
200608,,29.239433,5.021079,4.677558
200609,,29.762600,6.972426,5.136479
200610,,30.594706,7.686019,5.427408
200611,,31.927944,7.014817,5.255517
200612,,32.828801,7.279317,5.666909
200701,,33.270962,7.015398,5.875235
200702,,30.665211,6.918138,5.442218
200703,,33.814445,7.777452,6.218442
200704,,32.607700,6.837738,5.835461
200705,,34.080455,7.317127,5.948063
200706,,33.136648,7.546994,5.700645
200707,,31.414101,7.156626,5.571055
200708,,30.373008,7.105026,5.362859
200709,,30.890422,7.242058,5.324129
200710,,33.993911,7.755633,5.746482
200711,,33.443282,7.242586,5.458111
200712,,34.207067,8.041357,5.850565
200801,,35.305400,7.392669,6.144031
