"YYYYMM","Battery Electric","Petrol Blend","Petrol","Others"
200101,0,0,0,0
200102,0,0,0,0
200103,0,0,0,0
200104,0,0,0,0
200105,0,0,0,0
200106,0,0,0,0
200107,0,0,0,0
200108,0,0,0,0
200109,0,0,0,0
200110,0,0,0,0
200111,0,0,0,0
200112,0,0,0,0
200201,12,115,191530,1108
200202,16,105,179267,1159
200203,6,93,188194,1426
200204,14,103,200225,1149
200205,21,111,221786,1249
200206,19,97,208559,956
200207,20,91,216547,1612
200208,16,129,207176,1305
200209,13,99,206591,1445
200210,12,172,225756,794
200211,13,130,246806,937
200212,7,120,186995,1320
200301,19,147,227449,1414
200302,11,113,219633,985
200303,17,135,218963,1160
200304,14,96,208355,1294
200305,12,125,236947,1296
200306,9,146,241023,1418
200307,16,129,244070,1147
200308,15,147,234855,975
200309,15,165,230312,1512
200310,13,252,286848,1124
200311,6,211,267694,1020
200312,10,192,210434,1242
200401,19,217,268363,1150
200402,13,227,254794,1184
200403,20,200,267631,1306
200404,18,215,250146,1309
200405,14,170,245350,1257
200406,18,212,280059,1447
200407,17,212,284914,1952
200408,12,187,268683,1277
200409,22,265,290100,1221
200410,22,256,278684,937
200411,17,303,350490,963
200412,17,216,292605,1278
200501,38,232,314462,438
200502,49,215,321715,976
200503,53,247,333641,1721
200504,60,241,298796,1201
200505,63,241,343660,1289
200506,94,189,338715,917
200507,74,160,298375,953
200508,104,214,310754,1225
200509,74,217,315862,990
200510,86,360,375886,751
200511,49,324,398534,1005
200512,46,380,324749,1314
200601,63,294,382504,899
200602,65,273,388108,1094
200603,71,343,420382,1155
200604,58,251,358031,1061
200605,68,315,420910,1211
200606,129,296,424316,1172
200607,119,181,371024,1253
200608,125,210,390725,892
200609,118,286,386213,981
200610,79,376,467067,982
200611,94,417,533394,757
200612,83,254,349765,422
200701,118,275,436340,1197
200702,116,294,437240,952
200703,166,303,473172,1080
200704,124,250,421901,887
200705,204,323,486985,2114
200706,163,253,437078,998
200707,146,219,443907,1019
200708,164,207,438706,1008
200709,124,241,399342,1047
200710,275,276,447003,1634
200711,519,360,629455,2016
200712,511,256,453357,1197
200801,0,286,525560,1144
200802,0,235,494701,854
200803,0,254,469486,910
200804,0,297,516588,862
200805,0,257,563345,888
200806,0,263,480874,864
200807,0,236,482786,1008
200808,0,236,426678,808
200809,0,190,438138,790
200810,0,268,507693,1550
200811,0,277,569084,1391
200812,0,167,431946,1205
200901,0,195,562376,1659
200902,0,175,519448,1024
200903,0,180,532944,969
200904,0,157,517837,811
200905,0,203,559060,897
200906,0,217,592005,982
200907,1,187,601471,1086
200908,0,208,549414,993
200909,1,174,553006,1305
200910,0,225,747678,922
200911,0,259,658025,1178
200912,0,227,588669,1016
201001,359,260,697198,1433
201002,340,252,734647,1119
201003,403,272,825103,1121
201004,343,285,709266,1000
201005,298,239,775997,1025
201006,369,322,820994,897
201007,383,351,833300,1301
201008,327,344,799436,1072
201009,278,320,813601,1169
201010,298,321,855832,905
