"YYYYMM","Petrol","Diesel","Avgas","LPG","All others"
199804,0.447685,3.193434,0.178428,0.374631,2.480543
199805,0.489861,3.273822,0.178198,0.364053,2.754106
199806,0.461987,3.192915,0.165456,0.363603,2.719659
199807,0.451383,2.920609,0.168871,0.418547,2.823869
199808,0.449519,2.625254,0.170075,0.385720,2.875730
199809,0.451669,2.713029,0.171638,0.407199,2.854860
199810,0.460164,3.073418,0.179242,0.419988,2.868755
199811,0.439763,3.250090,0.183008,0.438819,2.998187
199812,0.465218,3.245109,0.180736,0.465736,2.979001
199901,0.448365,3.190706,0.170753,0.474874,3.028027
199902,0.452041,3.115203,0.173982,0.458398,3.042662
199903,0.489836,3.423331,0.195156,0.469458,3.453113
199904,0.467384,3.538465,0.199438,0.415768,2.897978
199905,0.491253,3.467049,0.179311,0.422153,3.006447
199906,0.483658,3.445055,0.169163,0.423457,2.988620
199907,0.485934,3.264736,0.171508,0.467743,3.069237
199908,0.476928,2.935730,0.172446,0.456153,3.154555
199909,0.474008,2.991190,0.172453,0.483945,3.091177
199910,0.485151,2.955505,0.178411,0.506859,3.020763
199911,0.494195,3.416436,0.185945,0.505926,3.034839
199912,0.527339,3.547281,0.186721,0.555651,3.313187
200001,0.477905,3.155309,0.183525,0.562338,3.050709
200002,0.512436,3.181909,0.199455,0.614359,3.183436
200003,0.532563,3.388299,0.206239,0.614913,3.395030
200004,0.522342,3.305480,0.191306,0.471472,2.872555
200005,0.553737,3.555885,0.182554,0.496503,3.126410
200006,0.545685,3.285622,0.173094,0.496937,2.978315
200007,0.538464,3.066240,0.178653,0.526973,2.888166
200008,0.558045,2.880886,0.174561,0.550129,3.071941
200009,0.577525,3.303359,0.184861,0.586867,3.127042
200010,0.511494,2.696455,0.187490,0.522047,2.932807
200011,0.548450,3.316399,0.192871,0.543415,2.974438
200012,0.559671,3.173951,0.186191,0.609710,3.054260
200101,0.554823,3.102467,0.192874,0.630764,3.230636
200102,0.540440,2.972603,0.201575,0.563022,2.937150
200103,0.602683,3.278775,0.206508,0.615602,3.349307
200104,0.553305,3.169574,0.188801,0.520844,2.892928
200105,0.622550,3.383536,0.192194,0.565351,3.079491
200106,0.585702,3.208450,0.182297,0.561820,2.933034
200107,0.562156,2.817191,0.186152,0.587125,2.896074
200108,0.583950,2.703421,0.189275,0.607100,2.975207
200109,0.565663,2.931790,0.184268,0.613637,3.123310
200110,0.582224,3.018906,0.178994,0.615121,2.880028
200111,0.587901,3.123159,0.186376,0.628990,2.895086
200112,0.599130,3.182765,0.191261,0.665218,3.125095
200201,0.580847,3.020532,0.196055,0.696879,3.097753
200202,0.544763,2.730420,0.183472,0.636736,2.851504
200203,0.642843,3.225197,0.205862,0.611249,3.204134
200204,0.623589,3.258404,0.192089,0.593012,2.841386
200205,0.708989,3.421793,0.193001,0.608989,3.047115
200206,0.610730,3.063837,0.172059,0.598132,2.867150
200207,0.639539,3.074962,0.177714,0.650154,3.031347
200208,0.635278,2.733911,0.182714,0.669380,2.828182
200209,0.608220,2.679960,0.179393,0.653023,2.886085
200210,0.618581,3.046491,0.189618,0.717235,2.951904
200211,0.606005,3.028083,0.188351,0.701853,2.980932
200212,0.665932,3.327359,0.201116,0.711925,3.175334
200301,0.613206,2.982918,0.193278,0.790433,3.122667
200302,0.603049,2.836095,0.193390,0.734614,2.872139
200303,0.636797,3.080470,0.209999,0.713836,2.944299
200304,0.606648,2.781905,0.187783,0.652351,2.634736
200305,0.669807,3.112850,0.194466,0.652975,2.942589
200306,0.690725,3.276922,0.194251,0.655356,2.989025
200307,0.666839,3.007469,0.199342,0.750647,2.853462
200308,0.664953,2.736786,0.192969,0.724617,2.788644
200309,0.624786,2.608710,0.195294,0.755135,2.920746
200310,0.662062,3.050288,0.208117,0.774909,2.923430
200311,0.648214,3.294010,0.212633,0.764798,3.001280
200312,0.670476,3.413510,0.217028,0.857894,3.229640
200401,0.625083,3.030920,0.228604,0.869737,3.202403
200402,0.641763,3.092526,0.224592,0.816173,3.030109
200403,0.723680,3.469537,0.230861,0.814037,3.269277
200404,0.674176,3.479109,0.218152,0.770331,2.948828
200405,0.732207,3.510642,0.217018,0.798623,3.032619
200406,0.685199,3.242121,0.212078,0.765041,2.920862
200407,0.695922,3.333108,0.211401,0.808178,2.852773
200408,0.627075,2.481260,0.219012,0.812501,2.694701
200409,0.673468,3.014119,0.216986,0.828614,2.732229
200410,0.686618,3.360587,0.236709,0.843779,2.874190
200411,0.623069,2.900395,0.241704,0.846294,2.859665
200412,0.692989,3.391071,0.262024,0.905119,3.168243
200501,0.674846,3.113840,0.267094,0.884168,3.181389
200502,0.649417,2.875167,0.246282,0.858649,2.979111
200503,0.746694,3.385404,0.266854,0.845419,3.317816
200504,0.670893,3.356942,0.243676,0.815652,3.968287
200505,0.795518,3.548869,0.248658,0.811163,4.341540
200506,0.721503,3.397653,0.240811,0.793922,4.264910
200507,0.700955,3.108888,0.241311,0.834425,4.187685
200508,0.755862,3.170199,0.255154,0.882769,4.391014
200509,0.661437,2.815096,0.256053,0.846423,4.135661
200510,0.714097,3.299825,0.269440,0.968707,4.045339
200511,0.699452,3.371022,0.284524,0.904069,3.719603
200512,0.732897,3.684471,0.313205,0.931033,4.445561
200601,0.712597,3.430299,0.325934,0.919113,4.356997
200602,0.717789,3.428422,0.296353,0.877776,4.077708
200603,0.763459,3.579274,0.326108,0.871305,4.684205
200604,0.735246,3.667085,0.312034,0.804069,4.324862
200605,0.899200,4.080280,0.317348,0.856362,4.745807
200606,0.708654,3.276480,0.301835,0.827877,4.728629
200607,0.728522,3.236683,0.307384,0.863173,4.200251
200608,0.756121,3.131164,0.309108,0.898459,4.061299
200609,0.750670,3.244168,0.310934,0.906292,4.231984
200610,0.763847,3.409776,0.319477,0.891793,4.314888
200611,0.736832,3.729953,0.347925,0.928127,4.487838
200612,0.803183,3.944174,0.368492,0.954760,4.463631
200701,0.774079,3.709925,0.373737,0.985024,4.897044
200702,0.749742,3.480954,0.339643,0.954194,4.395816
200703,0.879875,3.985844,0.377347,0.979004,4.880234
200704,0.823332,3.970535,0.351754,0.903351,4.562707
200705,0.914225,4.112434,0.359624,0.917383,4.771902
200706,0.854496,3.928225,0.346866,0.894081,4.605518
200707,0.859406,3.698759,0.351677,0.953297,4.079310
200708,0.825651,3.309591,0.365850,0.990030,4.132551
200709,0.815824,3.346767,0.349826,0.986563,4.256850
200710,0.850471,3.987717,0.379219,1.027600,4.651529
200711,0.864045,4.112411,0.397674,1.027072,4.370200
200712,0.880482,4.367587,0.415327,1.054155,4.402711
200801,0.886987,4.306881,0.420902,1.064309,4.765607
200802,0.820747,4.119174,0.388235,1.115321,4.899403
200803,0.936291,4.408642,0.418829,1.076408,4.891826
200804,0.943243,4.510505,0.390043,0.999417,4.623375
200805,1.053458,4.808736,0.402222,1.005235,4.371868
200806,0.802655,4.066595,0.375154,0.914449,4.399135
200807,0.913928,4.083213,0.366538,0.979974,4.226372
200808,0.892292,3.628316,0.351879,0.970542,4.260784
200809,0.900083,3.936884,0.348185,1.017056,4.412352
200810,0.936457,4.240613,0.356088,1.008478,4.053210
200811,0.914888,4.466022,0.367324,1.015650,4.157266
200812,0.929255,4.436507,0.371656,1.085579,4.743819
200901,0.967920,4.427245,0.375941,1.061845,4.871999
200902,0.944095,4.296018,0.347541,1.051449,4.771016
200903,1.059519,4.809706,0.374184,1.081443,5.122067
200904,1.017590,4.741268,0.377989,0.994630,4.564596
200905,1.105555,4.768554,0.376944,0.995936,4.473467
200906,1.102333,4.858984,0.363874,1.009524,4.542649
200907,1.007104,4.520533,0.376721,1.078634,4.165822
200908,1.047066,4.181725,0.374556,1.045988,4.210723
200909,1.037267,4.129002,0.356601,1.051789,4.295732
200910,1.110921,4.774917,0.394869,1.134000,4.149820
200911,1.016828,4.720773,0.393809,1.099137,4.165445
200912,1.105345,5.027539,0.416726,1.192180,4.072327
201001,1.048305,4.707639,0.397548,1.169622,4.040805
201002,1.063030,4.658424,0.379861,1.165060,4.002268
201003,1.156941,5.153009,0.420626,1.198918,4.296671
201004,1.117874,5.391507,0.393228,1.079426,4.163950
201005,1.251089,5.294871,0.421297,1.072760,4.318728
201006,1.242026,5.198339,0.401476,1.092145,3.985861
201007,1.156005,4.839298,0.401312,1.162721,3.903706
201008,1.167546,4.317662,0.402960,1.154667,3.690715
201009,1.127965,4.213289,0.397968,1.168816,3.555945
201010,1.188520,4.961220,0.434581,1.215313,3.836685
201011,1.192551,4.926902,0.431389,1.200391,3.761896
201012,1.202212,5.524078,0.451774,1.328829,4.087715
201101,1.141860,4.998940,0.446463,1.280719,4.009614
