"YYYYMM","Large hydro","Coal/Lignite","Natural gas","Renewables","Nuclear"
200601,0.298095,0.887829,,,0.564800
200602,0.314550,0.918536,,,0.524354
200603,0.281055,0.911899,,,0.579489
200604,0.321239,0.824134,,,0.597784
200605,0.365668,0.810348,,,0.625656
200606,0.392148,0.784688,,,0.530488
200607,0.449524,0.803970,,,0.564792
200608,0.588188,0.672068,,,0.508702
200609,0.538876,0.730204,,,0.474281
200610,0.444144,0.797159,,,0.540054
200611,0.340527,0.812037,,,0.509544
200612,0.336127,0.833848,,,0.579556
200701,0.297794,0.862925,,,0.593093
200702,0.265284,0.856298,,,0.596814
200703,0.311478,0.841355,,,0.584436
200704,,,,,
200705,,,,,
200706,0.417163,0.742741,,,0.550583
200707,0.612921,0.764385,,,0.413049
200708,0.619434,0.772332,,,0.426356
200709,0.558505,0.784777,,,0.403752
200710,0.437270,0.864073,,,0.406524
200711,0.344716,0.878808,,,0.473203
200712,0.300489,0.897307,,,0.441725
200801,0.304921,0.804669,0.549651,,0.446807
200802,0.285576,0.812564,0.598857,,0.424604
200803,0.286107,0.811896,0.571457,,0.436772
200804,0.310720,0.786736,0.578236,,0.428631
200805,0.370526,0.780869,0.572508,,0.407147
200806,0.409639,0.736704,0.483805,,0.467547
200807,0.478417,0.708325,0.450379,,0.471856
200808,0.515433,0.679601,0.426778,,0.379052
200809,0.469659,0.720517,0.453806,,0.388518
200810,0.367689,0.776652,0.546462,,0.427609
200811,0.299570,0.774610,0.564700,,0.427299
200812,0.254713,0.798963,0.543478,,0.345567
200901,0.255973,0.824215,0.529180,,0.361419
200902,0.266770,0.849423,0.556530,,0.341326
200903,0.259580,0.867616,0.581238,,0.442041
200904,0.287396,0.840538,0.613344,,0.500017
200905,0.312047,0.802649,0.607979,,0.471435
200906,0.362263,0.784308,0.637595,,0.426945
200907,0.409482,0.726923,0.585092,,0.469637
200908,0.459199,0.717782,0.664950,,0.507314
200909,0.470128,0.716215,0.621545,,0.548385
200910,0.358219,0.747505,0.622015,,0.563704
200911,0.261875,0.756173,0.596343,,0.469603
200912,0.242971,0.793206,0.613301,,0.479963
201001,0.240292,0.801597,0.663710,,0.512149
