"yyyymmdd","CEA.DGR.COL","CEA.DGR.LIG","CEA.DGR.GAS","CEA.DGR.DIE","CEA.DGR.HSO","CEA.DGR.NAP","CEA.DGR.MFU","CEA.DGR.THM","CEA.DGR.NUC","CEA.DGR.HYD","CEA.DGR.BHU","CEA.DGR.TOT","CEA.DGR.WND","CEA.DGR.SOL","CEA.DGR.OTH","CEA.DGR.RES"
20180401,2702.660000,88.440000,133.100000,0.270000,0,0,,2924.470000,114.250000,178.470000,2.440000,3219.630000,,,,
20180402,2739.580000,92.070000,140.290000,0.270000,0,0,,2972.210000,115.870000,222.920000,0.950000,3311.950000,,,,
20180403,2862.080000,95.480000,151.420000,0.360000,0,0,0,3109.340000,115.050000,256.660000,1.010000,3482.060000,,,,
20180404,2907.160000,95.600000,149.560000,0.510000,0,0,0,3152.830000,115.580000,259.000000,2.820000,3530.230000,,,,
20180405,2904.870000,91.980000,148.780000,0.490000,0,0,0,3146.120000,113.900000,241.070000,2.820000,3503.910000,,,,
20180406,2880.570000,94.830000,158.220000,0.270000,0,0,0,3133.890000,112.020000,237.320000,2.820000,3486.050000,,,,
20180407,2772.780000,95.770000,159.050000,0.270000,0,0,0,3027.870000,110.710000,220.030000,2.820000,3361.430000,,,,
20180408,2655.640000,82.360000,148.750000,0.270000,0,0,0,2887.020000,111.700000,199.720000,2.300000,3200.740000,,,,
20180409,2740.250000,82.460000,151.540000,0.270000,0,0,0,2974.520000,112.280000,230.370000,2.300000,3319.470000,,,,
20180410,2795.540000,87.380000,156.840000,0.270000,0,0,,3040.030000,112.400000,251.130000,0.610000,3404.170000,,,,
20180411,2766.490000,82.490000,155.300000,0.270000,0,0,,3004.550000,109.930000,253.650000,1.480000,3369.610000,,,,
20180412,2733.190000,89.760000,156.540000,0.270000,0,0,,2979.760000,108.850000,250.980000,3.350000,3342.940000,,,,
20180413,2787.380000,96.690000,160.590000,0.270000,0,0,,3044.930000,108.900000,268.340000,4.020000,3426.190000,,,,
20180414,2795.910000,96.530000,155.020000,0.270000,0,0,,3047.730000,110.530000,278.800000,3.870000,3440.930000,,,,
20180415,2753.940000,89.620000,153.750000,0.270000,0,0,,2997.580000,110.480000,202.470000,3.190000,3313.720000,,,,
20180416,2894.890000,99.240000,158.800000,0.270000,0,0,,3153.200000,110.460000,238.860000,3.130000,3505.650000,,,,
20180417,2930.750000,96.720000,158.290000,0.270000,0,0,,3186.030000,107.900000,239.350000,3.130000,3536.410000,,,,
20180418,2890.040000,93.150000,166.250000,0.580000,0,0,,3150.020000,107.140000,232.340000,3.760000,3493.260000,,,,
20180419,2935.310000,90.930000,164.830000,0.450000,0,0,,3191.520000,106.860000,223.430000,3.760000,3525.570000,,,,
20180420,2858.700000,85.950000,154.050000,0.270000,0,0,,3098.970000,106.840000,236.260000,4.220000,3446.290000,,,,
20180421,2924.000000,95.690000,150.840000,0.270000,0,0,,3170.800000,106.720000,267.120000,6.140000,3550.780000,,,,
20180422,2819.970000,86.220000,151.250000,0.270000,0,0,,3057.710000,107.550000,225.950000,6.140000,3397.350000,,,,
20180423,2928.590000,93.260000,157.380000,0.270000,0,0,,3179.500000,106.700000,267.060000,3.760000,3557.020000,,,,
20180424,2939.520000,90.120000,152.890000,0.270000,0,0,,3182.800000,107.420000,276.130000,3.910000,3570.260000,,,,
20180425,2940.430000,95.280000,149.820000,0.270000,0,0,,3185.800000,107.160000,272.890000,2.590000,3568.440000,,,,
20180426,2932.120000,97.630000,154.900000,0.270000,0,0,,3184.920000,107.220000,287.940000,2.800000,3582.880000,,,,
20180427,2940.410000,109.560000,164.260000,0.270000,0,0,,3214.500000,101.500000,308.230000,2.800000,3627.030000,,,,
20180428,2936.540000,106.910000,160.090000,0.270000,0,0,,3203.810000,90.260000,320.140000,3.160000,3617.370000,,,,
20180429,2789.430000,101.130000,150.170000,0.270000,0,0,,3041.000000,79.440000,277.540000,2.880000,3400.860000,,,,
20180430,2737.490000,94.050000,147.960000,0.270000,0,0,,2979.770000,80.760000,298.160000,4.150000,3362.840000,,,,
20180501,2645.310000,84.590000,149.400000,0.270000,0,0,,2879.570000,93.910000,282.340000,4.150000,3259.970000,,,,
20180502,2687.160000,87.210000,143.090000,0.270000,0,0,,2917.730000,104.150000,330.580000,10.790000,3363.250000,,,,
20180503,2581.730000,86.280000,130.060000,0.270000,0,0,,2798.340000,102.690000,360.040000,7.670000,3268.740000,,,,
20180504,2750.250000,92.140000,144.890000,0.270000,0,0,,2987.550000,94.120000,355.900000,8.240000,3445.810000,,,,
20180505,2863.490000,94.870000,154.610000,0.270000,0,0,,3113.240000,93.920000,364.110000,8.070000,3579.340000,,,,
20180506,2775.570000,89.210000,145.250000,0.270000,0,0,,3010.300000,97.290000,299.240000,9.370000,3416.200000,,,,
20180507,2845.320000,88.880000,146.080000,0.270000,0,0,,3080.550000,98.420000,339.830000,11.470000,3530.270000,,,,
20180508,2804.980000,85.320000,141.790000,0.270000,0,0,,3032.360000,98.180000,350.520000,14.950000,3496.010000,,,,
20180509,2849.920000,89.150000,142.710000,0.270000,0,0,,3082.050000,98.180000,342.470000,10.280000,3532.980000,,,,
20180510,2901.750000,89.700000,151.950000,0.270000,0,0,,3143.670000,97.750000,342.820000,8.350000,3592.590000,,,,
20180511,2913.300000,92.320000,168.520000,0.270000,0,0,,3174.410000,97.940000,298.700000,8.350000,3579.400000,,,,
20180512,2842.420000,87.700000,160.620000,0.270000,0,0,,3091.010000,97.980000,295.870000,8.350000,3493.210000,,,,
20180513,2732.420000,85.860000,134.750000,0.270000,0,0,,2953.300000,97.790000,296.700000,5.580000,3353.370000,,,,
20180514,2632.397400,93.193000,142.538000,0.271000,0,0,0,2868.399400,98.131000,323.325000,5.690000,3295.545400,,,,
20180515,2858.918000,96.591000,143.985000,0.271000,0,0,0,3099.765000,97.953000,334.511000,7.490000,3539.719000,,,,
20180516,2881.073000,93.248000,147.482000,0.271000,0,0,0,3122.074000,98.184000,332.019000,6.160000,3558.437000,,,,
20180517,2907.037000,94.297000,165.072000,0.271000,0,0,0,3166.677000,101.346000,333.359000,7.450000,3608.832000,,,,
20180518,2907.403000,92.078000,156.161000,0.271000,0,0,0,3155.913000,101.696000,346.147000,10.720000,3614.476000,,,,
20180519,2880.296000,94.687000,181.744000,0.271000,0,0,0,3156.998000,101.503000,342.375000,10.530000,3611.406000,,,,
20180520,2801.710000,87.599000,166.037000,0.271000,0,0,0,3055.617000,101.399000,310.688000,14.010000,3481.714000,,,,
20180521,2949.381100,91.501000,164.469000,0.271000,0,0,0,3205.622100,101.317000,335.670000,10.160000,3652.769100,,,,
20180522,3061.360000,95.650000,174.780000,0.270000,0,0,0,3332.060000,101.950000,345.410000,11.410000,3790.830000,,,,
20180523,3056.430000,96.150000,171.720000,0.270000,0,0,0,3324.570000,102.150000,366.520000,11.040000,3804.280000,,,,
20180524,3028.050000,94.560000,164.840000,0.270000,0,0,0,3287.720000,102.630000,364.430000,11.040000,3765.820000,,,,
20180525,3006.080000,84.840000,149.870000,0.270000,0,0,0,3241.060000,96.820000,375.050000,11.040000,3723.970000,,,,
20180526,2989.920000,88.260000,154.180000,0.270000,0,0,0,3232.630000,91.830000,408.840000,11.040000,3744.340000,,,,
20180527,2942.140000,85.650000,153.590000,0.270000,0,0,0,3181.650000,94.450000,384.440000,11.040000,3671.580000,,,,
20180528,3032.000000,81.160000,145.560000,0.270000,0,0,0,3258.990000,95.350000,372.860000,14.340000,3741.540000,,,,
20180529,2940.910000,84.489000,151.442000,0.271000,0,0,0,3177.112000,105.199000,345.775000,10.590000,3638.676000,,,,
20180530,2964.660000,90.490000,152.610000,0.270000,0,0,0,3208.030000,114.190000,363.888600,10.680000,3696.788600,,,,
20180531,2986.650000,96.530000,155.960000,0.270000,0,0,0,3239.410000,115.060000,392.420000,7.440000,3754.330000,,,,
20180601,2829.413500,95.266000,190.713500,0.270000,0,0,0,3115.663000,114.089600,393.072700,8.850000,3631.675300,,,,
20180602,2759.296600,93.450000,161.604000,0.271000,0,0,0,3014.621600,115.816700,399.289200,8.850000,3538.577500,,,,
20180603,2632.850400,87.155000,158.979500,0.271000,0,0,0,2879.255900,88.762600,418.435700,10.300000,3396.754200,,,,
20180604,2823.323200,86.468000,127.758900,0.271000,0,0,0,3037.821100,114.164800,443.222000,8.750000,3603.957900,,,,
20180605,2847.508600,89.392000,131.955100,0.271000,0,0,0,3069.126700,114.600500,445.366300,11.450000,3640.543500,,,,
20180606,2748.777400,87.360000,123.539700,0.271000,0,0,0,2959.948100,113.731100,457.502900,11.450000,3542.632100,,,,
20180607,2739.644300,83.303000,122.391900,0.271000,0,0,0,2945.610200,114.593900,400.098700,11.450000,3471.752800,,,,
20180608,2591.681300,62.099000,125.529400,0.271000,0,0,0,2779.580700,81.087400,424.292900,10.010000,3294.971000,,,,
20180609,2268.625700,73.005000,123.588200,0.271000,0,0,0,2465.489900,109.113200,425.840300,10.100000,3010.543400,,,,
20180610,2214.779800,82.502000,120.032600,0.271000,0,0,0,2417.585400,111.236000,432.656900,11.140000,2972.618300,,,,
20180611,2455.778300,80.329000,124.184400,0.271000,0,0,0,2660.562700,114.989000,465.740000,14.630000,3255.921700,,,,
20180612,2498.255800,86.901300,126.353300,0.271000,0,0,0,2711.781400,114.714000,541.113200,15.861000,3383.469600,,,,
20180613,2438.223200,89.291900,126.622200,0.271000,0,0,0,2654.408300,104.286600,493.028300,22.480000,3274.203200,,,,
20180614,2483.948200,94.547000,109.792300,0.271000,0,0,0,2688.558500,105.627200,476.181500,14.900000,3285.267200,,,,
20180615,2616.346300,99.912900,129.721500,0.271000,0,0,0,2846.251700,105.686600,484.559900,18.830000,3455.328200,,,,
20180616,2582.859300,100.814800,122.481600,0.271000,0.001500,0,0,2806.428200,115.244100,476.366000,23.810000,3421.848300,,,,
20180617,2392.404900,97.457900,113.233500,0.271000,0.001500,0,0,2603.368800,114.794400,430.573900,29.100000,3177.837100,,,,
20180618,2593.888600,106.094200,120.478100,0.271000,0.001500,0,0,2820.733400,115.410300,437.634300,23.320000,3397.098000,,,,
20180619,2721.478100,106.401800,144.361600,0.271000,0.001500,0,0,2972.514000,114.819800,408.868200,23.320000,3519.522000,,,,
20180620,2836.277300,109.249500,152.061900,0.271000,0.001500,0,0,3097.861200,115.295600,417.852300,16.400000,3647.409100,,,,
20180621,2869.370000,105.466000,175.534200,0.271000,0.001500,0,0,3150.642700,114.795500,432.988200,15.380000,3713.806400,,,,
20180622,2915.414600,92.935700,173.375300,0.271000,0.001500,0,0,3181.998100,111.987900,425.748500,13.170000,3732.904500,,,,
20180623,2899.291800,86.189600,154.003100,0.271000,0.001500,0,0,3139.757000,108.983100,431.176700,15.030000,3694.946800,,,,
20180624,2781.984900,87.614850,146.272550,0.271000,0.001500,0,0,3016.144800,108.432050,432.625350,14.940000,3572.142200,,,,
20180625,2794.912300,88.654400,135.341300,0.271000,0.001500,0,0,3019.180500,109.191300,423.389500,14.850000,3566.611300,,,,
20180626,2664.678000,89.040100,138.542000,0.271000,0.001500,0,0,2892.532600,107.881000,434.074000,14.850000,3449.337600,,,,
20180627,2589.726500,88.406700,136.593000,0.271000,0.001500,0,0,2814.998700,111.465000,424.326200,18.640000,3369.429900,,,,
20180628,2448.494300,83.636000,126.658000,0.271000,0.001500,0,0,2659.060800,113.966000,449.071300,19.870000,3241.968100,,,,
20180629,2532.573700,87.722900,125.757600,0.271000,0.001500,0,0,2746.326700,113.637000,459.299700,21.590000,3340.853400,,,,
20180630,2639.993700,91.379300,127.527200,0.271000,0.001500,0,0,2859.172700,111.849000,487.968200,20.190000,3479.179900,,,,
20180701,2557.779100,92.359100,126.971100,0.271000,0,0,0,2777.380300,107.485000,475.573700,20.880000,3381.319000,,,,
20180702,2521.106900,87.172000,133.759900,0.271000,0,0,0,2742.309800,104.188000,485.935100,27.240000,3359.672900,,,,
20180703,2415.830200,88.008700,131.016300,0.271000,0,0,0,2635.126200,105.488000,483.909200,30.530000,3255.053400,,,,
20180704,2373.765600,80.061400,140.222100,0.271000,0,0,0,2594.320100,106.483000,479.376500,30.920000,3211.099600,,,,
20180705,2532.123000,86.165300,156.193000,0.271000,0,0,0,2774.752300,106.602000,458.659700,29.940000,3369.954000,,,,
20180706,2630.449500,87.091200,154.846500,0.271000,0,0,0,2872.658200,107.324000,452.884500,28.100000,3460.966700,,,,
20180707,2680.399700,85.332600,154.703800,0.271000,0,0,0,2920.707100,108.980000,459.594300,24.710000,3513.991400,,,,
20180708,2685.556700,81.757200,147.269500,0.271000,0,0,0,2914.854400,109.273000,463.700000,24.380000,3512.207400,,,,
20180709,2651.480000,82.997200,151.540800,0.271000,0,0,0,2886.289000,109.675000,485.118700,29.220000,3510.302700,,,,
20180710,2654.764900,90.721200,149.344600,0.271000,0,0,0,2895.101700,109.362000,492.056500,31.400000,3527.920200,,,,
20180711,2557.355300,84.618000,142.727700,0.271000,0,0,0,2784.972000,109.489000,490.401100,31.250000,3416.112100,,,,
20180712,2544.471700,77.668900,138.434600,0.271000,0,0,0,2760.846200,109.593000,494.990600,31.290000,3396.719800,,,,
20180713,2452.724400,77.205100,136.540800,0.271000,0,0,0,2666.741300,110.138000,488.377500,30.240000,3295.496800,,,,
20180714,2430.232700,73.946800,123.127100,0.271000,0,0,0,2627.577600,110.261000,494.857700,30.280000,3262.976300,,,,
20180715,2368.200600,79.384500,116.455100,0.271000,0,0,0,2564.311200,109.588000,490.619800,31.300000,3195.819000,,,,
20180716,2422.660000,82.125300,123.282400,0.271000,0,0,0,2628.338700,109.701000,488.522900,30.930000,3257.492600,,,,
20180717,2423.663300,77.938100,130.642800,0.271000,0,0,0,2632.515200,109.125000,510.595200,30.390000,3282.625400,,,,
20180718,2493.374500,83.416000,137.072000,0.271000,0,0,0,2714.133500,107.985000,528.998100,30.150000,3381.266600,,,,
20180719,2511.502000,83.716400,143.751200,0.271000,0,0,0,2739.240600,108.439000,546.451200,28.550000,3422.680800,,,,
20180720,2496.992300,86.209900,133.930000,0.271000,0,0,0,2717.403200,102.933000,531.547500,29.960000,3381.843700,,,,
20180721,2345.850000,79.639700,118.190600,0.271000,0,0,0,2543.951300,104.439000,526.220100,29.540000,3204.150400,,,,
20180722,2151.013000,77.170200,110.024000,0,0,0,0,2338.207200,111.093000,520.117000,29.760000,2999.177200,,,,
