"YYYYMM","COL.CO2","OIL.CO2","GAS.CO2","CEM.CO2"
201212,109.782591,42.783339,9.982085,9.221134
201301,115.936706,42.394362,9.931978,9.742887
201302,98.098299,39.200796,8.852642,9.015041
201303,141.656094,43.438212,9.150021,10.435527
201304,89.104189,41.202959,9.361757,9.429504
201305,97.629510,44.206105,9.539657,9.223317
201306,90.222087,41.205756,9.080806,8.571699
201307,87.189299,41.223580,8.688690,8.260675
201308,87.929062,40.206284,9.447182,7.923229
201309,92.231650,38.473323,8.369852,8.941295
201310,106.657857,41.830606,9.375893,8.767019
201311,107.166410,41.799433,9.004032,8.003224
201312,121.656892,42.349098,8.751487,9.506425
201401,128.191779,42.124934,9.012129,10.105333
201402,110.460950,39.917777,8.502535,9.370708
201403,155.746604,44.259113,8.835042,10.616031
201404,107.047661,41.562771,8.937808,10.363039
201405,107.396370,45.423533,9.022247,10.224504
201406,107.543229,43.989695,9.080921,9.931538
201407,98.893729,42.407819,8.993417,9.691585
201408,98.890171,41.153195,8.990111,8.760744
201409,108.365231,40.812081,8.732077,9.310228
201410,115.330513,41.307256,9.521445,8.694739
201411,136.818120,43.897367,8.765606,8.866228
201412,134.776187,46.066705,9.407659,9.890220
201501,143.777219,44.079104,8.476682,10.141218
201502,133.388605,44.205909,7.249505,9.596098
201503,166.028880,45.249077,7.938143,10.238853
201504,110.085306,45.462404,7.998237,10.105592
201505,117.912623,48.357060,8.410859,10.377090
201506,110.191288,46.293310,8.949472,10.088798
201507,91.329195,45.684735,9.179513,9.826405
201508,98.130633,45.333618,9.168917,9.232069
201509,103.385352,47.016938,8.910880,9.154351
201510,126.239146,48.286271,9.141869,9.749300
201511,124.860353,46.628361,8.853465,8.709544
201512,136.023634,49.330910,8.784883,10.288596
201601,144.588741,50.723525,8.303975,11.061784
201602,151.852895,50.502504,8.343395,10.875169
201603,162.965834,53.581245,8.582602,11.536409
201604,119.854545,50.909089,8.553926,10.522006
201605,124.249301,52.413060,8.755342,10.632126
201606,121.575667,51.650878,9.689850,11.122711
201607,100.102119,49.792054,9.106178,9.869013
201608,96.577469,53.528535,9.730976,9.492109
201609,108.863021,46.821793,10.015086,9.745623
201610,125.793072,52.200318,9.645620,10.329762
201611,128.706974,51.025289,10.185369,8.732532
201612,138.739383,50.471037,9.076774,9.362066
201701,143.244118,47.979798,8.348312,9.567088
201702,138.641566,48.292658,9.293260,9.124252
201703,179.625488,53.900082,9.979445,10.717818
201704,110.441889,53.146797,8.894694,9.939124
201705,116.040405,56.629735,9.651067,10.452315
201706,103.103094,51.853297,9.505570,10.722750
201707,92.131279,50.921471,9.269291,9.939431
201708,109.070868,52.920392,9.938094,9.528178
201709,110.076468,51.803520,10.073730,9.726891
201710,124.704595,54.565140,10.333831,10.166766
201711,130.426899,54.636868,10.983300,10.179730
201712,142.449997,55.687248,10.208900,10.982899
201801,154.435459,53.684705,10.109194,11.409692
201802,147.304906,51.453707,9.952543,11.196877
201803,207.581245,56.959372,11.432052,12.138287
201804,113.860720,54.968538,10.855590,12.089414
201805,124.494125,57.619308,10.617259,11.782052
201806,123.013708,56.385984,10.612487,12.221984
201807,105.835216,54.319514,10.760658,11.029766
201808,110.774677,52.697406,10.294742,10.906176
201809,123.595787,50.550128,10.583166,10.859473
201810,143.712825,55.021590,10.925263,12.026963
201811,140.744915,53.124451,10.141029,11.062762
201812,145.439861,58.239774,10.455674,12.241447
201901,161.547743,57.307573,10.210609,12.656780
201902,157.424717,53.759935,8.913624,12.085363
201903,217.131384,59.518159,10.501872,14.040741
201904,130.436534,56.697924,10.367680,12.360464
201905,139.868888,59.068264,10.372420,12.106982
201906,134.163619,54.889135,10.954981,11.988294
201907,112.594065,56.446540,10.246696,11.876389
201908,102.922194,54.270582,11.350749,10.349981
201909,101.925588,50.690079,10.447159,10.642885
201910,118.212815,54.248208,11.136932,11.103648
201911,138.700916,57.527638,10.458520,11.543216
201912,155.364940,58.803011,10.271259,12.909394
202001,171.480734,57.940452,10.800129,13.306150
202002,184.024250,55.611253,11.955456,13.025115
202003,232.234484,49.913263,10.812266,10.519959
202004,99.253254,30.498514,7.744364,1.824822
202005,116.844681,48.185535,10.216028,9.513234
202006,114.615272,49.631389,10.696772,11.172741
202007,124.034652,48.974754,11.178343,10.277921
202008,122.363553,45.253018,10.900863,8.846888
202009,110.185193,47.003027,10.407856,10.276649
202010,131.225108,54.681101,11.974462,11.457591
202011,138.040711,59.446283,10.349893,10.705620
202012,152.165781,55.980984,10.647268,11.981512
202101,162.957766,54.088855,10.673561,12.531290
202102,136.416841,50.536177,9.869971,13.045885
