"Year","CRF Production","FAO Production","CRF Import","FAO Import","CRF Export","FAO Export"
1960,0.513000,,0.333800,,0.011900,
1961,0.525300,0.526000,0.435700,0.436800,0.006830,0.006500
1962,0.519600,0.528000,0.309300,0.310800,0.020780,0.006700
1963,0.597400,0.655100,0.342200,0.349800,0.008330,0.008600
1964,0.658300,0.793300,0.381200,0.390300,0.016530,0.014100
1965,0.744800,0.879700,0.439900,0.434600,0.025510,0.022000
1966,0.774300,0.776000,0.418800,0.417200,0.021670,0.016800
1967,0.830200,0.830900,0.442000,0.442000,0.034570,0.024900
1968,0.824200,0.818700,0.470300,0.470300,0.027670,0.027500
1969,0.921200,0.922400,0.486900,0.468500,0.033960,0.033800
1970,1.044000,1.052400,0.498800,0.479300,0.040890,0.040700
1971,1.071700,1.071600,0.536400,0.510500,0.041420,0.043400
1972,1.597017,1.092200,0.503000,0.457300,0.554327,0.049700
1973,1.902244,1.151900,0.597700,0.519500,0.801924,0.051900
1974,2.001336,1.185400,0.637000,0.622279,0.757336,0.042300
1975,1.830221,1.142000,0.652000,0.651800,0.719021,0.030100
1976,1.753762,1.126000,0.436000,0.435900,0.647932,0.020900
1977,2.094992,1.278000,0.619000,0.619800,0.900392,0.031700
1978,2.068703,1.255000,0.549700,0.549600,0.884473,0.043400
1979,2.211372,1.340000,0.632000,0.632000,0.940502,0.041400
1980,2.627929,1.459000,0.694600,0.694600,1.292709,0.095300
1981,2.562076,1.456000,0.703500,0.703500,1.223396,0.110800
1982,2.491321,1.465000,0.747600,0.747500,1.106123,0.079900
1983,2.420545,1.430000,0.521300,0.520400,1.063269,0.072700
1984,2.713508,1.520000,0.650400,0.633100,1.250032,0.057300
1985,2.778311,1.546000,0.814300,0.809100,1.307892,0.082200
1986,2.789401,1.596000,0.709500,0.710600,1.280946,0.086400
1987,3.017894,1.526000,0.735900,0.686000,1.462278,0.120800
1988,3.088034,1.792000,0.932700,0.924700,1.453898,0.092100
1989,3.372900,1.870000,0.994135,0.950200,1.658514,0.131100
1990,3.373572,2.628000,0.930565,0.903400,1.671358,0.163000
1991,3.503011,2.635000,0.777396,0.766700,1.703102,0.198700
1992,3.550907,1.990000,0.906145,0.770700,1.704940,0.241735
1993,3.720216,2.039000,0.957450,0.957400,1.841391,0.289800
1994,4.071899,2.197000,1.044655,1.042500,2.101965,0.274500
1995,4.285085,2.252000,1.359356,1.345500,2.232752,0.247200
1996,4.151917,2.320000,1.110705,1.110600,2.066563,0.241300
1997,4.179555,2.418000,1.217747,1.136300,2.170582,0.419400
1998,4.789606,2.541000,1.339247,1.284000,2.685545,0.402000
1999,4.581822,2.564000,1.297220,1.305000,2.437325,0.389000
2000,5.269897,2.836000,1.510592,1.399000,2.931670,0.458000
2001,5.343029,2.672000,1.409822,1.144000,3.195120,0.539000
2002,5.388635,2.645000,1.335502,1.252000,3.238015,0.588000
2003,5.887073,3.090000,1.465836,1.369000,3.569752,0.704000
2004,5.907309,3.097000,1.740469,1.564000,3.540233,0.776895
2005,6.158913,3.244000,1.889003,1.606000,3.698686,0.731695
2006,5.990338,3.221000,2.125367,1.551000,3.597130,0.808195
2007,6.300467,3.192000,1.882321,1.490300,3.910866,0.684454
2008,6.496912,3.281000,1.853508,1.636000,4.014466,0.740000
2009,6.060057,3.278000,1.676985,1.389000,3.564672,0.787000
2010,5.647021,3.203000,1.748610,1.702554,3.534185,0.726918
2011,5.888338,3.155000,1.895493,1.616339,3.772473,0.778763
2012,5.423042,3.191000,1.745770,1.546931,3.365184,0.897474
2013,5.083150,3.059000,1.798195,1.451054,3.200416,1.196528
2014,5.671653,3.077000,1.728724,1.446373,3.838174,1.176431
2015,6.277543,3.176000,1.650722,1.390760,4.309520,1.128712
2016,6.774219,3.224000,1.594790,1.346142,4.687708,1.183130
2017,7.185947,3.235038,1.516482,1.239709,5.203301,1.224505
2018,7.334007,3.225000,1.453200,1.190435,5.268380,1.131396
2019,7.327814,3.213000,1.404845,1.123789,5.253009,1.121370
2020,6.067339,3.061000,1.335821,1.045930,4.118838,1.099291
2021,5.659919,3.142000,1.138116,0.902947,3.719705,0.960366
2022,5.981460,3.118000,1.187466,0.860411,3.959080,0.893579
2023,,2.958000,,0.773826,,0.936851
