"Year","Total","Energy industries","Manufacturing","Transport","Other sectors","Other","Fugitive: Solid fuels","Fugitive: Oil & Gas"
1990,256.880160,143.172756,36.224922,61.175799,15.883987,0.422696,,
1991,259.236849,146.396548,35.760897,60.607843,16.056940,0.414621,,
1992,263.632162,149.719796,35.315919,61.622671,16.510460,0.463316,,
1993,268.023154,151.492719,35.896359,63.198202,16.965230,0.470644,,
1994,271.077541,152.307644,36.686267,64.695237,16.824985,0.563407,,
1995,281.936228,158.140198,37.628854,68.042562,17.428624,0.695990,,
1996,288.849665,162.742638,37.660477,69.917063,17.748175,0.781312,,
1997,297.131886,169.413367,37.754048,71.213428,17.930399,0.820644,,
1998,310.115230,182.065818,37.856692,71.422508,18.086025,0.684186,,
1999,318.700347,189.654800,38.108659,72.255358,18.049404,0.632126,,
2000,324.331181,192.519663,38.916009,73.851500,18.416718,0.627291,,
2001,332.162966,200.056944,38.416043,73.807924,19.243639,0.638415,,
2002,336.836230,202.550845,39.094103,75.311340,19.282894,0.597049,,
2003,344.440005,205.464410,40.846629,77.685653,19.882854,0.560459,,
2004,355.057946,213.120437,40.775877,80.773949,19.805538,0.582145,,
2005,359.691257,215.385669,41.665341,81.803889,20.211995,0.624363,,
2006,364.781569,220.092888,40.619065,83.054338,20.364102,0.651176,,
2007,370.365139,224.087955,40.382742,84.913760,20.197932,0.782750,,
2008,376.436093,225.886850,42.510560,86.673635,20.542084,0.822964,,
2009,381.367685,232.466032,40.465062,86.888082,20.714160,0.834349,,
2010,376.517325,226.604439,39.624061,88.355741,21.044483,0.888601,,
2011,374.833322,220.628376,40.880412,90.974050,21.452512,0.897972,,
2012,378.284411,222.400786,41.632670,91.483647,21.895776,0.871531,,
2013,372.160749,211.400092,44.722278,92.807678,22.319635,0.911066,,
2014,366.690697,205.423347,46.083937,92.753986,21.403860,1.025566,,
2015,372.754832,212.201663,42.174611,94.874322,22.559249,0.944988,,
2016,380.399739,219.584787,41.045609,95.858374,22.803433,1.107536,,
2017,381.057269,218.445506,40.652795,97.462367,23.572793,0.923807,,
2018,380.186339,214.312247,41.744984,99.747871,23.452849,0.928388,,
2019,377.335213,213.407439,41.368062,99.806002,21.961981,0.791730,,
2020,363.993852,207.586226,41.361055,92.722306,21.377321,0.946945,,
2021,354.799081,197.686893,42.927883,89.619485,23.748762,0.816058,,
2022,347.893721,190.657209,43.208592,89.517558,23.782440,0.727922,,
2023,349.074869,186.846571,42.042053,96.610732,22.517576,1.057936,,
