"Year","Cars","Light-duty trucks","Heavy-duty trucks/buses"
1990,33.817480,7.366220,11.262896
1991,33.325722,7.261613,10.921394
1992,33.735351,7.373442,11.038628
1993,34.475280,7.601995,11.542517
1994,35.085912,7.810209,12.043420
1995,36.038630,8.126113,12.850263
1996,36.382490,8.322743,13.536609
1997,36.425111,8.472771,14.237076
1998,36.672179,8.634338,14.806503
1999,38.039445,8.523591,14.743593
2000,38.509718,8.913854,15.103657
2001,37.719097,9.655508,14.587075
2002,38.175695,10.075859,15.437560
2003,39.978944,10.329318,15.903339
2004,41.144235,11.256529,16.267702
2005,41.538586,10.767519,16.825511
2006,41.845924,10.974662,17.474633
2007,40.991477,11.717771,18.555366
2008,41.564491,12.186198,18.412837
2009,41.777896,12.669599,18.320894
2010,42.453571,13.316324,18.297558
2011,43.169103,13.518977,19.372235
2012,42.805294,13.494969,20.320159
2013,43.624640,13.517002,20.381355
2014,43.698126,13.448781,20.387083
2015,43.863963,14.416877,20.956166
2016,43.584892,15.231332,21.248571
2017,44.667342,15.618548,20.896604
2018,45.013962,16.612838,21.493548
2019,43.918229,17.014504,21.876997
2020,40.691352,16.771358,21.520660
2021,40.278681,16.910631,21.068201
2022,39.639849,17.152277,21.644614
2023,41.826912,17.666584,22.213311
2024,42.006937,18.159543,22.902442
