"Year","Electricity generation","Pulp, paper and print","Food processing, beverages and tobacco","Residential: Stationary combustion","All others"
1990,1.078276,1.513400,6.918024,5.214706,0.417859
1991,1.034615,1.522800,6.648185,5.366263,0.446059
1992,0.840129,1.522800,5.511971,5.525075,0.305059
1993,1.031969,1.626200,6.688231,5.724446,0.295659
1994,1.113998,1.823600,7.232802,5.843808,0.305059
1995,1.209256,1.833000,7.849744,5.903095,0.314459
1996,1.342883,1.851800,8.647417,5.984433,0.314459
1997,1.448726,1.861200,9.282774,6.094551,0.333385
1998,1.489740,1.823600,9.583260,6.112731,0.319357
1999,1.450049,1.823600,9.347351,6.127093,0.319357
2000,1.945938,1.814200,9.019049,6.145323,0.319357
2001,1.893171,1.645000,8.477308,6.086631,0.327557
2002,1.593106,1.682600,7.930675,5.012380,0.330133
2003,1.915219,2.207787,8.011254,5.675128,0.407788
2004,1.924985,2.181232,8.499158,5.469810,0.422072
2005,2.161266,2.152224,9.091860,5.254889,0.431781
2006,2.211223,2.215044,9.171020,5.082766,0.423988
2007,2.144300,2.404576,9.318376,4.902009,0.483267
2008,2.486932,2.499808,9.377777,4.712618,0.594216
2009,2.643477,1.962389,4.719578,4.516230,0.840790
2010,2.152523,2.121758,7.502742,4.309487,1.083651
2011,1.807993,2.244008,7.067559,4.094105,1.241163
2012,1.878315,2.136729,7.143438,4.094105,1.276012
2013,2.487309,1.831043,8.501631,4.094105,1.125216
2014,3.082161,2.589969,7.712126,4.013950,1.171778
2015,3.458475,2.616568,8.669125,3.864567,1.117112
2016,3.877335,2.738104,8.399972,3.815844,0.863439
2017,4.124623,2.831328,9.213938,3.780435,0.931404
2018,1.690464,2.666882,8.153533,3.736632,0.893034
2019,1.593371,2.476984,7.530873,3.690514,0.945133
2020,2.697905,2.936949,6.981147,3.653513,0.657088
2021,2.067100,3.742169,7.335689,3.678594,0.710001
2022,1.914911,4.012018,7.136539,3.693521,0.792160
2023,1.929741,3.220342,8.016568,3.770659,0.800800
