"Year","Forest land","Cropland","Grassland","Wetlands","Settlements","Other land","HWP","Other"
1990,-5.085337,35.331173,143.381390,4.212083,7.561855,0,-7.137308,0.003381
1991,-5.708306,35.073896,123.536579,4.580012,6.855973,0,-6.572245,0.004250
1992,-10.407734,25.048185,94.150471,4.512071,6.871996,0,-6.703374,0.007453
1993,-15.831721,21.284647,83.082768,3.802360,6.652474,0,-6.840852,0.008416
1994,-9.827272,17.952129,72.285469,2.604443,5.874177,0,-7.113984,0.010983
1995,-18.423550,11.955606,66.813373,2.517941,5.319292,0,-7.495042,0.009033
1996,-16.776289,12.010159,58.278946,3.575321,5.043416,0,-6.409275,0.009789
1997,-34.006840,7.580505,65.033633,3.874456,5.674959,0,-6.351242,0.010276
1998,-26.036644,7.419957,62.128827,3.634668,4.951294,0,-7.135216,0.012025
1999,-31.295044,9.513597,79.180879,3.789181,4.594405,0,-6.326471,0.014740
2000,-18.034948,5.606731,80.347986,3.931763,5.232136,0,-7.727606,0.017612
2001,-20.868480,6.821578,90.556396,3.197276,4.835727,0,-6.495108,0.021330
2002,-25.281437,9.519615,93.290843,3.578544,4.643134,0,-6.820986,0.025975
2003,-28.252104,10.632680,96.056050,3.160139,5.016267,0,-7.362331,0.022470
2004,-39.713941,9.983443,76.312164,2.578989,5.583542,0,-8.043903,0.024363
2005,-34.761902,9.204284,99.946372,3.202763,5.280948,0,-7.935104,0.031643
2006,-35.516924,13.131305,125.600731,3.709333,6.771849,0,-7.505328,0.035263
2007,-30.028675,9.173311,99.387402,3.283890,4.832817,0,-6.472136,0.028107
2008,-18.096766,7.734642,73.888863,3.604112,4.959951,0,-6.362374,0.083849
2009,-11.511240,6.485058,58.647826,3.826748,4.374259,0,-4.616289,0.032628
2010,-10.708266,7.327945,61.881993,3.981756,4.913023,0,-4.137436,0.034297
2011,-21.546476,6.811085,40.540409,4.836830,3.956087,0,-4.574904,0.035866
2012,-26.669006,-0.908921,27.946838,3.081008,4.498016,0,-3.934864,0.043499
2013,-33.996846,3.001466,41.481086,2.998159,5.040699,0,-3.986657,0.042385
2014,-48.331950,-0.305091,49.203049,2.876248,4.574142,0,-3.862771,0.073597
2015,-50.229935,-0.283273,38.260692,2.942397,3.734407,0,-4.123622,0.048003
2016,-80.323705,-2.912322,21.537538,2.080786,3.438160,0,-4.395906,0.051646
2017,-79.570998,-2.255127,50.108719,2.168863,4.488672,0,-4.378299,0.049009
2018,-88.006728,-6.155574,35.685039,1.640629,3.504973,0,-5.088851,0.055799
2019,-68.315082,-6.605736,11.493744,1.656966,3.166931,0,-4.952419,0.052361
2020,-73.185485,-8.868193,20.762815,0.926631,3.492040,0,-4.419784,0.060313
2021,-76.616244,-9.886711,-0.880901,1.380884,2.326859,0,-4.931303,0.076340
2022,-64.582058,-11.682381,-10.066603,1.713467,1.778312,0,-5.611299,0.076340
