"Year","Australia","World"
1950,5.686304,2.378734
1951,5.882484,2.515504
1952,6.260151,2.502896
1953,5.851222,2.524970
1954,6.178624,2.527923
1955,5.991800,2.716614
1956,5.889299,2.835461
1957,5.894919,2.869636
1958,5.936871,2.891376
1959,5.869065,2.985590
1960,6.398988,3.112931
1961,6.669667,3.071906
1962,6.689467,3.120741
1963,6.766956,3.215595
1964,7.238378,3.315825
1965,8.047679,3.391959
1966,8.322551,3.484865
1967,8.670123,3.523155
1968,9.676049,3.640223
1969,10.548413,3.802135
1970,12.457144,4.032588
1971,13.336942,4.112597
1972,15.312849,4.219747
1973,16.326476,4.355556
1974,16.682289,4.253289
1975,17.360810,4.173319
1976,17.795376,4.310191
1977,19.307537,4.352449
1978,20.540890,4.432504
1979,21.009594,4.465701
1980,21.303630,4.364099
1981,23.237868,4.168842
1982,23.132754,4.060496
1983,23.559707,4.023942
1984,25.224191,4.068703
1985,29.821591,4.137420
1986,30.392529,4.122175
1987,31.298064,4.179654
1988,30.165663,4.262697
1989,31.703470,4.241189
1990,33.423306,4.266701
1991,33.786752,4.282473
1992,35.309476,4.090168
1993,34.908869,4.068620
1994,35.897906,4.047994
1995,36.807850,4.083544
1996,37.498069,4.148108
1997,40.038752,4.114970
1998,40.214977,4.044522
1999,41.474038,4.079117
2000,43.592375,4.133621
2001,45.595031,4.107635
2002,46.194282,4.144280
2003,46.360156,4.307030
2004,47.022684,4.399256
2005,48.463161,4.493561
2006,48.602627,4.585831
2007,49.496830,4.661509
2008,49.674180,4.682571
2009,50.699877,4.545518
2010,51.864407,4.744937
2011,49.888813,4.848876
2012,52.907129,4.854014
2013,55.132175,4.837742
2014,58.146110,4.804597
2015,57.771960,4.739116
2016,58.407285,4.682487
2017,57.378843,4.705259
2018,60.090809,4.752195
2019,61.515104,4.747814
2020,56.703948,4.457744
2021,57.121823,4.634748
2022,54.926497,4.678452
2023,54.187967,4.707772
2024,53.792153,4.729075
