"Year","Australia","World"
1950,6.804119,2.378734
1951,7.251957,2.515504
1952,7.230734,2.502896
1953,7.146360,2.524970
1954,7.547251,2.527923
1955,7.815842,2.716614
1956,8.007864,2.835461
1957,7.830300,2.869636
1958,7.913470,2.891376
1959,8.257240,2.985590
1960,8.505223,3.112931
1961,8.286159,3.071906
1962,8.490390,3.120741
1963,8.796131,3.215595
1964,9.304674,3.315825
1965,10.002780,3.391959
1966,9.983728,3.484865
1967,10.353532,3.523155
1968,10.703901,3.640223
1969,11.115492,3.802135
1970,11.735690,4.032588
1971,11.626273,4.112597
1972,11.544491,4.219747
1973,12.585686,4.355556
1974,12.112891,4.253289
1975,12.458734,4.173319
1976,12.088419,4.310191
1977,12.807605,4.352449
1978,13.297856,4.432504
1979,13.233432,4.465701
1980,13.882575,4.364099
1981,14.302431,4.168842
1982,14.349259,4.060496
1983,13.470439,4.023942
1984,13.924809,4.068703
1985,14.180414,4.137420
1986,13.941842,4.122175
1987,14.372899,4.179654
1988,14.507389,4.262697
1989,15.225123,4.241189
1990,16.235909,4.266701
1991,16.102937,4.282473
1992,16.207692,4.090168
1993,16.294187,4.068620
1994,16.405330,4.047994
1995,16.853081,4.083544
1996,17.036092,4.148108
1997,17.305812,4.114970
1998,17.861342,4.044522
1999,18.184904,4.079117
2000,18.288158,4.133621
2001,18.469393,4.107635
2002,18.495451,4.144280
2003,18.708104,4.307030
2004,19.055771,4.399256
2005,18.974682,4.493561
2006,19.007378,4.585831
2007,19.036262,4.661509
2008,18.917555,4.682571
2009,18.683234,4.545518
2010,18.292548,4.744937
2011,17.966122,4.848876
2012,17.722463,4.854014
2013,17.121934,4.837742
2014,16.639101,4.804597
2015,16.727456,4.739116
2016,16.837936,4.682487
2017,16.716153,4.705259
2018,16.512159,4.752195
2019,16.282619,4.747814
2020,15.481283,4.457744
2021,14.966330,4.634748
2022,14.658931,4.678452
2023,14.529290,4.707772
2024,14.477199,4.729075
