"Year","Living biomass (gains)","Living biomass (losses)","Dead wood (net)","Litter (net)","Mineral Soils (net)","Organic Soils (net)"
1990,-18.201984,6.933073,-8.438626,-2.803978,9.301697,0.086671
1991,-16.661858,7.630000,-11.389411,-5.140551,11.580680,0.107079
1992,-16.581635,6.682764,-9.945293,-5.978115,6.723890,0.074451
1993,-21.363293,6.251303,-5.872222,-3.671100,0.146991,0.013016
1994,-21.371098,3.551815,-4.129186,-3.564108,7.632103,0.070934
1995,-27.007145,7.534270,-7.476324,-4.806129,5.602592,0.019409
1996,-22.663417,4.045085,-5.172117,-2.879393,1.667201,0.112914
1997,-36.349726,1.544029,-3.861339,-5.276729,2.717879,-0.004712
1998,-33.159169,1.237168,-5.976986,-3.188187,7.825916,0.062124
1999,-38.490743,2.910188,-5.496093,-5.781518,8.000606,0.203607
2000,-33.530614,5.191816,-4.185548,-1.657677,7.437486,0.117283
2001,-26.249245,0.905478,-9.751331,-3.222935,9.265766,0.132100
2002,-33.642893,5.957022,-6.196563,-2.839901,3.003150,-0.056481
2003,-29.985390,4.821977,-9.343561,-4.957099,2.622263,-0.088145
2004,-34.814912,0.968896,-5.902183,-7.432153,-0.892708,0.037297
2005,-32.083468,1.572240,-7.744689,-2.371181,-2.083394,-0.035489
2006,-38.044456,4.986409,-4.106618,-6.378199,-0.605774,0.077953
2007,-40.463616,3.705664,-1.199363,-3.026712,1.662325,-0.061591
2008,-41.608583,9.904554,-0.050326,-1.661532,4.687581,0.015786
2009,-47.157731,7.226298,1.959193,-1.672796,17.469275,-0.007860
2010,-54.646424,10.580816,-0.237951,-4.306321,27.013250,0.135110
2011,-77.915402,12.053186,7.685762,-1.559732,26.288415,0.304295
2012,-69.262900,6.069415,1.611389,-0.715796,25.117620,0.016773
2013,-67.751337,1.654831,-1.812399,-1.983011,25.947594,-0.124567
2014,-73.226518,6.358696,-0.381814,-2.708721,11.260514,-0.017989
2015,-67.969439,7.039476,-3.301805,-3.367733,7.104771,-0.177845
2016,-87.735603,2.365956,-6.117354,-4.042815,5.901905,-0.189981
2017,-79.211200,6.629412,-8.024857,-6.933304,-1.365560,0.026825
2018,-75.928912,2.981629,-13.030557,-5.630404,-4.348112,-0.068014
2019,-68.140408,5.959444,-10.538435,-3.308768,-0.098713,-0.228905
2020,-79.420833,6.926158,-9.988142,-4.814156,7.217671,-0.156186
2021,-97.360015,6.079285,-1.884108,-0.325786,9.741673,-0.039497
2022,-103.386149,4.287144,1.737053,1.812942,23.587394,-0.093483
