"Year","Living biomass (net)","Dead wood (net)","Litter (net)","Mineral Soils (net)","Organic Soils (net)"
1990,-12.727321,-2.537169,,-14.388184,2.751706
1991,-68.313121,-1.117282,,-14.433278,2.764858
1992,-72.671338,-1.006296,,-14.474829,2.773495
1993,-72.718803,-1.006071,,-14.511724,2.766728
1994,-64.590524,-1.215793,,-14.555498,2.780977
1995,-56.055210,-1.435808,,-14.599379,2.787936
1996,-60.080822,-1.339491,,-14.626680,2.803435
1997,-59.264628,-1.362352,,-14.680169,2.814888
1998,-55.833389,-1.451368,,-14.712015,2.806838
1999,-57.856341,-1.401042,,-14.747646,2.826315
2000,-39.391024,-1.876028,,-14.779448,2.834069
2001,-55.911495,-1.459415,,-14.820172,2.832629
2002,-54.345734,-1.500313,,-14.860573,2.836760
2003,-19.867135,-3.222510,,-14.890225,2.875833
2004,-18.898172,-3.420070,,-14.935620,2.867729
2005,-18.117892,-3.580623,,-14.958994,2.877233
2006,-16.837844,-3.897432,,-14.996946,2.893367
2007,-13.066423,-4.687607,,-15.032529,2.885994
2008,-45.081334,7.422893,,-15.066112,2.911409
2009,-48.633492,8.022014,,-9.650673,2.917341
2010,-43.101535,7.107691,,-7.061507,2.917079
2011,-42.293531,6.814360,,-12.058771,2.927128
2012,-45.603433,7.379702,,-11.742142,2.931993
2013,-40.398135,-3.083638,,-11.839131,2.932782
2014,-39.545807,-3.163022,,-3.008879,2.940941
2015,-37.996189,-3.311115,,-6.924070,2.947032
2016,-39.102517,-3.129631,,-7.086393,2.955628
2017,-38.906349,-3.146788,,-3.253251,2.951216
2018,30.827993,-8.059368,,-18.850682,2.988325
2019,29.820870,-7.802700,,-39.295385,2.990230
2020,33.955588,-8.798164,,-30.553904,3.002553
2021,30.477818,-8.001074,,-30.189873,2.993298
2022,29.131031,-7.659892,,-22.273042,3.008204
2023,20.069643,-6.153035,,-9.793737,2.989674
2024,1.771750,-5.291700,,2.173409,2.993423
