"Year","Germany","World"
1950,7.308731,2.378734
1951,8.263315,2.515504
1952,8.746724,2.502896
1953,8.911834,2.524970
1954,9.407279,2.527923
1955,10.282786,2.716614
1956,10.846896,2.835461
1957,10.939459,2.869636
1958,10.546377,2.891376
1959,10.457713,2.985590
1960,11.174068,3.112931
1961,11.372996,3.071906
1962,11.930787,3.120741
1963,12.654173,3.215595
1964,12.861332,3.315825
1965,12.634992,3.391959
1966,12.415373,3.484865
1967,12.160628,3.523155
1968,12.733648,3.640223
1969,13.494337,3.802135
1970,13.116823,4.032588
1971,13.237190,4.112597
1972,13.228626,4.219747
1973,13.747554,4.355556
1974,13.450067,4.253289
1975,12.735223,4.173319
1976,13.919664,4.310191
1977,13.461735,4.352449
1978,13.813758,4.432504
1979,14.302949,4.465701
1980,14.044511,4.364099
1981,13.363777,4.168842
1982,12.953846,4.060496
1983,12.929978,4.023942
1984,13.244119,4.068703
1985,13.406974,4.137420
1986,13.439201,4.122175
1987,13.223626,4.179654
1988,13.123540,4.262697
1989,12.765507,4.241189
1990,13.233256,4.266701
1991,12.663624,4.282473
1992,11.978324,4.090168
1993,11.773517,4.068620
1994,11.534621,4.047994
1995,11.459825,4.083544
1996,11.666094,4.148108
1997,11.306132,4.114970
1998,11.260539,4.044522
1999,10.963037,4.079117
2000,10.990292,4.133621
2001,11.170650,4.107635
2002,10.952268,4.144280
2003,10.893722,4.307030
2004,10.677805,4.399256
2005,10.577880,4.493561
2006,10.849608,4.585831
2007,10.407972,4.661509
2008,10.561390,4.682571
2009,9.760687,4.545518
2010,10.227579,4.744937
2011,9.950071,4.848876
2012,10.060916,4.854014
2013,10.263195,4.837742
2014,9.739761,4.804597
2015,9.756900,4.739116
2016,9.642186,4.682487
2017,9.441123,4.705259
2018,9.101415,4.752195
2019,8.480803,4.747814
2020,7.738692,4.457744
2021,8.100613,4.634748
2022,7.942360,4.678452
2023,7.022808,4.707772
2024,6.768823,4.729075
