"Year","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026"
1990,5.102905,5.108755,5.099988,5.235263,5.180861,4.755497,4.702682,4.811733,4.809068,4.837763,4.847700,4.712298,4.742213,4.735914,4.771786,4.765130,4.774627
1991,4.872638,4.885278,4.880338,4.971888,4.921234,4.532866,4.479544,4.575698,4.573060,4.593092,4.600767,4.491936,4.518589,4.508232,4.544124,4.541756,4.550594
1992,4.693713,4.708904,4.716117,4.794556,4.746391,4.395114,4.341446,4.428913,4.426297,4.453403,4.457415,4.351521,4.382859,4.364040,4.399852,4.402809,4.411126
1993,4.679988,4.701924,4.701007,4.772673,4.727194,4.417621,4.363704,4.449915,4.448503,4.480084,4.481782,4.381897,4.414737,4.389606,4.425715,4.434615,4.443147
1994,4.488962,4.509603,4.509295,4.580158,4.540237,4.264397,4.209978,4.291841,4.290606,4.322374,4.323443,4.230240,4.264605,4.229598,4.265504,4.262426,4.271271
1995,4.367481,4.390197,4.343796,4.411020,4.378130,4.177476,4.122439,4.198393,4.197234,4.226607,4.224534,4.137895,4.173994,4.129704,4.165739,4.168922,4.177694
1996,4.252757,4.276810,4.214490,4.271923,4.248830,4.073468,4.017756,4.093065,4.092048,4.133417,4.129837,4.036299,4.072472,4.019427,4.055254,4.059533,4.068156
1997,4.034822,4.059289,3.997895,4.051831,4.038347,3.905572,3.849596,3.918914,3.917739,3.955440,3.949408,3.860415,3.897317,3.836497,3.871441,3.874593,3.882234
1998,3.791089,3.818519,3.747793,3.798173,3.793617,3.700133,3.641698,3.707839,3.706184,3.752121,3.745032,3.663747,3.703410,3.635332,3.670356,3.668506,3.675739
1999,3.712489,3.731992,3.657379,3.726447,3.723746,3.679198,3.618062,3.682338,3.680277,3.717030,3.709192,3.627765,3.668690,3.593414,3.628373,3.625576,3.632804
2000,3.541366,3.559784,3.497148,3.576195,3.574971,3.563988,3.447524,3.509455,3.507135,3.551554,3.544222,3.469569,3.511937,3.430228,3.464546,3.462431,3.469269
2001,3.398167,3.416381,3.347433,3.441590,3.441730,3.417095,3.303075,3.363658,3.361111,3.409587,3.401791,3.329200,3.371930,3.282777,3.317184,3.315408,3.322018
2002,3.242903,3.260611,3.190146,3.295089,3.295799,3.261172,3.148616,3.205438,3.202052,3.245972,3.238774,3.171982,3.212195,3.114759,3.148736,3.147846,3.154121
2003,3.083893,3.089521,3.054148,3.172247,3.166841,3.123697,3.014477,3.070999,3.066545,3.109305,3.100551,3.038974,3.078143,2.972642,3.005736,3.005783,3.011257
2004,2.849773,2.847356,2.789338,2.971644,2.962430,2.922709,2.814931,2.869337,2.864834,2.905830,2.901152,2.842254,2.879570,2.731031,2.762485,2.762896,2.768667
2005,2.733523,2.724948,2.646939,2.832517,2.822605,2.793328,2.686489,2.739113,2.734265,2.778202,2.774725,2.715553,2.748048,2.591914,2.622910,2.623434,2.628326
2006,2.588777,2.579472,2.503307,2.709172,2.694737,2.634684,2.530288,2.582923,2.578467,2.626601,2.623814,2.564934,2.596550,2.434247,2.465212,2.467231,2.471121
2007,2.491515,2.478381,2.403959,2.582093,2.564290,2.535937,2.442179,2.490986,2.486141,2.538402,2.542769,2.485398,2.515968,2.345355,2.373946,2.377321,2.380377
2008,2.453071,2.440895,2.411559,2.552642,2.531337,2.503548,2.405108,2.453336,2.449389,2.496158,2.506118,2.442121,2.471082,2.296277,2.325080,2.327810,2.329955
2009,,2.323537,2.311810,2.452630,2.434904,2.414581,2.317488,2.364051,2.359198,2.403960,2.407398,2.345266,2.373418,2.195605,2.224860,2.226608,2.227715
2010,,,2.271248,2.399286,2.383438,2.380119,2.284919,2.330382,2.325754,2.374106,2.367248,2.304301,2.325581,2.146433,2.177311,2.178728,2.178380
2011,,,,2.325909,2.318881,2.337261,2.241998,2.285422,2.280712,2.329209,2.322687,2.260504,2.282050,2.091096,2.120171,2.121691,2.121331
2012,,,,,2.319341,2.369390,2.269805,2.311121,2.305363,2.353035,2.352191,2.289487,2.303896,2.103306,2.132981,2.134781,2.133374
2013,,,,,,2.345152,2.244481,2.286860,2.278738,2.335045,2.328775,2.262566,2.278650,2.067804,2.099059,2.101104,2.099558
2014,,,,,,,2.190098,2.240359,2.232230,2.288587,2.279643,2.215806,2.233892,2.013146,2.044747,2.046014,2.045169
2015,,,,,,,,2.224643,2.224088,2.283178,2.270702,2.203768,2.225069,1.996260,2.027081,2.028509,2.024063
2016,,,,,,,,,2.176104,2.236962,2.220277,2.151727,2.174649,1.934927,1.965456,1.966326,1.962324
2017,,,,,,,,,,2.209864,2.189532,2.126738,2.151904,1.904965,1.934712,1.935298,1.931748
2018,,,,,,,,,,,2.105676,2.054380,2.080276,1.824912,1.853369,1.855119,1.851300
2019,,,,,,,,,,,,1.970842,1.997762,1.723623,1.752752,1.754202,1.750220
2020,,,,,,,,,,,,,1.960614,1.680407,1.709636,1.710560,1.706238
2021,,,,,,,,,,,,,,1.631705,1.664223,1.672120,1.666814
2022,,,,,,,,,,,,,,,1.626379,1.632333,1.628005
2023,,,,,,,,,,,,,,,,1.604768,1.604665
2024,,,,,,,,,,,,,,,,,1.575717
