"Year","Germany","World"
1950,5.455385,2.372741
1951,5.966846,2.509281
1952,6.148133,2.496828
1953,6.406685,2.519009
1954,6.655821,2.522133
1955,7.030117,2.710743
1956,7.224188,2.829705
1957,7.295891,2.864250
1958,7.239946,2.886446
1959,7.080437,2.981084
1960,7.244634,3.109071
1961,7.389433,3.068418
1962,7.526183,3.117449
1963,7.684601,3.212604
1964,7.742264,3.313059
1965,7.368756,3.389338
1966,7.103883,3.482441
1967,6.745413,3.521091
1968,6.900299,3.638560
1969,7.119392,3.800910
1970,7.250527,4.031813
1971,7.254398,4.112250
1972,7.073854,4.219880
1973,7.137113,4.358162
1974,7.189168,4.257539
1975,7.133441,4.190445
1976,7.278673,4.342568
1977,7.154955,4.387958
1978,6.911475,4.445411
1979,7.361989,4.491730
1980,7.471259,4.385349
1981,7.934986,4.204303
1982,7.916123,4.095304
1983,7.552088,4.047822
1984,7.629754,4.114002
1985,7.882146,4.177916
1986,7.530767,4.164586
1987,7.319611,4.215461
1988,7.202876,4.303169
1989,6.868492,4.285587
1990,6.501922,4.275440
1991,5.555432,4.288762
1992,5.119996,4.101485
1993,4.622390,4.079975
1994,4.291287,4.061836
1995,4.200161,4.097368
1996,3.982763,4.164388
1997,3.819627,4.131378
1998,3.526004,4.059213
1999,3.471077,4.096031
2000,3.324274,4.148800
2001,3.212697,4.125716
2002,3.222312,4.162733
2003,3.214020,4.327484
2004,3.212928,4.421495
2005,3.112503,4.515645
2006,2.954537,4.611727
2007,2.971866,4.688505
2008,2.731318,4.708763
2009,2.532020,4.572416
2010,2.465828,4.774950
2011,2.486634,4.878259
2012,2.508214,4.887112
2013,2.357029,4.868795
2014,2.292391,4.830362
2015,2.210322,4.767311
2016,2.038894,4.713752
2017,2.008334,4.735624
2018,1.905014,4.780249
2019,1.456305,4.778430
2020,1.199066,4.479880
2021,1.392044,4.676995
2022,1.430222,4.676281
2023,1.112040,4.697341
