"Year","Public electricity and heat production","Manufacturing industries and construction: Other","Commercial/institutional: Stationary combustion","Residential: Stationary combustion","Road transportation","All others"
1990,4.140920,3.016266,2.234997,9.291828,0,3.417371
1991,4.194924,2.941593,2.132305,9.291828,0,3.260650
1992,4.293188,2.980277,2.132305,9.291828,0,3.337556
1993,4.349284,2.694308,2.130627,9.291828,0,3.859571
1994,4.337209,2.568725,2.128949,9.291828,0,4.116022
1995,4.518312,1.258927,2.168750,9.354318,0.106483,4.229864
1996,4.528071,1.298888,2.166652,9.354318,0.144857,4.609220
1997,5.346083,1.395797,2.169484,15.710643,0.258562,4.638549
1998,5.725273,2.260218,2.170428,16.309609,0.288935,4.898731
1999,7.007394,2.074980,2.171687,16.758475,0.380196,4.970287
2000,7.465237,2.234563,2.174624,16.848228,0.869141,5.110091
2001,7.331479,1.777858,2.180708,19.227345,1.185192,5.441909
2002,7.646227,1.581151,2.184169,18.733551,1.448568,6.217534
2003,12.557670,3.407073,2.750216,19.452227,2.120318,4.562070
2004,14.106235,4.518175,3.746334,18.997308,2.834944,6.383729
2005,16.998500,5.155827,3.843865,18.687388,5.589131,6.917230
2006,21.161507,4.887299,4.421605,22.165382,10.202055,6.882787
2007,24.590513,5.875294,4.664762,23.267553,11.033241,9.641116
2008,28.571575,7.115063,6.367797,26.945384,8.940834,9.326291
2009,31.768157,7.911361,6.676528,23.731942,8.071969,9.353227
2010,34.143650,9.088513,8.411702,28.953155,8.537123,10.059936
2011,36.350021,10.555964,6.481444,26.322267,8.227037,10.618467
2012,42.010221,10.863737,7.093848,30.471205,8.505441,11.155961
2013,43.324643,10.301153,7.556994,31.673313,7.728766,10.823124
2014,45.538498,10.509012,6.354735,25.760006,8.015865,11.087818
2015,46.635672,10.551765,7.242771,25.823507,7.487363,11.550901
2016,46.649534,11.000831,7.135897,24.805651,7.510905,11.434483
2017,45.577159,10.082501,7.447651,25.579577,7.656845,11.448637
2018,46.228669,9.832621,7.445218,26.134801,7.969855,10.686425
2019,45.838752,9.665320,7.927469,26.547918,7.888627,10.985583
2020,45.893451,9.779749,7.894486,25.188436,9.528197,11.419578
2021,45.930919,10.549984,8.841064,28.957068,8.523643,11.304927
2022,44.736450,10.397040,8.157974,32.227419,8.635133,10.846924
2023,42.863222,11.244084,8.701818,25.102445,9.008065,10.866800
2024,42.797117,11.452471,9.117196,25.117843,8.175247,10.394297
