"Year","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026"
1990,1014.438564,1015.572421,1015.031495,1032.776199,1032.347652,1032.172261,1035.580305,1041.342194,1041.688250,1042.160610,1041.913764,1042.065702,1050.885008,1050.959008,1052.246806,1052.997501,1052.520133,1052.348544,1052.476835,1051.979103,1054.740644,1054.795855,1054.795857,1054.795857
1991,975.768936,977.468111,976.937466,995.735382,994.628975,994.270047,997.577791,1004.445413,1004.309165,1004.807314,1004.595250,1004.735326,1012.909319,1013.076861,1014.121954,1014.972286,1014.440037,1014.199715,1014.224521,1013.824095,1016.870291,1016.929496,1016.929515,1016.929572
1992,928.080888,929.898018,929.451239,948.393099,947.040313,946.633392,949.611506,956.376353,957.117435,957.623283,957.436547,957.561775,964.647654,964.945177,965.793227,966.705829,966.176766,965.889813,965.893262,965.541817,969.474183,969.464377,969.464408,969.464527
1993,917.989032,920.186798,920.045983,938.412599,937.176466,936.824345,939.575254,946.210599,948.236793,948.769599,948.542972,948.683970,955.113333,955.392268,955.980156,956.994180,956.517469,956.233108,956.132116,955.819934,959.367198,959.385941,959.385878,959.385311
1994,903.791956,906.063340,905.625830,924.375506,922.803615,922.654928,924.611034,931.451342,932.048565,932.615389,932.360411,932.485182,938.938981,939.099189,939.209708,940.407989,939.908353,939.630279,939.814629,939.492314,943.184837,943.227664,943.227655,943.226821
1995,898.758023,901.478321,902.212827,920.120464,921.190329,920.788522,922.660229,933.161765,930.419802,931.040469,930.781093,930.857027,938.024147,938.047134,938.150071,940.086746,939.542834,939.176704,938.968408,938.613565,939.897145,939.933618,939.933620,939.932599
1996,920.870516,923.792381,924.908062,943.571869,943.286492,943.315510,944.886876,954.833892,951.352660,951.995674,951.757238,951.863480,958.363150,958.267022,958.370643,960.174300,959.606347,959.124130,959.151308,958.700377,959.653348,959.690134,959.690123,959.689122
1997,889.597122,892.418127,893.529014,914.662602,913.005630,912.899273,914.327975,923.901537,922.535949,923.194172,922.957391,923.080153,930.801882,930.667355,930.770376,932.347359,931.750337,931.230070,931.324201,930.870087,931.486946,931.508107,931.508100,931.507135
1998,881.384077,884.500742,885.200753,906.633412,904.950966,905.811851,907.118034,916.281601,914.621018,915.284828,915.050130,915.176529,922.815447,922.675815,922.780330,924.404530,923.823698,923.275909,923.356691,922.812222,923.466993,923.498635,923.498643,923.497669
1999,854.741284,857.277662,857.418739,881.643612,879.186375,879.579929,880.349131,889.756710,887.506792,888.024043,887.780924,887.890660,895.425262,895.244648,895.338500,896.882683,896.312592,895.642931,895.874334,895.352121,895.402128,895.442076,895.442082,895.441170
2000,857.968479,860.272659,860.091448,886.258251,883.054534,883.392205,883.683385,896.237576,890.994448,891.624319,891.400289,891.515536,899.385870,899.204267,899.286373,900.960091,900.376260,899.780198,899.852056,899.351824,898.938036,898.975771,898.975771,898.974466
2001,870.761821,874.261175,873.862088,899.301009,901.208956,901.418393,901.309029,910.343740,907.051136,907.652161,907.443194,907.541968,915.681647,915.554488,915.635782,917.476828,916.912522,916.366135,916.648522,916.144477,915.242152,915.254756,915.254754,915.253644
2002,,,863.876840,886.480303,886.262710,886.547102,886.404173,894.535458,890.934382,890.959922,890.750901,890.875927,899.265212,899.072744,899.162847,900.955099,900.387296,899.821053,899.971399,899.449765,898.834509,898.834271,898.834274,898.833180
2003,,,865.367279,892.545168,901.068166,900.813234,889.009706,894.788844,889.847863,893.160607,892.931795,893.599931,900.522205,900.302904,900.378826,901.969865,901.409324,900.866405,901.151903,900.627666,899.858375,894.501064,894.501071,899.538096
