"Year","Living biomass (gains)","Living biomass (losses)","Dead wood (net)","Litter (net)","Mineral Soils (net)","Organic Soils (net)"
1990,-14.447267,1.719947,-2.537169,,-14.388184,2.751706
1991,-69.854020,1.540898,-1.117282,,-14.433278,2.764858
1992,-74.274129,1.602792,-1.006296,,-14.474829,2.773495
1993,-74.379724,1.660921,-1.006071,,-14.511724,2.766728
1994,-66.307067,1.716544,-1.215793,,-14.555498,2.780977
1995,-57.833306,1.778096,-1.435808,,-14.599379,2.787936
1996,-61.682065,1.601243,-1.339491,,-14.626680,2.803435
1997,-60.888060,1.623432,-1.362352,,-14.680169,2.814888
1998,-57.517020,1.683631,-1.451368,,-14.712015,2.806838
1999,-59.573679,1.717339,-1.401042,,-14.747646,2.826315
2000,-41.167566,1.776542,-1.876028,,-14.779448,2.834069
2001,-57.492536,1.581041,-1.459415,,-14.820172,2.832629
2002,-55.995782,1.650048,-1.500313,,-14.860573,2.836760
2003,-21.554986,1.687851,-3.222510,,-14.890225,2.875833
2004,-20.651201,1.753029,-3.420070,,-14.935620,2.867729
2005,-19.922538,1.804646,-3.580623,,-14.958994,2.877233
2006,-18.454272,1.616429,-3.897432,,-14.996946,2.893367
2007,-14.745616,1.679192,-4.687607,,-15.032529,2.885994
2008,-46.800994,1.719660,7.422893,,-15.066112,2.911409
2009,-50.402479,1.768987,8.022014,,-9.650673,2.917341
2010,-44.920592,1.819057,7.107691,,-7.061507,2.917079
2011,-43.107743,0.814212,6.814360,,-12.058771,2.927128
2012,-46.448485,0.845052,7.379702,,-11.742142,2.931993
2013,-41.281068,0.882933,-3.083638,,-11.839131,2.932782
2014,-40.442982,0.897174,-3.163022,,-3.008879,2.940941
2015,-38.914714,0.918525,-3.311115,,-6.924070,2.947032
2016,-40.773885,1.671367,-3.129631,,-7.086393,2.955628
2017,-40.638933,1.732583,-3.146788,,-3.253251,2.951216
2018,-2.415846,33.243839,-8.059368,,-18.850682,2.988325
2019,-2.422876,32.243746,-7.802700,,-39.295385,2.990230
2020,-2.429804,36.385393,-8.798164,,-30.553904,3.002553
2021,-2.433114,32.910932,-8.001074,,-30.189873,2.993298
2022,-2.436236,31.567266,-7.659892,,-22.273042,3.008204
2023,-2.439324,22.508967,-6.153035,,-9.793737,2.989674
2024,-2.442435,4.214185,-5.291700,,2.173409,2.993423
