"YYYYMM","Natural gas","Flaring"
201001,4.534067,2.307335
201002,4.549143,0.609551
201003,5.011200,0.888302
201004,4.635811,1.663022
201005,4.283094,4.345229
201006,4.503870,1.509160
201007,4.519742,0.440429
201008,3.526960,3.119781
201009,0.976333,3.663215
201010,2.405563,5.946188
201011,2.176502,1.682780
201012,4.270093,1.527809
201101,4.270199,1.746250
201102,3.876910,2.563592
201103,4.232676,0.544642
201104,2.838849,1.088611
201105,1.362121,5.847778
201106,3.423696,2.058835
201107,3.869969,0.916400
201108,2.951826,4.437273
201109,3.569982,5.510525
201110,4.269533,1.219656
201111,4.663640,1.809633
201112,4.771856,2.602126
201201,5.303860,0.654290
201202,4.842123,0.261335
201203,5.018778,0.293093
201204,4.471908,0.992628
201205,4.474019,2.480629
201206,4.146281,0.482674
201207,4.417400,1.344905
201208,2.386113,0.781409
201209,1.224546,4.627142
201210,4.029131,5.578330
201211,4.464515,0.587148
201212,4.462447,0.920392
201301,4.838060,0.744127
201302,3.571819,2.276755
201303,4.586028,0.572778
201304,4.587512,0.677510
201305,4.527613,0.957428
201306,4.270509,1.603851
201307,4.182772,1.997487
201308,1.621687,5.010107
201309,3.352662,1.880650
201310,4.535130,0.875609
201311,4.371937,3.283343
201312,4.510817,1.253116
201401,4.754791,0.194496
201402,4.163552,1.093619
201403,4.952197,0.638644
201404,4.268539,0.273919
201405,4.299513,0.296922
201406,3.190431,9.784033
201407,3.668370,2.569034
201408,3.542589,1.957824
201409,2.647136,2.170530
201410,4.520333,0.759309
201411,4.367404,0.348922
201412,4.856979,1.330288
201501,4.279215,3.949168
201502,4.018326,1.444498
201503,4.839505,0.290891
201504,2.235268,4.042022
201505,4.551963,1.443717
201506,4.681735,0.894299
201507,4.529474,0.411771
201508,4.556589,1.403567
201509,3.867933,1.925423
201510,3.706123,1.743629
201511,3.546273,0.998855
201512,4.249418,1.364258
201601,5.071799,0.238953
201602,4.733210,0.448200
201603,4.951078,0.447701
201604,4.485234,1.498364
201605,3.858736,3.860891
201606,2.775863,2.067880
201607,4.024225,5.246793
201608,3.638122,2.042784
201609,2.037369,1.278804
201610,4.254430,0.959219
201611,4.773443,0.435293
201612,4.677050,1.143423
201701,4.679143,0.548678
201702,4.397194,0.482154
201703,4.864997,0.799640
201704,4.638920,0.339165
201705,4.406899,0.526006
201706,2.902596,3.258843
201707,4.729272,1.003624
201708,4.374636,1.650691
201709,4.183903,2.561308
201710,4.662454,2.075033
201711,4.589461,0.555758
201712,4.903263,1.548366
201801,4.974999,0.634458
201802,4.289123,0.907360
201803,5.047474,0.603588
201804,3.778120,1.212945
201805,4.337295,4.257368
201806,4.681845,1.847994
201807,4.930618,0.472523
201808,4.496558,1.419348
201809,4.066287,1.367723
201810,4.900080,0.694597
201811,4.446410,1.612000
201812,4.334615,1.900306
201901,4.892431,1.200748
201902,4.100079,0.898479
201903,4.896639,0.652259
201904,3.636207,0.880031
201905,3.765992,1.681413
201906,4.164439,1.150054
201907,4.483189,3.085088
201908,2.936942,4.485651
201909,3.129290,4.469358
201910,4.088681,1.914265
201911,4.681754,0.932070
201912,5.072489,0.445643
202001,5.083386,0.520392
202002,4.606694,1.520196
202003,4.943117,0.542187
202004,4.114822,0.389121
202005,3.854867,3.192225
202006,4.335780,2.009556
202007,4.941426,0.455097
202008,4.684210,1.755532
202009,4.152424,0.979431
202010,2.621792,2.082662
202011,4.012553,0.726705
202012,4.656120,0.455452
202101,4.571898,0.561298
202102,4.071562,2.397751
202103,4.582744,0.673140
202104,4.130259,1.466195
202105,4.415325,0.670624
202106,3.515229,0.857421
202107,3.917505,0.788695
202108,4.184713,0.668866
202109,3.246598,1.773924
202110,4.830463,0.803617
202111,4.427205,0.438697
202112,4.674521,0.476065
202201,4.321023,0.770525
202202,4.044824,0.531986
202203,4.237322,0.508909
202204,4.017191,1.910347
202205,4.217952,0.782553
202206,3.762948,1.172358
202207,4.509950,0.504556
202208,3.769401,0.981052
202209,2.711203,0.852746
202210,4.231000,0.934707
202211,5.044115,1.540093
202212,4.732577,0.625732
202301,4.542838,0.473850
202302,4.146989,0.882747
202303,4.640705,0.435803
202304,4.072576,1.329556
202305,4.180268,1.682973
202306,3.616984,1.467428
202307,4.297097,1.606016
202308,3.486505,3.523149
202309,1.086203,2.878453
202310,4.089955,1.035698
202311,4.712393,0.311064
202312,4.799177,0.518077
202401,4.731501,0.365305
202402,4.052674,0.413106
202403,4.221723,0.476196
202404,4.116492,0.591504
202405,3.871411,3.280101
202406,4.782241,1.028649
202407,4.926485,0.485003
202408,2.755097,0.736407
202409,3.762894,2.018996
202410,4.866344,0.417836
202411,4.550185,0.366761
202412,4.618848,0.516322
202501,4.467231,0.431642
202502,4.084843,0.367460
