"YYYYMM","Natural gas","Flaring"
201001,80.821167,41.128962
201002,81.089891,10.865445
201003,89.326206,15.834257
201004,82.634775,29.643888
201005,76.347480,77.455060
201006,80.282892,26.901250
201007,80.565802,7.850785
201008,62.869164,55.611070
201009,17.403441,65.297959
201010,42.879914,105.992662
201011,38.796826,29.996076
201012,76.115742,27.233665
201101,76.117638,31.127452
201102,69.107135,45.696823
201103,75.448762,9.708406
201104,50.603363,19.404838
201105,24.280231,104.238472
201106,61.028441,36.699378
201107,68.983398,16.335111
201108,52.617228,79.095771
201109,63.636051,98.226834
201110,76.105765,21.740749
201111,83.130839,32.257271
201112,85.059818,46.383710
201201,94.542965,11.662921
201202,86.312359,4.658380
201203,89.461278,5.224478
201204,79.713147,17.693897
201205,79.750785,44.217982
201206,73.908748,8.603809
201207,78.741530,23.973349
201208,42.533205,13.928862
201209,21.827910,82.480251
201210,71.820516,99.435473
201211,79.581381,10.466098
201212,79.544513,16.406271
201301,86.239929,13.264295
201302,63.668779,40.583876
201303,81.747379,10.209950
201304,81.773825,12.076830
201305,80.706106,17.066457
201306,76.123157,28.589139
201307,74.559221,35.605834
201308,28.907071,89.306719
201309,59.762246,33.523172
201310,80.840100,15.607995
201311,77.931143,58.526615
201312,80.406728,22.337185
201401,84.755626,3.466953
201402,74.216609,19.494099
201403,88.274454,11.384036
201404,76.088031,4.882700
201405,76.640160,5.292727
201406,56.870436,174.403438
201407,65.389836,45.793831
201408,63.147746,34.898827
201409,47.186031,38.690372
201410,80.576346,13.534916
201411,77.850347,6.219649
201412,86.577160,23.712790
201501,76.278350,70.395154
201502,71.627907,25.748632
201503,86.265681,5.185215
201504,39.844353,72.050307
201505,81.140155,25.734699
201506,83.453386,15.941162
201507,80.739291,7.339946
201508,81.222616,25.019011
201509,68.947104,34.321257
201510,66.062798,31.080729
201511,63.213421,17.804904
201512,75.747194,24.318322
201601,90.406400,4.259415
201602,84.370951,7.989301
201603,88.254517,7.980417
201604,79.950701,26.708804
201605,68.783175,68.821581
201606,49.480619,36.860603
201607,71.733074,93.525715
201608,64.850652,36.413261
201609,36.316746,22.795074
201610,75.836543,17.098372
201611,85.088115,7.759241
201612,83.369866,20.381868
201701,83.407176,9.780355
201702,78.381349,8.594554
201703,86.720082,14.253826
201704,82.690195,6.045724
201705,78.554344,9.376215
201706,51.739671,58.089890
201707,84.300758,17.889914
201708,77.979258,29.424075
201709,74.579380,45.656109
201710,83.109690,36.988107
201711,81.808575,9.906554
201712,87.402188,27.600115
201801,88.680904,11.309419
201802,76.454955,16.173980
201803,89.972795,10.759141
201804,67.346164,21.621130
201805,77.313630,75.888904
201806,83.455349,32.941072
201807,87.889810,8.422865
201808,80.152546,25.300318
201809,72.482838,24.380087
201810,87.345450,12.381401
201811,79.258641,28.734409
201812,77.265869,33.873552
201901,87.209106,21.403699
201902,73.085193,16.015674
201903,87.284116,11.626721
201904,64.816527,15.686826
201905,67.129981,29.971713
201906,74.232426,20.500073
201907,79.914243,54.992662
201908,52.351903,79.958129
201909,55.780569,79.667701
201910,72.882019,34.122368
201911,83.453728,16.614444
201912,90.418694,7.943729
202001,90.612947,9.276158
202002,82.115765,27.097966
202003,88.112601,9.664646
202004,73.347990,6.936210
202005,68.714201,56.902407
202006,77.286640,35.820966
202007,88.082464,8.112252
202008,83.497500,31.292913
202009,74.018259,17.458665
202010,46.734268,37.124102
202011,71.525003,12.953745
202012,82.996786,8.118575
202101,81.495503,10.005306
202102,72.576857,42.740660
202103,81.688846,11.998928
202104,73.623162,26.135383
202105,78.704550,11.954082
202106,62.660048,15.283789
202107,69.830748,14.058740
202108,74.593823,11.922748
202109,57.871618,31.620745
202110,86.104515,14.324716
202111,78.916317,7.819903
202112,83.324801,8.486011
202201,77.023585,13.734855
202202,72.100248,9.482824
202203,75.531592,9.071463
202204,71.607675,34.052536
202205,75.186315,13.949249
202206,67.075716,20.897653
202207,80.391268,8.993860
202208,67.190757,17.487553
202209,48.328041,15.200455
202210,75.418898,16.661438
202211,89.912922,27.452636
202212,84.359658,11.153871
202301,80.977508,8.446531
202302,73.921377,15.735233
202303,82.722010,7.768332
202304,72.594935,23.699744
202305,74.514585,29.999514
202306,64.473864,26.157368
202307,76.597097,28.627736
202308,62.148041,62.801230
202309,19.361914,51.309325
202310,72.904718,18.461637
202311,83.999881,5.544817
202312,85.546819,9.234876
202401,84.340474,6.511675
202402,72.240176,7.363750
202403,75.253527,8.488336
202404,73.377755,10.543749
202405,69.009107,58.468830
202406,85.244941,18.335981
202407,87.816136,8.645332
202408,49.110469,13.126679
202409,67.074764,35.989239
202410,86.744098,7.448058
202411,81.108460,6.537625
202412,82.332407,9.203604
202501,79.629794,7.694152
202502,72.813597,6.550088
202503,80.055636,5.986200
202504,71.253670,17.000477
202505,60.914466,25.834062
