"Year","Coal","Natural gas","Hydro","Nuclear","Wind","Solar","Oil"
2020,0.030000,0,0.150000,"NaN","NaN","NaN","NaN"
2021,0.090000,0.020000,-0.160000,"NaN","NaN","NaN","NaN"
2022,-0.060000,-0.010000,0.140000,"NaN","NaN","NaN","NaN"
2023,0.020000,0,-0.510000,"NaN","NaN","NaN","NaN"
