"Year","Forest land","Cropland","Grassland","Wetlands","Settlements","Other land","HWP","Other"
1994,0,0,0,0,0,0,-0.016397,0
1997,0,0,0,0,0,0,0,0
2000,0,0,0,0,0,0,0,0
2003,-7.542193,2.031193,1.654283,0,0.207060,0,-0.010953,0
2006,-9.222454,1.583098,1.598493,0,0.539594,0,-0.000260,0
2009,-10.880259,2.134451,1.707597,0,0.225889,0,0.006176,0
2012,-9.959760,3.920572,2.372216,0,0.184510,0,0.001625,0
2015,-10.553028,3.038624,3.104988,0,0.395809,0,-0.023538,0
2017,-8.453194,2.328478,2.721264,0,0.180576,0,-0.065687,0
2018,-11.225093,1.459286,1.550426,0,0.346155,0,,0
2019,-7.771983,2.970645,2.348873,0,0.546091,0,-0.062789,0
2020,-4.606272,1.286523,1.652244,0,0.212590,0,-0.066390,0
2021,-10.125702,1.243473,1.053608,0,0.718370,0,-0.051566,0
2022,-9.638846,2.120419,2.029042,0,0.508761,0,-0.042854,0
