"Year","Cuba","World"
1950,0.007207,2.378734
1951,0.006124,2.515504
1952,0.006929,2.502896
1953,0.009509,2.524970
1954,0.006214,2.527923
1955,0.022186,2.716614
1956,0.030271,2.835461
1957,0.023818,2.869636
1958,0.018838,2.891376
1959,0.010434,2.985590
1960,0.005505,3.112931
1961,0.003853,3.071906
1962,0.004529,3.120741
1963,0.011457,3.215595
1964,0.013389,3.315825
1965,0.020202,3.391959
1966,0.023970,3.484865
1967,0.039530,3.523155
1968,0.066229,3.640223
1969,0.067656,3.802135
1970,0.051286,4.032588
1971,0.038403,4.112597
1972,0.036388,4.219747
1973,0.045460,4.355556
1974,0.055028,4.253289
1975,0.071308,4.173319
1976,0.073822,4.310191
1977,0.078921,4.352449
1978,0.086591,4.432504
1979,0.087519,4.465701
1980,0.082868,4.364099
1981,0.077315,4.168842
1982,0.157305,4.060496
1983,0.212899,4.023942
1984,0.218183,4.068703
1985,0.244480,4.137420
1986,0.261631,4.122175
1987,0.250714,4.179654
1988,0.199453,4.262697
1989,0.199856,4.241189
1990,0.200903,4.266701
1991,0.205317,4.282473
1992,0.250765,4.090168
1993,0.260083,4.068620
1994,0.332472,4.047994
1995,0.386237,4.083544
1996,0.386596,4.148108
1997,0.384908,4.114970
1998,0.453995,4.044522
1999,0.629314,4.079117
2000,0.790261,4.133621
2001,0.840202,4.107635
2002,1.024925,4.144280
2003,1.047778,4.307030
2004,0.944799,4.399256
2005,0.869123,4.493561
2006,0.917603,4.585831
2007,0.940909,4.661509
2008,0.955487,4.682571
2009,0.885665,4.545518
2010,0.945513,4.744937
2011,0.932839,4.848876
2012,0.931998,4.854014
2013,0.912036,4.837742
2014,0.938013,4.804597
2015,0.925513,4.739116
2016,0.864921,4.682487
2017,0.818637,4.705259
2018,0.791134,4.752195
2019,0.766453,4.747814
2020,0.745479,4.457744
2021,0.772621,4.634748
2022,0,4.678452
2023,0,4.707772
2024,0,4.729075
