"Year","Living biomass (gains)","Living biomass (losses)","Dead wood (net)","Litter (net)","Mineral Soils (net)","Organic Soils (net)"
1990,-14.063644,1.496314,,,,
1991,-14.777682,1.407946,,,,
1992,-15.491182,1.319578,,,,
1993,-17.105416,1.326397,,,,
1994,-18.719005,1.333217,,,,
1995,-18.388836,1.482934,,,,
1996,-18.057978,1.632651,,,,
1997,-18.443120,1.540968,,,,
1998,-18.822319,1.449257,,,,
1999,-16.629632,1.955153,,,,
2000,-19.220253,1.783617,,,,
2001,-19.684022,1.664731,,,,
2002,-19.911966,1.685171,,,,
2003,-20.653482,1.868272,,,,
2004,-21.026370,1.754072,,,,
2005,-21.370900,1.542218,,,,
2006,-22.128351,2.004872,,,,
2007,-22.724370,1.415139,,,,
2008,-22.937846,1.605423,,,,
2009,-23.950463,1.533236,,,,
2010,-24.602436,1.272922,,,,
2011,-24.295167,1.268001,,,,
2012,-24.591573,0.918872,,,,
2013,-26.287534,1.132795,,,,
2014,-27.063065,1.032895,,,,
2015,-27.211967,0.927496,,,,
2016,-27.568173,0.873946,,,,
2017,-28.384850,0.980266,,,,
2018,-29.201529,1.086498,,,,
2019,-28.030959,0.754590,,,,
2020,-28.931055,0.710403,,,,
2021,-29.242103,0.564182,,,,
2022,-28.269119,0.523248,,,,
