"Year","Living biomass (net)","Dead wood (net)","Litter (net)","Mineral Soils (net)","Organic Soils (net)"
1990,-12.567331,,,,
1991,-13.369737,,,,
1992,-14.171605,,,,
1993,-15.779019,,,,
1994,-17.385788,,,,
1995,-16.905902,,,,
1996,-16.425327,,,,
1997,-16.902152,,,,
1998,-17.373062,,,,
1999,-14.674479,,,,
2000,-17.436636,,,,
2001,-18.019291,,,,
2002,-18.226795,,,,
2003,-18.785209,,,,
2004,-19.272298,,,,
2005,-19.828682,,,,
2006,-20.123479,,,,
2007,-21.309231,,,,
2008,-21.332423,,,,
2009,-22.417228,,,,
2010,-23.329515,,,,
2011,-23.027166,,,,
2012,-23.672701,,,,
2013,-25.154738,,,,
2014,-26.030171,,,,
2015,-26.284471,,,,
2016,-26.694227,,,,
2017,-27.404585,,,,
2018,-28.115030,,,,
2019,-27.276369,,,,
2020,-28.220652,,,,
2021,-28.677920,,,,
2022,-27.745871,,,,
