"Year","Forest land","Cropland","Grassland","Wetlands","Settlements","Other land","HWP","Other"
1990,-12.576477,0,0,0,0,0,0,0
1991,-13.379467,0,0,0,0,0,0,0
1992,-14.181919,0,0,0,0,0,0,0
1993,-15.790503,0,0,0,0,0,0,0
1994,-17.398441,0,0,0,0,0,0,0
1995,-16.918206,0,0,0,0,0,0,0
1996,-16.437281,0,0,0,0,0,0,0
1997,-16.914453,0,0,0,0,0,0,0
1998,-17.385707,0,0,0,0,0,0,0
1999,-14.685159,0,0,0,0,0,0,0
2000,-17.449326,0,0,0,0,0,0,0
2001,-18.032406,0,0,0,0,0,0,0
2002,-18.240060,0,0,0,0,0,0,0
2003,-18.798881,0,0,0,0,0,0,0
2004,-19.286325,0,0,0,0,0,0,0
2005,-19.843113,0,0,0,0,0,0,0
2006,-20.138125,0,0,0,0,0,0,0
2007,-21.324739,0,0,0,0,0,0,0
2008,-21.347949,0,0,0,0,0,0,0
2009,-22.433543,0,0,0,0,0,0,0
2010,-23.346494,0,0,0,0,0,0,0
2011,-23.043925,0,0,0,0,0,0,0
2012,-23.689930,0,0,0,0,0,0,0
2013,-25.173046,0,0,0,0,0,0,0
2014,-26.049115,0,0,0,0,0,0,0
2015,-26.303601,0,0,0,0,0,0,0
2016,-26.713655,0,0,0,0,0,0,0
2017,-27.424530,0,0,0,0,0,0,0
2018,-28.135493,0,0,0,0,0,0,0
2019,-27.296221,0,0,0,0,0,0,0
2020,-28.241191,0,0,0,0,0,0,0
2021,-28.698792,0,0,0,0,0,0,0
2022,-27.766064,0,0,0,0,0,0,0
