"Year","Cars","Light-duty trucks","Heavy-duty trucks/buses"
1990,5.277539,,
1991,4.381372,,
1992,2.842710,,
1993,2.305024,,
1994,2.548020,,
1995,2.626271,,
1996,2.951493,,
1997,3.175044,,
1998,2.989331,,
1999,2.924636,,
2000,2.899229,,
2001,2.756552,,
2002,2.619060,,
2003,2.462888,,
2004,2.484717,,
2005,2.457404,,
2006,2.360764,,
2007,2.249361,,
2008,2.210687,,
2009,2.060800,,
2010,1.976349,,
2011,1.143004,,
2012,1.254531,,
2013,1.367369,,
2014,1.281397,,
2015,1.365144,,
2016,1.320217,,
2017,1.909207,,
2018,1.880267,,
2019,2.037056,,
2020,1.452023,,
2021,1.284677,,
2022,1.195715,,
