"Year","Total","Energy industries","Manufacturing","Transport","Other sectors","Other","Fugitive: Solid fuels","Fugitive: Oil & Gas"
1990,35.674669,16.391861,8.268609,7.267566,3.746632,,,
1991,31.502705,14.305780,7.845210,6.045928,3.305787,,,
1992,27.455992,13.322094,6.832646,4.146039,3.155212,,,
1993,26.331671,13.557582,6.287609,3.579040,2.907441,,,
1994,27.240963,14.977565,5.821973,3.797378,2.644047,,,
1995,27.603414,14.719344,6.331744,4.041794,2.510533,,,
1996,29.779809,15.853531,6.916747,4.514015,2.495516,,,
1997,29.995283,15.340661,7.528798,4.909526,2.216298,,,
1998,29.918219,16.770451,6.258276,4.736593,2.152899,,,
1999,30.067125,15.915128,7.375475,4.553474,2.223049,,,
2000,30.562776,16.986986,6.805720,4.310056,2.460014,,,
2001,29.703937,16.825429,6.418893,4.048341,2.411274,,,
2002,29.462439,17.357680,6.267385,3.726899,2.110476,,,
2003,29.178248,17.514475,5.826999,3.402277,2.434497,,,
2004,29.544957,17.114233,6.107973,3.596947,2.725804,,,
2005,29.920781,17.184960,6.582051,3.475547,2.678223,,,
2006,30.192459,18.247367,6.494472,3.387316,2.063304,,,
2007,36.059962,24.652925,5.888196,3.239341,2.279501,,,
2008,35.131934,24.763435,5.012204,3.190733,2.165562,,,
2009,31.908677,22.235822,4.592577,2.920230,2.160048,,,
2010,33.887603,22.758981,5.916697,2.849529,2.362396,,,
2011,31.291916,22.216075,4.887805,2.014922,2.173114,,,
2012,32.379856,23.109496,4.982417,2.081537,2.206406,,,
2013,35.433406,25.482719,5.733049,2.192125,2.025513,,,
2014,34.102136,24.904764,5.215888,2.080380,1.901104,,,
2015,35.219416,26.145389,4.940725,2.121496,2.011806,,,
2016,33.619440,23.921610,5.669295,2.188138,1.840397,,,
2017,32.695623,22.654127,5.470313,2.814358,1.756825,,,
2018,32.074127,22.483958,5.345186,2.496075,1.748909,,,
2019,31.130309,22.558976,4.398129,2.587918,1.585287,,,
2020,28.295839,20.531520,4.423422,1.855810,1.485086,,,
2021,28.057326,21.609184,3.131744,1.832129,1.484270,,,
2022,29.233755,19.176477,6.004269,2.241806,1.811202,,,
