"Year","Cuba","World"
1950,0.952161,2.378734
1951,1.070650,2.515504
1952,1.019456,2.502896
1953,0.984851,2.524970
1954,0.927613,2.527923
1955,1.035694,2.716614
1956,0.875019,2.835461
1957,2.035552,2.869636
1958,2.589056,2.891376
1959,2.208687,2.985590
1960,1.890984,3.112931
1961,1.647233,3.071906
1962,1.876987,3.120741
1963,1.691313,3.215595
1964,1.815277,3.315825
1965,1.817271,3.391959
1966,1.851404,3.484865
1967,1.884064,3.523155
1968,1.882541,3.640223
1969,1.989617,3.802135
1970,2.113926,4.032588
1971,2.181587,4.112597
1972,2.277249,4.219747
1973,2.417563,4.355556
1974,2.441606,4.253289
1975,2.852348,4.173319
1976,2.841540,4.310191
1977,3.044451,4.352449
1978,3.157050,4.432504
1979,3.245252,4.465701
1980,3.199865,4.364099
1981,3.322410,4.168842
1982,3.483149,4.060496
1983,3.084830,4.023942
1984,3.234362,4.068703
1985,3.205192,4.137420
1986,3.274692,4.122175
1987,3.283226,4.179654
1988,3.413962,4.262697
1989,3.391079,4.241189
1990,2.787652,4.266701
1991,2.515594,4.282473
1992,1.924242,4.090168
1993,1.825445,4.068620
1994,1.968246,4.047994
1995,2.093139,4.083544
1996,2.125864,4.148108
1997,2.257127,4.114970
1998,2.202913,4.044522
1999,2.211768,4.079117
2000,2.277336,4.133621
2001,2.214703,4.107635
2002,2.252688,4.144280
2003,2.279729,4.307030
2004,2.183499,4.399256
2005,2.282447,4.493561
2006,2.374545,4.585831
2007,2.279047,4.661509
2008,2.456499,4.682571
2009,2.502121,4.545518
2010,2.924741,4.744937
2011,2.572718,4.848876
2012,2.607747,4.854014
2013,2.468895,4.837742
2014,2.424861,4.804597
2015,2.580139,4.739116
2016,2.465223,4.682487
2017,2.183459,4.705259
2018,2.050345,4.752195
2019,2.007250,4.747814
2020,1.904095,4.457744
2021,2.027380,4.634748
2022,2.102976,4.678452
2023,2.129802,4.707772
2024,2.225931,4.729075
