"Year","Other energy industries","Commercial/institutional: Stationary combustion","Residential: Stationary combustion","All others"
1990,1.381317,0.211853,6.510539,0.072255
1991,1.436556,0.223705,6.599478,0.078684
1992,1.494410,0.232722,6.779605,0.083692
1993,1.555015,0.237302,6.959263,0.066634
1994,1.618515,0.255654,7.143978,0.070653
1995,1.685061,0.268113,7.327175,0.080857
1996,1.754815,0.280999,7.529166,0.057628
1997,1.842708,0.296468,7.738201,0.082725
1998,1.919109,0.310800,7.944169,0.062698
1999,1.999242,0.981390,7.716101,0.070852
2000,2.083306,0.997215,8.028092,0.068549
2001,2.171512,1.025032,8.262902,0.087434
2002,2.264081,1.046321,8.560980,0.084463
2003,2.361250,0.943906,8.262978,0.074799
2004,2.463264,1.099653,8.325690,0.077219
2005,2.570387,0.795066,10.960244,0.065267
2006,2.688363,0.636501,13.548547,0.051239
2007,2.802597,0.644779,13.716113,0.043782
2008,2.901013,0.642307,13.940136,0.044669
2009,3.003103,0.662810,14.223753,0.046003
2010,3.109007,0.697417,12.791311,0.039788
2011,3.218873,0.538102,13.549448,0.042676
2012,3.332854,0.730562,13.912394,0.045774
2013,3.451111,0.740924,14.513661,0.049103
2014,3.573808,0.758613,15.134854,0.052676
2015,3.701119,0.783533,15.801399,0.056504
2016,3.833222,0.808121,16.480506,1.065001
2017,3.970305,0.829959,17.183981,1.154149
2018,4.112561,0.914049,18.051649,0.224557
2019,4.285219,3.379022,14.519799,0.297274
2020,4.438034,3.482811,14.892948,0.205903
2021,4.596611,3.589949,16.098447,0.396172
2022,4.761176,8.484296,13.932968,1.015252
