"Year","Cars","Light-duty trucks","Heavy-duty trucks/buses"
1990,0.125705,0.075681,0.074330
1991,0.129937,0.077779,0.091674
1992,0.133027,0.069899,0.091608
1993,0.128421,0.064806,0.090375
1994,0.126678,0.058795,0.089847
1995,0.144459,0.061825,0.106293
1996,0.165571,0.063901,0.129806
1997,0.185863,0.069366,0.134221
1998,0.194851,0.072707,0.160202
1999,0.151621,0.059387,0.172944
2000,0.154669,0.065296,0.206604
2001,0.145817,0.068459,0.228914
2002,0.148086,0.072130,0.237288
2003,0.141604,0.062790,0.207587
2004,0.138868,0.066161,0.232310
2005,0.127884,0.064806,0.238399
2006,0.131559,0.065123,0.238512
2007,0.133808,0.070467,0.263046
2008,0.132018,0.074403,0.279518
2009,0.156224,0.092453,0.349861
2010,0.213706,0.124708,0.484314
2011,0.215107,0.142485,0.573422
2012,0.258201,0.172124,0.600537
2013,0.269308,0.193810,0.626974
2014,0.268080,0.204726,0.657501
2015,0.273129,0.203159,0.689188
2016,0.297653,0.235154,0.787174
2017,0.377135,0.290198,1.041901
2018,0.424009,0.277923,1.201553
2019,0.421789,0.268014,1.217948
2020,0.432317,0.290476,1.249306
2021,0.526451,0.330476,1.350160
2022,0.605520,0.352238,1.357153
