"Year","Total","Energy industries","Manufacturing","Transport","Other sectors","Other","Fugitive: Solid fuels","Fugitive: Oil & Gas"
1990,1.270085,0.154516,0.024489,0.441901,0.649180,,,
1991,1.336198,0.172957,0.021713,0.472274,0.669253,,,
1992,1.344917,0.167262,0.021463,0.473094,0.683099,,,
1993,1.321542,0.150989,0.018756,0.453484,0.698314,,,
1994,1.332525,0.143731,0.018847,0.437291,0.732655,,,
1995,1.400362,0.140448,0.021513,0.487010,0.751391,,,
1996,1.340321,0.158535,0.018768,0.446421,0.716597,,,
1997,1.486461,0.226456,0.023692,0.475977,0.760337,,,
1998,1.541977,0.233032,0.018479,0.514564,0.775902,,,
1999,1.569960,0.203359,0.009242,0.528588,0.828772,,,
2000,1.750197,0.281633,0.016955,0.596412,0.855198,,,
2001,1.758681,0.241636,0.014390,0.601351,0.901304,,,
2002,1.803451,0.253338,0.017108,0.625504,0.907501,,,
2003,1.838986,0.253016,0.015615,0.590782,0.979573,,,
2004,1.890636,0.309489,0.017221,0.644592,0.919335,,,
2005,2.113114,0.289493,0.030124,0.666715,1.126783,,,
2006,2.551631,0.317065,0.055416,0.734832,1.444319,,,
2007,2.791691,0.386261,0.075709,0.862450,1.467272,,,
2008,2.790197,0.403536,0.067170,0.832285,1.487206,,,
2009,2.875172,0.457701,0.060928,0.924265,1.432278,,,
2010,2.965822,0.431279,0.071101,1.164311,1.299130,,,
2011,3.121948,0.451063,0.026402,1.263697,1.380786,,,
2012,3.627767,0.464519,0.273787,1.476881,1.412579,,,
2013,3.999666,0.557771,0.407685,1.571842,1.462369,,,
2014,4.197190,0.669584,0.416076,1.618401,1.493130,,,
2015,4.426050,0.719146,0.468090,1.682008,1.556806,,,
2016,4.723479,0.625317,0.544916,1.903864,1.649381,,,
2017,5.467671,0.664463,0.576416,2.477660,1.749131,,,
2018,5.837467,0.682871,0.541347,2.772428,1.840820,,,
2019,5.724572,0.593877,0.601514,2.753914,1.775267,,,
2020,5.827689,0.436005,0.651881,2.863710,1.876093,,,
2021,6.803897,0.631844,0.796432,3.307781,2.067840,,,
2022,7.698671,0.655664,0.735466,3.797982,2.509558,,,
