"Year","Total","Fossil CO¿","CH¡","N¿O","F-gas","LULUCF"
1990,5.931609,0.772796,4.093211,1.062491,,0.003111
1991,33.583060,0.864857,4.052662,1.131732,,27.533808
1992,34.157779,0.867529,4.115702,1.359613,,27.814935
1993,34.636943,0.843007,4.183581,1.744154,,27.866202
1994,35.781043,0.840971,4.228501,2.651762,,28.059810
1995,36.241051,0.902964,4.342394,2.703721,0.033279,28.258694
1996,36.447738,0.824138,4.439766,2.616626,0.062563,28.504644
1997,37.093325,0.961371,4.509852,2.778009,0.088513,28.755579
1998,37.348276,1.006742,4.532039,2.720806,0.111702,28.976987
1999,37.805212,1.002641,4.662874,2.799643,0.132627,29.207426
2000,33.039731,1.160986,4.583819,2.868167,0.151346,24.275414
2001,36.493347,1.150537,4.804699,2.947458,0.168553,27.422100
2002,40.070663,1.174178,4.800057,2.975328,0.184103,30.936996
2003,40.953672,1.256479,4.766243,3.215528,0.198386,31.517035
2004,46.027811,1.286461,5.055117,3.197612,0.213461,36.275161
2005,47.995480,1.315789,5.305784,2.744771,0.230348,38.398787
2006,40.455370,1.545231,5.487263,2.829584,0.250172,30.343120
2007,41.808166,1.792969,5.581194,3.138690,0.265708,31.029606
2008,37.826944,1.781403,5.989803,3.307163,0.285729,26.462845
2009,41.500454,1.862377,5.718676,3.376072,0.307338,30.235992
2010,60.020009,2.072823,5.817685,3.456793,0.481074,48.191634
2011,61.746345,2.161722,6.662570,3.373142,0.459253,49.089658
2012,49.926688,2.619844,7.421493,3.477905,0.448171,35.959275
2013,57.585463,3.045889,7.213424,3.600520,0.460948,43.264682
2014,55.932052,3.364027,6.820294,3.840256,0.488248,41.419227
2015,47.123554,3.523216,6.970437,3.834609,0.523870,32.271422
2016,59.179952,3.848559,7.262587,3.973575,0.572976,43.522255
2017,59.903154,4.513773,7.451977,4.034094,0.630331,43.272979
2018,55.153160,4.843348,7.619705,4.169041,0.655941,37.865125
2019,55.123893,4.881494,7.687408,4.288242,0.696739,37.570010
2020,53.364352,4.821709,7.920967,4.307270,1.244536,35.069869
2021,65.517845,5.710397,8.066731,4.434116,1.243515,46.063085
2022,14.317129,,8.522959,4.588526,1.205643,
