"Year","Living biomass (net)","Dead wood (net)","Litter (net)","Mineral Soils (net)","Organic Soils (net)"
1990,,,,,
1991,61.059675,0.000117,-1.541768,0,
1992,61.540119,0.000117,-1.541768,0,
1993,61.790871,0.000117,-1.541768,0,
1994,62.183860,0.000117,-1.541768,0,
1995,62.582121,0.000117,-1.541768,0,
1996,63.026950,0.000117,-1.541768,0,
1997,63.476759,0.000117,-1.541768,0,
1998,63.897063,0.000117,-1.541768,0,
1999,64.326391,0.000117,-1.541768,0,
2000,59.667722,0.000117,-1.541768,0,
2001,62.958589,0.000117,-1.541768,0,
2002,66.339196,0.000117,-1.541768,0,
2003,67.524275,0.000117,-1.541768,0,
2004,72.371137,0.000117,-1.541768,0,
2005,74.692030,0.000117,-1.541768,0,
2006,66.983352,0.000117,-1.541768,0,
2007,67.776114,0.000117,-1.541768,0,
2008,63.423057,0.000117,-1.541768,0,
2009,67.389572,0.000117,-1.541768,0,
2010,86.852440,0.093148,-5.228624,0,
2011,90.343507,0.097584,-5.166976,0,
2012,78.056131,0.102019,-5.207399,0,
2013,85.564927,0.105991,-5.247576,0,
2014,83.826198,0.110891,-5.120238,0,
2015,74.914672,0.115326,-5.167688,0,
2016,86.320855,0.119762,-5.215138,0,
2017,86.298791,0.128633,-5.234502,0,
2018,81.086209,0.128633,-5.307045,0,
2019,80.972654,0.133069,-5.329398,0,
2020,78.539215,0.137505,-5.266990,0,
2021,88.700609,0.141940,-4.314576,0,
2022,,,,,
