"Year","Electricity generation","Pulp, paper and print","Food processing, beverages and tobacco","Non-metallic minerals","Cars","Heavy duty trucks and buses","Residential: Stationary combustion","All others"
1990,0.294878,2.140134,0.000580,0.539224,0,0,9.724512,0.000037
1991,0.298227,2.291784,0.000509,0.621607,0,0,9.772000,0.000033
1992,0.377692,2.339647,0.000443,0.485676,0,0,9.834160,0.000793
1993,0.392608,2.200415,0.000468,0.504117,0,0,9.842560,0.001887
1994,0.381109,2.375771,0.000448,0.473671,0,0,9.858688,0.002873
1995,0.514208,2.482419,0.000530,0.462852,0,0,9.339456,0.001751
1996,0.653137,2.400272,0.000564,0.439604,0,0,9.333173,0.008091
1997,0.917957,2.857442,0.000552,0.894268,0,0,9.331493,0.008639
1998,0.920472,3.005931,0.000728,0.399194,0,0,9.326815,0.012837
1999,0.990429,3.095447,1.194197,0.587802,0,0,9.330175,0.070720
2000,1.030565,3.189225,0.990199,0.573771,0.098327,0.083033,9.344175,0.418777
2001,1.075379,3.258498,1.022976,0.582466,0.097631,0.079932,9.344220,0.429294
2002,1.221715,3.387461,1.262055,0.597773,0.296580,0.071707,9.344780,0.468505
2003,1.489342,3.790377,1.364715,0.625603,0.409801,0.094019,9.345116,0.519575
2004,1.628735,3.946771,1.357151,0.619469,0.354530,0.106713,9.457452,0.522872
2005,1.673905,3.886482,1.348758,0.669820,0.540790,0.148442,9.476044,0.556856
2006,1.836775,4.478147,1.447668,0.730984,0.400266,0.055482,9.513004,0.704047
2007,1.859913,4.447114,1.304588,0.758046,0.747234,0.260441,9.537868,0.832747
2008,1.948278,3.578415,1.635580,0.653064,1.129043,0.497309,9.623548,1.104379
2009,1.719270,3.693216,1.231603,0.621900,2.023473,0.821957,11.446689,2.362219
2010,2.136360,3.871195,0.951012,0.679488,2.760684,1.044775,11.565269,2.190204
2011,2.551165,3.853783,1.185414,0.921625,3.313113,1.283168,11.528273,2.418856
2012,3.227583,4.081548,1.293643,0.893572,4.239604,1.691822,11.697300,2.715761
2013,5.947916,3.880534,0.854982,0.706281,1.865047,0.620648,11.669758,2.232432
2014,6.037900,4.757494,0.511957,0.552616,2.037863,0.672286,11.761664,2.023998
2015,5.934236,4.120109,0.817335,0.824057,2.044546,0.695259,11.639181,1.626474
2016,5.912657,4.392092,1.760843,1.132172,2.274724,0.866498,8.319679,1.704139
2017,6.668954,3.994952,1.981753,1.238849,2.576546,1.023882,8.281842,1.866265
2018,6.394025,3.844729,2.018336,1.300837,3.288616,1.358202,8.287363,1.878794
2019,6.594780,3.503568,2.365657,1.521184,3.144900,1.369345,8.283587,1.574186
2020,7.237376,2.877953,2.248551,1.578711,2.818040,1.441407,8.288532,1.483157
2021,8.210936,3.289415,2.813894,1.642223,2.822571,1.427458,7.355760,2.167810
2022,8.270950,3.143652,2.876291,2.141250,2.449955,1.226874,7.328947,2.107238
2023,7.268678,4.098791,3.010900,2.155856,3.423826,1.801919,7.337557,2.381074
2024,7.670262,3.296267,3.176334,2.170415,3.133017,1.648136,7.390484,2.398233
