"Year","Living biomass (net)","Dead wood (net)","Litter (net)","Mineral Soils (net)","Organic Soils (net)"
1990,-33.238104,-0.905335,-1.103390,-2.429618,
1991,-33.542222,-0.914487,-1.117559,-2.471636,
1992,-33.846340,-0.923640,-1.131728,-2.513655,
1993,-34.150458,-0.932793,-1.145897,-2.555673,
1994,-34.454576,-0.941945,-1.160066,-2.597692,
1995,-34.758694,-0.951098,-1.174235,-2.639710,
1996,-35.062812,-0.960251,-1.188404,-2.681728,
1997,-35.366930,-0.969403,-1.202573,-2.723747,
1998,-36.631712,-0.995631,-1.216742,-2.765765,
1999,-38.195227,-1.027477,-1.230911,-2.807784,
2000,-40.169358,-1.068692,-1.245080,-2.849802,
2001,-41.054726,-1.099498,-1.273427,-2.918536,
2002,-40.764162,-1.098849,-1.301775,-2.987271,
2003,-40.819351,-1.101546,-1.330122,-3.056005,
2004,-41.323063,-1.117585,-1.358470,-3.124740,
2005,-42.918445,-1.168181,-1.386817,-3.193474,
2006,-43.426741,-1.185368,-1.415164,-3.262208,
2007,-43.450405,-1.188056,-1.418389,-3.305758,
2008,-43.528738,-1.191430,-1.421614,-3.349308,
2009,-43.689199,-1.198413,-1.424838,-3.392857,
2010,-43.865913,-1.209754,-1.436846,-3.508825,
2011,-44.042628,-1.221094,-1.448853,-3.624793,
2012,-44.219342,-1.232435,-1.460860,-3.740761,
2013,-44.360190,-1.243270,-1.471540,-3.860871,
2014,-44.501038,-1.254106,-1.482219,-3.980981,
2015,-44.641886,-1.264941,-1.492899,-4.101092,
2016,-44.553724,-1.264593,-1.470150,-4.064862,
2017,-44.465561,-1.264244,-1.447400,-4.028632,
2018,-44.377399,-1.263895,-1.424651,-3.992403,
2019,-44.082285,-1.254068,-1.373757,-3.880084,
2020,-43.787172,-1.244240,-1.322863,-3.767765,
2021,-43.456831,-1.229449,-1.257790,-3.628730,
2022,-43.126490,-1.214658,-1.192717,-3.489695,
2023,-42.796149,-1.199867,-1.127645,-3.350659,
2024,-42.465808,-1.185076,-1.062572,-3.211624,
