"Year","Spain","World"
1950,1.175821,2.378734
1951,1.171735,2.515504
1952,1.322079,2.502896
1953,1.358668,2.524970
1954,1.375544,2.527923
1955,1.383901,2.716614
1956,1.443274,2.835461
1957,1.698120,2.869636
1958,1.871562,2.891376
1959,1.727739,2.985590
1960,1.607046,3.112931
1961,1.746064,3.071906
1962,1.932205,3.120741
1963,1.871996,3.215595
1964,2.026484,3.315825
1965,2.211740,3.391959
1966,2.390725,3.484865
1967,2.632297,3.523155
1968,2.924507,3.640223
1969,2.887697,3.802135
1970,3.453322,4.032588
1971,3.760777,4.112597
1972,4.189825,4.219747
1973,4.436666,4.355556
1974,4.882836,4.253289
1975,5.057968,4.173319
1976,5.466272,4.310191
1977,5.330296,4.352449
1978,5.406152,4.432504
1979,5.445730,4.465701
1980,5.698700,4.364099
1981,5.450538,4.168842
1982,5.482543,4.060496
1983,5.318402,4.023942
1984,5.143612,4.068703
1985,5.179683,4.137420
1986,4.882412,4.122175
1987,4.877878,4.179654
1988,5.069322,4.262697
1989,5.762119,4.241189
1990,5.868818,4.266701
1991,6.104080,4.282473
1992,6.283216,4.090168
1993,6.030001,4.068620
1994,6.306981,4.047994
1995,6.617989,4.083544
1996,6.276800,4.148108
1997,6.553052,4.114970
1998,6.737249,4.044522
1999,7.277729,4.079117
2000,7.539279,4.133621
2001,7.540957,4.107635
2002,7.927736,4.144280
2003,7.893818,4.307030
2004,8.144855,4.399256
2005,8.358881,4.493561
2006,8.029218,4.585831
2007,8.051332,4.661509
2008,7.251737,4.682571
2009,6.350556,4.545518
2010,6.032926,4.744937
2011,6.027380,4.848876
2012,5.900512,4.854014
2013,5.380006,4.837742
2014,5.429298,4.804597
2015,5.788919,4.739116
2016,5.554019,4.682487
2017,5.835120,4.705259
2018,5.701943,4.752195
2019,5.284558,4.747814
2020,4.441422,4.457744
2021,4.793182,4.634748
2022,4.897165,4.678452
2023,4.497050,4.707772
2024,4.599016,4.729075
